key;verbatimScientificName;scientificName;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
2705193;Agropyron;Agropyron J.Gaert.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agropyron;
2706653;Agropyron repens;Agropyron repens (L.) P.Beauv.;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Elymus;Elymus repens
2706434;Agrostis;Agrostis L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis;
2706490;Agrostis capillaris;Agrostis capillaris L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis;Agrostis capillaris
2706439;Agrostis palustris;Agrostis palustris Huds.;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis;Agrostis stolonifera
2706435;Agrostis stolonifera;Agrostis stolonifera L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis;Agrostis stolonifera
2282770;Alaimus;Alaimus de Man, 1880;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Dorylaimida;Alaimidae;Alaimus;
7890713;Alchemilla vulgaris;Alchemilla vulgaris L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Alchemilla;Alchemilla vulgaris
2945087;Alhagi;Alhagi Gagnebin;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Alhagi;
2945106;Alhagi persarum;Alhagi persarum Boiss. & Buhse;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Alhagi;Alhagi maurorum
2128073;Alicorhagia;Alicorhagia Belese, 1910;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Prostigmata;Alicorhagiidae;Alicorhagia;
2856126;Allium cardiostemon;Allium cardiostemon Fisch. & C.A.Mey.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Allium;Allium cardiostemon
2857697;Allium cepa;Allium cepa L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Allium;Allium cepa
2856681;Allium sativum;Allium sativum L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Allium;Allium sativum
9426362;Allovahlkampfia;Allovahlkampfia Walochnik & Mulec, 2009;EXACT;92;DOUBTFUL;GENUS;Protozoa;Amoebozoa;Lobosa;Amoebida;Vahlkampfiidae;Allovahlkampfia;
2777937;Aloe plicatilis;Aloe plicatilis Mill.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Asphodelaceae;Aloe;Aloe plicatilis
3064;Amaranthaceae;Amaranthaceae;EXACT;96;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;;
3085074;Amaranthus;Amaranthus L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Amaranthus;
3034182;Ammi majus;Ammi majus L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Ammi;Ammi majus
7509337;Amoebozoa;Amoebozoa;EXACT;94;ACCEPTED;PHYLUM;Protozoa;Amoebozoa;;;;;
2282756;Amphidelus;Amphidelus Thorne, 1939;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Dorylaimida;Alaimidae;Amphidelus;
6145343;Amphisiella binucleata;Amphisiella binucleata Foissner, Agatha & Berger, 2002;EXACT;97;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Uroleptoides;Uroleptoides binucleatus
7764311;Amphisiella magnigranulosa;Amphisiella magnigranulosa Foissner, 1988;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Uroleptoides;Uroleptoides magnigranulosus
8034554;Amphisiella polycirrata;Amphisiella polycirrata Berger & Foissner, 1989;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Uroleptoides;Uroleptoides polycirratus
7981328;Amphisiella quadrinucleata;Amphisiella quadrinucleata Berger & Foissner, 1989;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Lamtostyla;Lamtostyla quadrinucleata
7928292;Amphisiella raptans;Amphisiella raptans Buitkamp & Wilbert, 1974;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Uroleptoides;Uroleptoides raptans
7405898;Amphisiella vitiphila;Amphisiella vitiphila (Foissner, 1987) Foissner, 1988;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Stichotrichida;Amphisiellidae;Lamtostyla;Lamtostyla vitiphila
8053161;Amphisiellides illuvialis;Amphisiellides illuvialis Eigner & Foissner, 1994;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;;;;Nudiamphisiella;Nudiamphisiella illuvialis
7842856;Amplimerlinius;Amplimerlinius Siddiqi, 1976;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Tylenchida;Telotylenchidae;Amplimerlinius;
2282576;Anatonchus;Anatonchus Cobb, 1916;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Dorylaimida;Anatonchidae;Anatonchus;
3034645;Anethum;Anethum L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;
5371808;Angelica archangelica;Angelica archangelica L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Angelica;Angelica archangelica
5371818;Angelica sylvestris;Angelica sylvestris L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Angelica;Angelica sylvestris
7943637;Anoplophrya;Anoplophrya von Stein, 1860;EXACT;94;ACCEPTED;GENUS;Chromista;Ciliophora;Oligohymenophorea;Astomatida;Anoplophryidae;Anoplophrya;
5371743;Anthriscus caucalis;Anthriscus caucalis M.Bieb.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Anthriscus caucalis
6027243;Anthriscus nemorosa;Anthriscus nemorosa (Bieb.) Sprengel;EXACT;97;SYNONYM;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Anthriscus sylvestris
5371742;Anthriscus sylvestris;Anthriscus sylvestris (L.) Hoffm.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Anthriscus;Anthriscus sylvestris
3202934;Aphanomyces;Aphanomyces de Bary;EXACT;94;ACCEPTED;GENUS;Chromista;Oomycota;Peronosporea;Saprolegniales;Leptolegniaceae;Aphanomyces;
2284354;Aphelenchoides;Aphelenchoides Fischer, 1894;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Aphelenchida;Aphelenchoididae;Aphelenchoides;
2284394;Aphelenchus;Aphelenchus Bastian, 1865;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Aphelenchida;Aphelenchidae;Aphelenchus;
3042;Aphididae;Aphididae;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;;
1269085;Aphidius ervi;Aphidius ervi Haliday, 1834;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;Aphidius;Aphidius ervi
7239018;Apiotrichum;Apiotrichum Stautz;EXACT;94;ACCEPTED;GENUS;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;
3295536;Apiotrichum porosum;Apiotrichum porosum Stautz;EXACT;98;ACCEPTED;SPECIES;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;Apiotrichum porosum
3034812;Apium;Apium L.;EXACT;92;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Apium;
8181547;Apoamphisiella tihanyiensis;Apoamphisiella tihanyiensis (Géllert & Tamás, 1958) Foissner, 1997;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Apoamphisiella;Apoamphisiella tihanyiensis
7390440;Apobryophyllum terricola;Apobryophyllum terricola Foissner, 1998;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Spathidiidae;Apobryophyllum;Apobryophyllum terricola
7535686;Apocolpoda africana;Apocolpoda africana Foissner, 1993;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Colpodea;Colpodida;Colpodidae;Apocolpoda;Apocolpoda africana
2282747;Aporcelaimellus;Aporcelaimellus Heyns, 1965;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Dorylaimida;Aporcelaimidae;Aporcelaimellus;
3094355;Aposeris foetida;Aposeris foetida Less.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aposeris;Aposeris foetida
4378322;Apusomonadidae;Apusomonadidae;EXACT;96;ACCEPTED;FAMILY;Protozoa;Sulcozoa;Thecomonadea;Apusomonadida;Apusomonadidae;;
5353770;Arachis hypogaea;Arachis hypogaea L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Arachis;Arachis hypogaea
1496;Araneae;Araneae;EXACT;91;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Araneae;;;
760;Arcellinida;Arcellinida;EXACT;94;ACCEPTED;ORDER;Protozoa;Amoebozoa;Lobosa;Arcellinida;;;
7628767;Archaeorhizomyces;Archaeorhizomyces Rosling & T.James;EXACT;94;ACCEPTED;GENUS;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;
8139865;Archaeorhizomyces borealis;Archaeorhizomyces borealis A.Menkis, T.Y.James & Rosling, 2014;EXACT;98;ACCEPTED;SPECIES;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces borealis
7870834;Archaeorhizomyces finlayi;Archaeorhizomyces finlayi Rosling & T.Y.James, 2011;EXACT;98;ACCEPTED;SPECIES;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces finlayi
8124979;Archinassula muscicola;Archinassula muscicola Kahl, 1935;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Nassophorea;Nassulida;Nassulidae;Archinassula;Archinassula muscicola
8106066;Arctium;Arctium L.;EXACT;92;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Arctium;
7784323;Arcuospathidium atypicum;Arcuospathidium atypicum (Wenzel, 1953) Foissner, 1998;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Arcuospathidiidae;Arcuospathidium;Arcuospathidium atypicum
8276304;Arcuospathidium cooperi;Arcuospathidium cooperi Foissner, 1996;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Arcuospathidiidae;Arcuospathidium;Arcuospathidium cooperi
7713932;Arcuospathidium cultriforme;Arcuospathidium cultriforme Penard;EXACT;97;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Arcuospathidiidae;Arcuospathidium;Arcuospathidium cultriforme
7805176;Arcuospathidium japonicum;Arcuospathidium japonicum Foissner, 1988;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Arcuospathidiidae;Cultellothrix;Cultellothrix japonica
7507923;Arcuospathidium vermiforme;Arcuospathidium vermiforme Foissner, 1984;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Arcuospathidiidae;Arcuospathidium;Arcuospathidium vermiforme
5384500;Arenaria fendleri;Arenaria fendleri A.Gray;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Eremogone;Eremogone fendleri
3034509;Arracacia xanthorrhiza;Arracacia xanthorrhiza Bancr.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Arracacia;Arracacia xanthorrhiza
3120641;Artemisia;Artemisia L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;
3120957;Artemisia parviflora;Artemisia parviflora Buch.-Ham. ex Roxb.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;Artemisia parviflora
54;Arthropoda;Arthropoda;EXACT;94;ACCEPTED;PHYLUM;Animalia;Arthropoda;;;;;
2569641;Ascobolus;Ascobolus Pers.;EXACT;94;ACCEPTED;GENUS;Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus;
2595607;Ascobolus stercorarius;Ascobolus stercorarius (Bull.) J.Schröt., 1893;EXACT;98;SYNONYM;SPECIES;Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus;Ascobolus furfuraceus
95;Ascomycota;Ascomycota;EXACT;96;ACCEPTED;PHYLUM;Fungi;Ascomycota;;;;;
2768885;Asparagus officinalis;Asparagus officinalis L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Asparagus;Asparagus officinalis
2916597;Asperula;Asperula L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Asperula;
7721525;Aspidisca cicada;Aspidisca cicada (Müller, 1786) Claparède & Lachmann, 1858;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca cicada
7364238;Aspidisca lynceus;Aspidisca lynceus (Müller, 1773) Ehrenberg, 1830;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca lynceus
3065;Asteraceae;Asteraceae;EXACT;96;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;;
3192674;Asterionella;Asterionella A.H.Hassall, 1850;EXACT;94;ACCEPTED;GENUS;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;
2552703;Asterostroma andinum;Asterostroma andinum Pat.;EXACT;98;ACCEPTED;SPECIES;Fungi;Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Asterostroma;Asterostroma andinum
374;Astigmata;Astigmata;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Astigmata;;;
8011702;Athous;Athous;EXACT;94;ACCEPTED;GENUS;Animalia;;;;;Athous;
3122426;Atractylodes;Atractylodes DC.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Atractylodes;
2076745;Aulacorthum solani;Aulacorthum solani (Kaltenbach, 1843);EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Aulacorthum;Aulacorthum solani
7868482;Australocirrus octonucleatus;Australocirrus octonucleatus Foissner, 1988;EXACT;98;SYNONYM;SPECIES;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Rigidocortex;Rigidocortex octonucleatus
8307655;Australocirrus oscitans;Australocirrus oscitans Blatterer & Foissner, 1988;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Australocirrus;Australocirrus oscitans
7644213;Australothrix alwinae;Australothrix alwinae Blatterer & Foissner, 1988;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Australothrix;Australothrix alwinae
7520435;Australothrix australis;Australothrix australis Blatterer & Foissner, 1988;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Australothrix;Australothrix australis
8376435;Australothrix steineri;Australothrix steineri Foissner, 1995;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Australothrix;Australothrix steineri
2595861;Auxarthron;Auxarthron G.F.Orr & Kuehn;EXACT;94;ACCEPTED;GENUS;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Auxarthron;
2705282;Avena;Avena L.;EXACT;92;ACCEPTED;GENUS;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Avena;
2705290;Avena sativa;Avena sativa L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Avena;Avena sativa
2891641;Averrhoa carambola;Averrhoa carambola L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Oxalidaceae;Averrhoa;Averrhoa carambola
8300719;Avestina acuta;Avestina acuta (Buitkamp, 1977) Jankowski, 1980;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Colpodea;Colpodida;Hausmanniellidae;Avestina;Avestina acuta
7715672;Avestina ludwigi;Avestina ludwigi Aescht & Foissner, 1990;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Colpodea;Colpodida;Hausmanniellidae;Avestina;Avestina ludwigi
7947184;Bacillariophyceae;Bacillariophyceae;EXACT;80;ACCEPTED;CLASS;Chromista;Ochrophyta;Bacillariophyceae;;;;
8176985;Bacillariophyta;Bacillariophyta;EXACT;95;SYNONYM;PHYLUM;Chromista;Ochrophyta;Bacillariophyceae;;;;
8280112;Bakuella edaphoni;Bakuella edaphoni Song, Wilbert & Berger, 1992;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Bakuella;Bakuella edaphoni
7976171;Bakuella pampinaria;Bakuella pampinaria Eigner & Foissner;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Bakuella;Bakuella pampinaria
7674205;Balantidioides bivacuolata;Balantidioides bivacuolata Kahl, 1932;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Heterotrichea;Heterotrichida;Reichenowellidae;Balantidioides;Balantidioides bivacuolata
7750523;Balantidioides corbifera;Balantidioides corbifera (Fryd-Versavel & Tuffrau, 1978) Foissner, Adam & Foissner, 1982;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Heterotrichea;Heterotrichida;Reichenowellidae;Balantidioides;Balantidioides corbifera
7747477;Balantidioides dragescoi;Balantidioides dragescoi Foissner, Adam & Foissner, 1982;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Heterotrichea;Heterotrichida;Reichenowellidae;Balantidioides;Balantidioides dragescoi
7442939;Balantidioides muscicola;Balantidioides muscicola (Penard, 1922) Penard, 1930;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Heterotrichea;Heterotrichida;Reichenowellidae;Balantidioides;Balantidioides muscicola
6699;Balsaminaceae;Balsaminaceae;EXACT;96;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Ericales;Balsaminaceae;;
7618777;Bardeliella pulchra;Bardeliella pulchra Foissner, 1984;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Colpodea;Colpodida;Bardelielidae;Bardeliella;Bardeliella pulchra
1198599;Barynotus;Barynotus Germar, 1817;EXACT;92;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Barynotus;
9572544;Basiria;Basiria;EXACT;92;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Tylenchida;Tylenchidae;Basiria;
2283334;Bastiania;Bastiania de Man, 1876;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Araeolaimida;Bastianiidae;Bastiania;
2560584;Beauveria;Beauveria Vuill.;EXACT;94;ACCEPTED;GENUS;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;
3033893;Berberis;Berberis L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Berberidaceae;Berberis;
3034699;Berula erecta;Berula erecta (Huds.) Coville;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Berula;Berula erecta
8971274;Beta vulgaris;Beta vulgaris L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Beta;Beta vulgaris
2927280;Betonica officinalis;Betonica officinalis L.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Betonica;Betonica officinalis
7429265;Bicoronella costaricana;Bicoronella costaricana Foissner, 1995;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Urostylidae;Bicoronella;Bicoronella costaricana
7957238;Bicosoecidae;Bicosoecidae;EXACT;96;ACCEPTED;FAMILY;Chromista;Bigyra;Bikosea;Bicoecida;Bicosoecidae;;
3105856;Bidens;Bidens L.;EXACT;92;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Bidens;
7932878;Birojimia muscorum;Birojimia muscorum (Kahl, 1932) Berger & Foissner, 1989;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Birojimia;Birojimia muscorum
8076891;Birojimia terricola;Birojimia terricola Berger & Foissner, 1989;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Hypotrichea;Urostylida;Bakuellidae;Birojimia;Birojimia terricola
2584306;Bisporella citrina;Bisporella citrina (Batsch) Korf & S.E.Carp.;EXACT;98;ACCEPTED;SPECIES;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Bisporella;Bisporella citrina
2952882;Bituminaria bituminosa;Bituminaria bituminosa (L.) C.H.Stirt.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Bituminaria;Bituminaria bituminosa
