"";"x"
"124";"Chamaedrilus aff. sphagnetorum C SM-2014"
"125";"Cheilymenia stercorea"
"126";"Chitinophaga oryziterrae"
"127";"Chitinophaga pinensis"
"128";"Chitinophaga sp. BN130233"
"129";"Chlamydomonas philotes"
"130";"Chlamydomonas reinhardtii"
"131";"Chlamydomyxa labyrinthuloides"
"132";"Chlorella emersonii"
"133";"Chlorellidium tetrabotrys"
"134";"Choleva angustata"
"135";"Chthoniobacter flavus"
"136";"Chthonius sp. 2 JM-2008"
"137";"Chytridium polysiphoniae"
"138";"Cladosporium sp. CB-20"
"139";"Claroideoglomus claroideum"
"140";"Coelastrella saipanensis"
"141";"Colpoda inflata"
"142";"Colpoda sp. MD-2011"
"143";"Colpoda sp. PRA-118"
"144";"Conopodium majus"
"145";"Cordyceps cylindrica"
"146";"Cordyceps memorabilis"
"147";"Corythion dubium"
"148";"Craterocolla cerasi"
"149";"Cryphonectria parasitica"
"150";"Cryptococcus amylolentus"
"151";"Cultellothrix coemeterii"
"152";"Cultellothrix lionotiformis"
"153";"Cylindroiulus caeruleocinctus"
"154";"Cyphellophora sessilis"
"155";"Cytophaga hutchinsonii"
"156";"Dactylis glomerata"
"157";"Dechlorospirillum sp. SN1"
"158";"Demequina sp. CMS382"
"159";"Devosia sp. P-37"
"160";"Diaphanoeca spiralifurca"
"161";"Diaphorobacter sp. NPG-14"
"162";"Dileptus microstoma"
"163";"Dileptus sp."
"164";"Dioszegia crocea"
"165";"Diplogasteroides magnus"
"166";"Discolaimus cf. major HHBM-2007a"
"167";"Dissophora decumbens"
"168";"Ditylenchus dipsaci"
"169";"Diversispora varaderana"
"170";"Dokdonella ginsengisoli"
"171";"Dongia sp. CB 286422"
"172";"Duganella sp. 2M1lan"
"173";"Duganella sp. JPPB B33"
"174";"Echinamoeba exundans"
"175";"Edaphobacter dinghuensis"
"176";"Emticicia sp. KJ033"
"177";"Enchytraeus albidus"
"178";"Enchytraeus buchholzi"
"179";"Enchytraeus bulbosus"
"180";"Enchytraeus christenseni"
"181";"Enchytraeus lacteus"
"182";"Enchytraeus norvegicus"
"183";"Enchytronia parva"
"184";"Endochytrium sp. JEL 324"
"185";"Endogone lactiflua"
"186";"Endogone sp. OSC T14506"
"187";"Endogone sp. W5994"
"188";"Entomobrya multifasciata"
"189";"Entomobrya sp. 9644 FZ-2013"
"190";"Eocercomonas sp. HFCC 908"
"191";"Eocercomonas sp. HFCC 909"
"192";"Eosentomon sp. FNSA-2002"
"193";"Epipyxis pulchra"
"194";"Epispathidium sp. RV-2015"
"195";"Epispathidium terricola"
"196";"Eucephalobus striatus"
"197";"Euglypha rotunda"
"198";"Euglypha tuberculata"
"199";"Euplotes balteatus"
"200";"Euplotes qatarensis"
"201";"Euplotes trisulcatus"
"202";"Fallopia multiflora"
"203";"Ferruginibacter paludis"
"204";"Ferruginibacter sp. WF24"
"205";"Fibrella sp."
"206";"Filobasidium stepposum"
"207";"Flavisolibacter rigui"
"208";"Flavobacterium hydatis"
"209";"Flavobacterium sp. BF134"
"210";"Flavobacterium sp. HL-17"
"211";"Flavobacterium sp. PDD-32b-56"
"212";"Flavobacterium sp. R-38392"
"213";"Flavosolibacter sp. HU1-JC5"
"214";"Fluviicola sp. YS 1.2.4"
"215";"Folsomia candida"
"216";"Folsomia quadrioculata"
"217";"Forficula auricularia"
"218";"Forficula sp. NC-1995"
"219";"Fridericia bisetosa"
"220";"Fridericia christeri"
"221";"Fridericia connata"
"222";"Fridericia galba"
"223";"Fridericia isseli"
"224";"Fridericia magna"
"225";"Fridericia paroniana"
"226";"Fridericia ratzeli"
"227";"Fridericia sohlenii"
"228";"Fridericia sylvatica"
"229";"Fridericia tuberosa"
"230";"Friesea grisea"
"231";"Frigoribacterium sp. B1-25c-3"
"232";"Funneliformis mosseae"
"233";"Fuscheria sp. VBOEF-2011"
"234";"Gaeumannomyces graminis"
"235";"Gaiella occulta"
"236";"Geastrum saccatum"
"237";"Gemmata obscuriglobus"
"238";"Gemmata sp. Fl1-1"
"239";"Geobacter anodireducens"
"240";"Geobacter sp. enrichment culture clone VanCtr1"
"241";"Geodermatophilus sp. Z2R53"
"242";"Georgfuchsia toluolica"
"243";"Gliricola sp. 274"
"244";"Glomus invermaium"
"245";"Glomus sp. 9 SUN-2011"
"246";"Gongronella butleri"
"247";"Gonostomum namibiense"
"248";"Gonostomum sp. JS-2012"
"249";"Gonostomum strenuum"
"250";"Granulicella paludicola"
"251";"Guepiniopsis buccina"
"252";"Halteromyces radiatus"
"253";"Hantzschia amphioxys"
"254";"Helianthus annuus"
"255";"Helicotylenchus varicaudatus"
"256";"Hemiamphisiella terricola"
"257";"Henlea perpusilla"
"258";"Hesperelaea palmeri"
"259";"Heterococcus caespitosus"
"260";"Heterophrys sp. Oxford1"
"261";"Hibberdia magna"
"262";"Histiostoma feroniarum"
"263";"Hodophilus hymenocephalus"
"264";"Holophaga sp. oral clone CA002"
"265";"Holwaya mucida"
"266";"Homalogastra setosa"
"267";"Humibacter sp. Po15c"
"268";"Hyalorbilia sp. HOB-2016a"
"269";"Hygrocybe reidii"
"270";"Hymenochaetopsis olivacea"
"271";"Hymenoscyphus repandus"
"272";"Hyphochytrium catenoides"
"273";"Hyphodiscus hymeniophilus"
"274";"Hyphodontia rimosissima"
"275";"Iodophanus carneus"
"276";"Isolaimium multistriatum"
"277";"Isotoma viridis"
"278";"Isotomiella minor"
"279";"Itersonilia pannonica"
"280";"Itersonilia perplexans"
"281";"Ixiolirion tataricum"
"282";"Jaagiella alpicola"
"283";"Kribbella sp. enrichment culture clone VanCtr42"
"284";"Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01"
"285";"Kuzuhaea moniliformis"
"286";"Lacrymaria marina"
"287";"Lamproderma sp. SAPA:100012"
"288";"Legionella lytica"
"289";"Leifsonia sp. A5AGK"
"290";"Lepidocyrtus paradoxus"
"291";"Lepidocyrtus sp. 1 FZ-2013"
"292";"Leptomyxa reticulata"
"293";"Leptomyxa sp. AS-2016b"
"294";"Leptopharynx bromelicola"
"295";"Leptosphaeria biglobosa"
"296";"Limonomyces roseipellis"
"297";"Liochthonius sp. AD1300"
"298";"Lithobius forficatus"
"299";"Lithobius variegatus"
"300";"Lonchoptera lutea"
"301";"Longidorus raskii"
"302";"Longidorus vinearum"
"303";"Luedemannella sp. 119-1-07"
"304";"Lumbricus castaneus"
"305";"Lumbricus centralis"
"306";"Lumbricus friendi"
"307";"Lumbricus terrestris"
"308";"Luteimonas aestuarii"
"309";"Luticola permuticopsis"
"310";"Lysobacter sp. MS6Y-8-7"
"311";"Lysobacter sp. RHLT3-4"
"312";"Lysobacter sp. YS-37"
"313";"Marionina cf. minutissima PDW-2010"
"314";"Marionina clavata"
"315";"Marionina communis"
"316";"Marionina filiformis"
"317";"Marionina sublitoralis"
"318";"Martelella endophytica"
"319";"Maryna ovata"
"320";"Massisteria marina"
"321";"Mayamaea sp. KAS1111"
"322";"Megalothorax sp. EA040003-cs17"
"323";"Megalothorax sp. EA040004-cs23"
"324";"Megalothorax sp. EA040008-cs9"
"325";"Melastiza contorta"
"326";"Meloidogyne naasi"
"327";"Merlinius brevidens"
"328";"Merlinius cf. microdorus TSH-2005"
"329";"Merlinius joctus"
"330";"Meseres corlissi"
"331";"Mesodorylaimus cf. nigritulus AV-2005"
"332";"Mesorhabditis sp. 334Meso1"
"333";"Metarhizium anisopliae"
"334";"Methanomassiliicoccus sp. 138"
"335";"Methanomassiliicoccus sp. 142"
"336";"Methanomassiliicoccus sp. P27"
"337";"Methylosinus sporium"
"338";"Methylosinus trichosporium"
"339";"Mischococcus sphaerocephalus"
"340";"Monilicaryon monilatum"
"341";"Monocystis agilis"
"342";"Monosiga ovata"
"343";"Moraxella osloensis"
"344";"Mortierella sp. MS-6"
"345";"Mucilaginibacter sp. HME7565"
"346";"Mucilaginibacter sp. UA-VH0703"
"347";"Multiclavula mucida"
"348";"Mycobacterium sp. PSY065"
"349";"Mycoplana sp. HP12Q"
"350";"Mykophagophrys terricola"
"351";"Myrmica scabrinodis"
"352";"Myzus persicae"
"353";"Nakamurella sp. A24MTO"
"354";"Nannochloris sp. JL 4-6"
"355";"Neobodo designis"
"356";"Neopsilenchus magnidens"
"357";"Nitrospira marina"
"358";"Nitzschia pusilla"
"359";"Nocardioides sp."
"360";"Nocardioides sp. MSL 24"
"361";"Nocardioides sp. RW28"
"362";"Nocardioides sp. SSRB28-7"
"363";"Noctua pronuba"
"364";"Notholca acuminata"
"365";"Notiophilus rufipes"
"366";"Novosphingobium sp."
"367";"Nygolaimus cf. brachyuris JH-2004"
"368";"Obertrumia georgiana"
"369";"Occallatibacter riparius"
"370";"Ochrobactrum anthropi"
"371";"Ochromonas sp. CCMP2761"
"372";"Ochromonas vasocystis"
"373";"Octolasion cyaneum"
"374";"Oikomonas sp. SA-2.1"
"375";"Oligoflexus tunisiensis"
"376";"Olpidium bornovanus"
"377";"Olpidium brassicae"
"378";"Orbicula parietina"
"379";"Orbilia sp. HOB-2016am"
"380";"Orchesella villosa"
"381";"Orciraptor agilis"
"382";"Oricola cellulosilytica"
"383";"Otiorhynchus armadillo"
"384";"Palaeospora spainiae"
"385";"Palmellopsis sp. BCP-EM1VF1"
"386";"Panacibacter ginsenosidivorans"
"387";"Panagrolaimus sp. PS443"
"388";"Panorbis viscosus"
"389";"Paracercomonas astra"
"390";"Paracercomonas compacta"
"391";"Paracercomonas filosa"
"392";"Paracercomonas paralaciniaegerens"
"393";"Paracercomonas sp. HFCC 913"
"394";"Paracercomonas sp. HFCC 918"
"395";"Parafilimonas terrae"
"396";"Paraglomus brasilianum"
"397";"Paraphysomonas sp. 22 JMS-2012"
"398";"Paratylenchus cf. neoamblicephalus"
"399";"Paratylenchus microdorus"
"400";"Paratylenchus similis"
"401";"Paucimonas lemoignei"
"402";"Pedobacter luteus"
"403";"Pedobacter sp. FGR-05"
"404";"Pedosphaera parvula"
"405";"Pelomonas sp. CR2"
"406";"Pelomonas sp. K89"
"407";"Penicillium sp. D01"
"408";"Penicillium sp. SDI-2014f"
"409";"Peniophorella praetermissa"
"410";"Pentapharsodinium tyrrhenicum"
"411";"Peregrinia clavideferens"
"412";"Peyerimhoffia alpina"
"413";"Phacelia tanacetifolia"
"414";"Phenylobacterium lituiforme"
"415";"Phenylobacterium sp. B6.10-61"
"416";"Phenylobacterium sp. enrichment culture clone LplF-80"
"417";"Phenylobacterium sp. URHA0004"
"418";"Phialina salinarum"
"419";"Pholiota squarrosa"
"420";"Phoma herbarum"
"421";"Phycisphaera mikurensis"
"422";"Picea abies"
"423";"Pilogalumna rosauraruizae"
"424";"Piptocephalis graefenhanii"
"425";"Pirellula sp."
"426";"Pirellula staleyi"
"427";"Planctomyces sp."
"428";"Platyophrya bromelicola"
"429";"Platyophrya vorax"
"430";"Platyreta germanica"
"431";"Plectus aquatilis"
"432";"Pleurochloris meiringensis"
"433";"Pluteus petasatus"
"434";"Pluteus phlebophorus"
"435";"Podura aquatica"
"436";"Polydesmus coriaceus"
"437";"Polymyxa graminis"
"438";"Pontibacter sp. LX8"
"439";"Porpoloma sp. 2 MSG-2014"
"440";"Poterioochromonas malhamensis"
"441";"Poterioochromonas stipitata"
"442";"Pratylenchoides ritteri"
"443";"Prismatolaimus cf. dolichurus JH-2004"
"444";"Proceropycnis pinicola"
"445";"Prodesmodora circulata"
"446";"Prodorylaimus sp. HHBM-2007a"
"447";"Protaphorura armata"
"448";"Protaspis obliqua"
"449";"Protocyclidium sinica"
"450";"Protoribates hakonensis"
"451";"Psathyrella sp. D16"
"452";"Pseudo-nitzschia heimii"
"453";"Pseudochilodonopsis sp. 3 WS-2013"
"454";"Pseudocyrtolophosis alpestris"
"455";"Pseudoplatynematum denticulatum"
"456";"Pseudoplatyophrya nana"
"457";"Pseudopleurochloris antarctica"
"458";"Pseudouroleptus sp. ALT-2014"
"459";"Pseudovorticella punctata"
"460";"Pseudovorticella sp. 5 PS-2016"
"461";"Pterula echo"
"462";"Pungentus sp. PDL-2005"
"463";"Pyrenochaeta sp. GMG_PPb7"
"464";"Pythium monospermum"
"465";"Pythium rostratifingens"
"466";"Pyxidiophora arvernensis"
"467";"Ralstonia solanacearum"
"468";"Ralstonia sp. JOS55-1"
"469";"Ramariopsis kunzei"
"470";"Resource::Decaying_wood"
"471";"Resource::Dung"
"472";"Resource::Litter"
"473";"Resource::MOS"
"474";"Rhizoctonia solani"
"475";"Rhizomicrobium sp. URHE0053"
"476";"Rhizophagus intraradices"
"477";"Rhizophlyctis harderi"
"478";"Rhizophlyctis rosea"
"479";"Rhizophydium patellarium"
"480";"Rhizophydium planktonicum"
"481";"Rhizophydium sp. JEL136"
"482";"Rhizophydium sp. UGA-F16"
"483";"Rhodanobacter sp. D47"
"484";"Rhodopila globiformis"
"485";"Rhodoplanes sp. Z2-YC6860"
"486";"Rhogostoma schuessleri"
"487";"Rhogostoma sp. CCAP 1966/4"
"488";"Rhopalosiphum padi"
"489";"Robertus neglectus"
"490";"Romanomermis sichuanensis"
"491";"Roseiarcus fermentans"
"492";"Rotylenchulus borealis"
"493";"Rotylenchulus reniformis"
"494";"Rotylenchus vitis"
"495";"Rudaea cellulosilytica"
"496";"Rudaea sp. URHD0100"
"497";"Saccharomyces cerevisiae"
"498";"Saccobolus dilutellus"
"499";"Salinibacterium sp. CC13L1"
"500";"Salvia nemorosa"
"501";"Satchellius mammalis"
"502";"Sclerostagonospora sp. CBS 118142"
"503";"Scutellospora alterata"
"504";"Sediminibacterium aquarii"
"505";"Seinura demani"
"506";"Seira barnardi"
"507";"Serpula incrassata"
"508";"Siluania monomastiga"
"509";"Sinapis alba"
"510";"Singulisphaera rosea"
"511";"Sitona lineatus"
"512";"Sminthurides aquaticus"
"513";"Sminthurinus bimaculatus"
"514";"Sminthurus viridis"
"515";"Sorangium cellulosum"
"516";"Spathidium simplinucleatum"
"517";"Sphaerobolus stellatus"
"518";"Sphaeroeca volvox"
"519";"Sphingobacterium sp. P-7"
"520";"Sphingobium olei"
"521";"Sphingomonas changbaiensis"
"522";"Sphingomonas fennica"
"523";"Sphingomonas sp. 52NP12"
"524";"Sphingomonas sp. C0503"
"525";"Sphingomonas sp. DB-II-12"
"526";"Sphingomonas sp. LP105"
"527";"Sphingomonas sp. ML1"
"528";"Sphingomonas sp. NCCP-1295"
"529";"Sphingomonas sp. THG-DN7.10"
"530";"Sphingosinicella sp. YJ22"
"531";"Spizellomyces punctatus"
"532";"Spumella lacusvadosi"
"533";"Spumella sp. 37G"
"534";"Spumella sp. CH3"
"535";"Spumella sp. SpiG"
"536";"Spumella vulgaris"
"537";"Stephensia shanorii"
"538";"Stereum ostrea"
"539";"Stigmalychus sp. AD1318"
"540";"Stilbocrea macrostoma"
"541";"Streptacidiphilus alcalitolerans"
"542";"Streptomyces abietis"
"543";"Streptomyces sp. PanSC6"
"544";"Syncephalis depressa"
"545";"Syncephalis fuscata"
"546";"Tachyporus hypnorum"
"547";"Tachysoma pellionellum"
"548";"Taraxacum kok-saghyz"
"549";"Tepidisphaera mucosa"
"550";"Teratocephalus terrestris"
"551";"Terracidiphilus gabretensis"
"552";"Terrimonas arctica"
"553";"Terrimonas sp. URHE0054"
"554";"Tetracanthella sp. YB-2012"
"555";"Tetranychus urticae"
"556";"Tetrodontophora bielanensis"
"557";"Thecotheus holmskjoldii"
"558";"Tipula abdominalis"
"559";"Tipula cockerelliana"
"560";"Trechispora farinacea"
"561";"Trechus obtusus"
"562";"Trechus quadristriatus"
"563";"Trichocerca rattus"
"564";"Trinema enchelys"
"565";"Trinema lineare"
"566";"Tubeufia helicomyces"
"567";"Tullbergia yosii"
"568";"Tylencholaimus sp. PDL-2005"
"569";"Tylenchus arcuatus"
"570";"uncultured Acidimicrobium sp."
"571";"uncultured Acidisphaera sp."
"572";"uncultured Aciditerrimonas sp."
"573";"uncultured Acidobacterium sp."
"574";"uncultured Acidobacterium UA3"
"575";"uncultured Acidothermus sp."
"576";"uncultured Acidovorax sp."
"577";"uncultured Actinoallomurus sp."
"578";"uncultured Actinocatenispora sp."
"579";"uncultured Actinomyces sp."
"580";"uncultured Actinoplanes sp."
"581";"uncultured Adhaeribacter sp."
"582";"uncultured Altererythrobacter sp."
"583";"uncultured Aminobacter sp."
"584";"uncultured Anaeromyxobacter sp."
"585";"uncultured Arenimonas sp."
"586";"uncultured Bacillus sp."
"587";"uncultured Bacteroides sp."
"588";"uncultured Bdellovibrio sp."
"589";"uncultured Bellilinea sp."
"590";"uncultured Blastochloris sp."
"591";"uncultured Bradyrhizobium sp."
"592";"uncultured Burkholderia sp."
"593";"uncultured Byssovorax sp."
"594";"uncultured Caldilinea sp."
"595";"uncultured Candidatus Koribacter sp."
"596";"uncultured Candidatus Microthrix sp."
"597";"uncultured Candidatus Nephrothrix sp."
"598";"uncultured Candidatus Nitrosopumilus sp."
"599";"uncultured Candidatus Solibacter sp."
"600";"uncultured Caulobacter sp."
"601";"uncultured Chitinophaga sp."
"602";"uncultured Chloroflexus sp."
"603";"uncultured Chondromyces sp."
"604";"uncultured Comamonas sp."
"605";"uncultured Conexibacter sp."
"606";"uncultured Crocinitomix sp."
"607";"uncultured Cupriavidus sp."
"608";"uncultured Curvibacter sp."
"609";"uncultured Cystobacter sp."
"610";"uncultured Cytophaga sp."
"611";"uncultured Dactylosporangium sp."
"612";"uncultured Dehalococcoides sp."
"613";"uncultured Demequina sp."
"614";"uncultured Denitratisoma sp."
"615";"uncultured Derxia sp."
"616";"uncultured Desulfitobacterium sp."
"617";"uncultured Desulfotalea sp."
"618";"uncultured Desulfovibrio sp."
"619";"uncultured Desulfovirga sp."
"620";"uncultured Desulfuromonas sp."
"621";"uncultured Dokdonella sp."
"622";"uncultured Dongia sp."
"623";"uncultured Dyella sp."
"624";"uncultured Edaphobacter sp."
"625";"uncultured Elusimicrobium sp."
"626";"uncultured Erythrobacter sp."
"627";"uncultured Ferribacterium sp."
"628";"uncultured Ferrimicrobium sp."
"629";"uncultured Ferrithrix sp."
"630";"uncultured Ferruginibacter sp."
"631";"uncultured Fibrobacter sp."
"632";"uncultured Flavisolibacter sp."
"633";"uncultured Flavobacterium sp."
"634";"uncultured Flexibacter sp."
"635";"uncultured Fluviicola sp."
"636";"uncultured Frankia sp."
"637";"uncultured Fusobacterium sp."
"638";"uncultured Gaiella sp."
"639";"uncultured Gemmata sp."
"640";"uncultured Gemmatimonas sp."
"641";"uncultured Geoalkalibacter sp."
"642";"uncultured Geobacter sp."
"643";"uncultured Georgfuchsia sp."
"644";"uncultured Geothermobacter sp."
"645";"uncultured Haliangium sp."
"646";"uncultured Haliea sp."
"647";"uncultured Haliscomenobacter sp."
"648";"uncultured Herbaspirillum sp."
"649";"uncultured Herminiimonas sp."
"650";"uncultured Holophaga sp."
"651";"uncultured Hydrogenophaga sp."
"652";"uncultured Hyphomicrobium sp."
"653";"uncultured Iamia sp."
"654";"uncultured Ignavibacterium sp."
"655";"uncultured Ilumatobacter sp."
"656";"uncultured Isosphaera sp."
"657";"uncultured Janibacter sp."
"658";"uncultured Kineococcus sp."
"659";"uncultured Kineosporia sp."
"660";"uncultured Kofleria sp."
"661";"uncultured Ktedonobacter sp."
"662";"uncultured Lacibacter sp."
"663";"uncultured Legionella sp."
"664";"uncultured Lentzea sp."
"665";"uncultured Levilinea sp."
"666";"uncultured Lishizhenia sp."
"667";"uncultured Longilinea sp."
"668";"uncultured Luteolibacter sp."
"669";"uncultured Lysobacter sp."
"670";"uncultured Malonomonas sp."
"671";"uncultured Marmoricola sp."
"672";"uncultured Massilia sp."
"673";"uncultured Mesorhizobium sp."
"674";"uncultured Methylobacillus sp."
"675";"uncultured Methylocapsa sp."
"676";"uncultured Methylocella sp."
"677";"uncultured Methylophilus sp."
"678";"uncultured Methylosinus sp."
"679";"uncultured Microlunatus sp."
"680";"uncultured Micromonospora sp."
"681";"uncultured Microvirga sp."
"682";"uncultured Moorella sp."
"683";"uncultured Mucilaginibacter sp."
"684";"uncultured Mycobacterium sp."
"685";"uncultured Nannocystis sp."
"686";"uncultured Niastella sp."
"687";"uncultured Nitratireductor sp."
"688";"uncultured Nitrosococcus sp."
"689";"uncultured Nitrososphaera sp."
"690";"uncultured Nitrosospira sp."
"691";"uncultured Nitrospira sp."
"692";"uncultured Nocardioides sp."
"693";"uncultured Novosphingobium sp."
"694";"uncultured Ohtaekwangia sp."
"695";"uncultured Opitutus sp."
"696";"uncultured Pasteuria sp."
"697";"uncultured Pedobacter sp."
"698";"uncultured Pedomicrobium sp."
"699";"uncultured Pedosphaera sp."
"700";"uncultured Pelobacter sp."
"701";"uncultured Phaselicystis sp."
"702";"uncultured Phenylobacterium sp."
"703";"uncultured Pirellula sp."
"704";"uncultured Planctomyces sp."
"705";"uncultured Polaromonas sp."
"706";"uncultured Polyangium sp."
"707";"uncultured Propionivibrio sp."
"708";"uncultured Prosthecobacter sp."
"709";"uncultured Prosthecomicrobium sp."
"710";"uncultured Pseudolabrys sp."
"711";"uncultured Pseudomonas sp."
"712";"uncultured Pseudonocardia sp."
"713";"uncultured Rhizobium sp."
"714";"uncultured Rhizomicrobium sp."
"715";"uncultured Rhodobium sp."
"716";"uncultured Rhodococcus sp."
"717";"uncultured Rhodoferax sp."
"718";"uncultured Rhodomicrobium sp."
"719";"uncultured Rhodopirellula sp."
"720";"uncultured Rhodoplanes sp."
"721";"uncultured Rhodopseudomonas sp."
"722";"uncultured Rhodothermus sp."
"723";"uncultured Roseiflexus sp."
"724";"uncultured Rubrobacter sp."
"725";"uncultured Saccharibacillus sp."
"726";"uncultured Saccharophagus sp."
"727";"uncultured Segetibacter sp."
"728";"uncultured Singulisphaera sp."
"729";"uncultured Sinomonas sp."
"730";"uncultured Skermanella sp."
"731";"uncultured Solibacter sp."
"732";"uncultured Solirubrobacter sp."
"733";"uncultured Solitalea sp."
"734";"uncultured Sphaerobacter sp."
"735";"uncultured Sphingobium sp."
"736";"uncultured Sphingomonas sp."
"737";"uncultured Sphingosinicella sp."
"738";"uncultured Sporichthya sp."
"739";"uncultured Stella sp."
"740";"uncultured Steroidobacter sp."
"741";"uncultured Sterolibacterium sp."
"742";"uncultured Streptomyces sp."
"743";"uncultured Syntrophobacter sp."
"744";"uncultured Syntrophus sp."
"745";"uncultured Terriglobus sp."
"746";"uncultured Terrimonas sp."
"747";"uncultured Thermaerobacter sp."
"748";"uncultured Thermoanaerobacter sp."
"749";"uncultured Thermoflavimicrobium sp."
"750";"uncultured Thermoleophilum sp."
"751";"uncultured Thermomonas sp."
"752";"uncultured Thiobacillus sp."
"753";"uncultured Thiohalospira sp."
"754";"uncultured Thiorhodospira sp."
"755";"uncultured Turneriella sp."
"756";"uncultured Verrucomicrobium sp."
"757";"uncultured Woodsholea sp."
"758";"uncultured Xanthomonas sp."
"759";"uncultured Zavarzinella sp."
"760";"Uropoda orbicularis"
"761";"Urostyla grandis"
"762";"Vampyrella pendula"
"763";"Variibacter gotjawalensis"
"764";"Vaucheria terrestris"
"765";"Veigaia nemorensis"
"766";"Veigaia sp. 2 APGD-2010"
"767";"Vermamoeba vermiformis"
"768";"Vertagopus sp. YB-2012"
"769";"Vigna angularis"
"770";"Vorticella campanula"
"771";"Vorticella sp. PPS-2011b"
"772";"Vulgatibacter incomptus"
"773";"Waitea circinata"
"774";"Willowsia nigromaculata"
"775";"Woronina pythii"
