consumer_tax_level;consumer;type;resource;resource_tax_level;reference;;;
species;Olpidium brassicae;parasiteOf;Dactylis;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Fragaria;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Hordeum;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Lactuca;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Lycopersicon;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Matricaria;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Nicotiana;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Petroselinum;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Phleum;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Plantago;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Poa;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Stellaria;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Taraxacum;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Trifolium;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Veronica;genus;FungalDataBase;;;
genus;Paratylenchus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Phoma herbarum;parasiteOf;Acacia mearnsii;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Acanthus mollis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Achillea millefolium;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Agrimonia;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Agrimonia pubescens;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Alchemilla vulgaris;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Alhagi;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Alhagi persarum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Allium cardiostemon;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Aloe plicatilis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Anthriscus nemorosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Arachis hypogaea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Arenaria fendleri;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Arenaria peploides;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Artemisia;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Artemisia parviflora;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Asperula;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Atractylodes ;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Avena sativa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Berberis;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Betonica officinalis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Bituminaria bituminosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Bryonia alba;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Buddleja;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Buxus;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Buxus balearica;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cajanus cajan;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cannabis sativa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Carex;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Carica papaya;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Carya illinoensis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cassia occidentalis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Castilleja arachnoidea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Centaurea scabiosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Centaurea solstitialis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cerastium alpinum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cerastium arvense;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cerastium cerastoides;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cerastium viscosum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cerastium vulgatum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Chenopodium album;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Chrysanthemum ;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Chrysanthemum cinerariifolium;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Chrysanthemum indicum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Chrysanthemum maximum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cichorium intybus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Clematis;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cochlearia officinalis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Conium maculatum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Convolvulus fruticosus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Convolvulus hamadae;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Coptis trifolia;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Cosmos sulphureus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Crotalaria juncea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dactylis glomerata;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dahlia;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Daucus carota;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Delphinium;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dianthus;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dianthus armeria;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Digitalis grandiflora;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dittrichia viscosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dolichos lablab;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dryas octopetala;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Dysoxylum decandrum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Elaeis guineensis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Euphorbia cyparissias;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Ferula;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Foeniculum;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Fraxinus excelsior;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Funaria hygrometrica;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Galium mollugo;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Galium physocarpum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Galium uliginosum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Halocnemum strobilaceum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Haplophyllum;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Helianthus annuus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Hordeum vulgare;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Humulus lupulus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Hyoscyamus albus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Ipomoea hederacea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Jatropha curcas;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Jurinea;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Lactuca;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Lycopersicon esculentum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Malus domestica;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Malus sylvestris;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Manihot utilissima;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Marrubium velutinum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Medicago laciniata;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Medicago sativa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Melilotus alba;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Mentha ×piperita;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Mesembryanthemum ;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Murraya paniculata;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Nerium;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Nerium indicum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Ocimum sanctum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Onobrychis viciifolia;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Oryza;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Oryza australiensis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Oryza sativa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Phalaris arundinacea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pharbitis hederacea;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Phaseolus lunatus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Picea excelsa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Picea mariana;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pinus halepensis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pinus kesiya;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pisum sativum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Polytrichum juniperinum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Prunus;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pseudophoenix sargentii;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Pseudotsuga menziesii;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Rosa;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Rosa multiflora;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Rumex;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Rumex crispus;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Salvia nemorosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Scrophularia leucoclada;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Scrophularia nodosa;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Scutellaria peregrina;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Secale cereale;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Setaria pumila;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Solanum lycopersicum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Solanum tuberosum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Stachys palustris;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Stachytarpheta dichotoma;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Stachytarpheta jamaicensis;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Tagetes erecta;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Taraxacum officinale;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Thuja;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Trifolium incarnatum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Trifolium pratense;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Triticum aestivum;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Urtica;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Urtica dioica;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Verbena;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Vetiveria zizanioides;species;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Vicia;genus;FungalDataBase;;;
species;Phoma herbarum;parasiteOf;Zea mays;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Agropyron repens;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Agrostis palustris;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Avena sativa;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Bromus inermis;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Bromus tectorum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Cynodon dactylon;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Elytrigia repens;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Festuca elatior;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Festuca myuros;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Hordeum jubatum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Hordeum vulgare;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Lolium;genus;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Panicum dichotomiflorum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Phalaris arundinacea;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Poa annua;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Secale cereale;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Sorghum arundinaceum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Sorghum arundinaceum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Sorghum verticilliflorum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Trifolium;genus;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Triticum aestivum;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Triticum spelta;species;FungalDataBase;;;
species;Polymyxa graminis;parasiteOf;Zea mays;species;FungalDataBase;;;
species;Pratylenchoides ritteri;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Pratylenchus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Protomyces;parasiteOf;Aegopodium;genus;FungalDataBase;;;
genus;Protomyces;parasiteOf;Ammi majus;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Angelica archangelica;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Angelica sylvestris;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Anthriscus caucalis;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Anthriscus sylvestris;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Aposeris foetida;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Berula erecta;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Carum carvi;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Chaerophyllum hirsutum;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Cirsium oleraceum;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Conopodium majus;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Crepis paludosa;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Galinsoga parviflora;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Helosciadium nodiflorum;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Heracleum austriacum;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Heracleum sphondylium;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Lathyrus linifolius;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Leontodon;genus;FungalDataBase;;;
genus;Protomyces;parasiteOf;Mutellina adonidifolia;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Mutellina purpurea;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Oenanthe crocata;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Sium erectum;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Sonchus oleraceus;species;FungalDataBase;;;
genus;Protomyces;parasiteOf;Taraxacum;genus;FungalDataBase;;;
genus;Protomyces;parasiteOf;Torilis neglecta;species;FungalDataBase;;;
species;Pythium monospermum;parasiteOf;Hordeum vulgare;species;FungalDataBase;;;
species;Pythium monospermum;parasiteOf;Nematoda;phylum;PMCID: PMC2618058;;;
species;Pythium rostratifingens;parasiteOf;Medicago;genus;http://www.westerdijkinstitute.nl/publications/1050/045-New%20species%20of%20Pythium%20and%20Phytophthora.pdf;;;
species;Pythium rostratifingens;parasiteOf;Triticum;genus;http://www.westerdijkinstitute.nl/publications/1050/045-New%20species%20of%20Pythium%20and%20Phytophthora.pdf;;;
species;Rhizoctonia solani;parasiteOf; Poaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Brassicaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Fabaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Asteraceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Rosaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Primulaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Geraniaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Lamiaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Amaranthaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Balsaminaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Linaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Streptophytina ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Cucurbitaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizoctonia solani;parasiteOf; Solanaceae ;family;GLoBi;the first 15 families in terms of listed interactions;;
species;Rhizophydium planktonicum;parasiteOf;Asterionella;genus;GLoBi;;;
genus;Romanomermis;parasiteOf;Diptera;order;;;#VALEUR!;
genus;Rotylenchulus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Tetranychus urticae;parasiteOf;Abelmoschus esculentus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Achillea millefolium;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Actinidia chinensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ageratum conyzoides;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ageratum houstonianum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Allium cepa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Allium sativum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Arachis hypogaea;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Arracacia xanthorrhiza;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Asparagus officinalis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Averrhoa carambola;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Beta vulgaris;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Callistephus chinensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Camellia sinensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Capsicum ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Capsicum annuum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Carica papaya;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Catharanthus roseus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Chromolaena odorata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Chrysanthemum indicum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Citrullus lanatus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Citrus ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Citrus limon;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Citrus sinensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Convolvulus arvensis;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Corylus ;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Cucumis melo;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Cucumis sativus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Cucurbita moschata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Cucurbita pepo;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Dahlia pinnata;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Dianthus caryophyllus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Diospyros;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Elettaria cardamomum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Enterolobium cyclocarpum;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Euonymus alatus;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Euphorbia pulcherrima;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Fabaceae;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Ficus carica;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Fragaria ananassa;species;https://www.cabi.org/isc/datasheet/53366;;;
species;Tetranychus urticae;parasiteOf;Freesia ;species;https://www.cabi.org/isc/datasheet/53366;;;
