"";"x"
"77";"Archaeospora sp. PODO7.3"
"78";"Archaeospora trappei"
"79";"Arcuospathidium namibiense"
"80";"Arenimonas"
"81";"Arenimonas daechungensis"
"82";"Arenimonas sp. HMF3017"
"83";"Arthrobacter"
"84";"Articulospora proliferata"
"85";"Ascobolus"
"86";"Ascobolus stercorarius"
"87";"Asterostroma andinum"
"88";"Athous"
"89";"Aulacorthum solani"
"90";"Auxarthron"
"91";"Azospirillum sp. T2-YC6788"
"92";"Bacillus"
"93";"Bacteriovorax sp. PNEc1"
"94";"Bardeliella pulchra"
"95";"Barynotus moerens"
"96";"Barynotus obscurus"
"97";"Basidiobolus"
"98";"Basiria"
"99";"Bastiania"
"100";"Bastiania gracilis"
"101";"Bdellovibrio"
"102";"Bdellovibrio exovorus"
"103";"Beauveria"
"104";"Bicosoeca petiolata"
"105";"Bisporella citrina"
"106";"Blaberolaelaps sp. APGD-2010"
"107";"Blastococcus"
"108";"Blastococcus sp. URHB0062"
"109";"Blastococcus sp. URHD0003"
"110";"Blepharisma"
"111";"Blepharisma hyalinum"
"112";"Bodo"
"113";"Bodomorpha"
"114";"Bodomorpha sp. HFCC56"
"115";"Bodomorpha sp. HFCC57"
"116";"Bolbitius vitellinus"
"117";"Boleodorus volutus"
"118";"Bos taurus"
"119";"Botryochloris sp. SiM-2003"
"120";"Boudiera acanthospora"
"121";"Brachyphoris oviparasitica"
"122";"Bracteacoccus"
"123";"Bradyrhizobium"
"124";"Bradyrhizobium sp. Shinshu-th2"
"125";"Bradyrhizobium sp. URHC0015"
"126";"Bradysia subrufescens"
"127";"Bresslaua vorax"
"128";"Bresslauides discoideus"
"129";"Brevundimonas"
"130";"Bryometopus pseudochilodon"
"131";"Bryometopus sphagni"
"132";"Buchholzia fallax"
"133";"Bullera"
"134";"Bumilleriopsis"
"135";"Burkholderia"
"136";"Burkholderia cepacia"
"137";"Caenimonas sp. TSX9-5"
"138";"Calluna vulgaris"
"139";"Camarophyllus"
"140";"Campanella subdendrophora"
"141";"Campodea"
"142";"Campodea fragilis"
"143";"Canavalia ensiformis"
"144";"Candidatus Koribacter versatilis"
"145";"Candidatus Nitrosocosmicus"
"146";"Candidatus Nitrososphaera gargensis"
"147";"Candidatus Solibacter"
"148";"Candidatus Solibacter usitatus"
"149";"Capsellina sp. ATCC 50039"
"150";"Cardamine"
"151";"Catellatospora sp. KC-EP-S6"
"152";"Catenaria"
"153";"Catenulispora"
"154";"Catenulispora graminis"
"155";"Caudiholosticha sp. Zlv-2015"
"156";"Caudiholosticha sylvatica"
"157";"Caulerpa cupressoides"
"158";"Caulobacter"
"159";"Caulobacter fusiformis"
"160";"Caulobacter profundus"
"161";"Cedrus"
"162";"Cellulomonas"
"163";"Cellvibrio"
"164";"Cenarchaeum symbiosum"
"165";"Cephalobus persegnis"
"166";"Cephaloticoccus"
"167";"Cerastium arcticum"
"168";"Ceratophysella sp. FZ-2014"
"169";"Cercomonas"
"170";"Cercomonas alexieffi"
"171";"Cercomonas braziliensis"
"172";"Cercomonas celer"
"173";"Cercomonas fastiga"
"174";"Cercomonas media"
"175";"Cercomonas parambigua"
"176";"Cercomonas parincurva"
"177";"Cercomonas radiata"
"178";"Cercomonas rapida"
"179";"Cercomonas sp. ATCC 50367"
"180";"Cercomonas sp. HFCC 905"
"181";"Cercomonas vacuolata"
"182";"Cetraspora nodosa"
"183";"Chaetosphaeria ciliata"
"184";"Chamaedrilus"
"185";"Chamaedrilus aff. glandulosus A SM-2014"
"186";"Chamaedrilus aff. sphagnetorum C SM-2014"
"187";"Cheilymenia stercorea"
"188";"Chitinophaga"
"189";"Chitinophaga oryziterrae"
"190";"Chitinophaga pinensis"
"191";"Chitinophaga sp. BN130233"
"192";"Chlamydomonas"
"193";"Chlamydomonas philotes"
"194";"Chlamydomonas reinhardtii"
"195";"Chlamydomyxa labyrinthuloides"
"196";"Chlorella"
"197";"Chlorella emersonii"
"198";"Chlorellidium"
"199";"Chlorellidium tetrabotrys"
"200";"Chlorococcum"
"201";"Choleva angustata"
"202";"Chromosera"
"203";"Chryseobacterium"
"204";"Chthoniobacter flavus"
"205";"Chthonius"
"206";"Chthonius sp. 2 JM-2008"
"207";"Chytridium polysiphoniae"
"208";"Cladosporium"
"209";"Cladosporium sp. CB-20"
"210";"Clarkus"
"211";"Claroideoglomus claroideum"
"212";"Clavibacter"
"213";"Clostridium"
"214";"Codosiga"
"215";"Coelastrella saipanensis"
"216";"Colpoda"
"217";"Colpoda inflata"
"218";"Colpoda sp. MD-2011"
"219";"Colpoda sp. PRA-118"
"220";"Conexibacter"
"221";"Conopodium majus"
"222";"Cordyceps cylindrica"
"223";"Cordyceps memorabilis"
"224";"Corythion dubium"
"225";"Craterocolla cerasi"
"226";"Cryphonectria parasitica"
"227";"Cryptococcus amylolentus"
"228";"Cultellothrix coemeterii"
"229";"Cultellothrix lionotiformis"
"230";"Cylindroiulus caeruleocinctus"
"231";"Cyphellophora sessilis"
"232";"Cystobasidium"
"233";"Cytophaga hutchinsonii"
"234";"Dactylis glomerata"
"235";"Dactylosporangium"
"236";"Dechloromonas"
"237";"Dechlorospirillum sp. SN1"
"238";"Delftia"
"239";"Demequina sp. CMS382"
"240";"Desmodesmus"
"241";"Desulfuromonas"
"242";"Devosia"
"243";"Devosia sp. P-37"
"244";"Diaphanoeca spiralifurca"
"245";"Diaphorobacter sp. NPG-14"
"246";"Dictyosporium"
"247";"Dileptus microstoma"
"248";"Dileptus sp."
"249";"Dinobryon"
"250";"Dioszegia"
"251";"Dioszegia crocea"
"252";"Diplogasteroides magnus"
"253";"Discolaimus cf. major HHBM-2007a"
"254";"Dissophora decumbens"
"255";"Ditylenchus dipsaci"
"256";"Diversispora"
"257";"Diversispora varaderana"
"258";"Dokdonella ginsengisoli"
"259";"Dongia"
"260";"Dongia sp. CB 286422"
"261";"Duganella"
"262";"Duganella sp. 2M1lan"
"263";"Duganella sp. JPPB B33"
"264";"Dyadobacter"
"265";"Echinamoeba exundans"
"266";"Ecumenicus"
"267";"Edaphobacter"
"268";"Edaphobacter dinghuensis"
"269";"Emticicia sp. KJ033"
"270";"Enchytraeus"
"271";"Enchytraeus albidus"
"272";"Enchytraeus buchholzi"
"273";"Enchytraeus bulbosus"
"274";"Enchytraeus christenseni"
"275";"Enchytraeus lacteus"
"276";"Enchytraeus norvegicus"
"277";"Enchytronia parva"
"278";"Endochytrium sp. JEL 324"
"279";"Endogone"
"280";"Endogone lactiflua"
"281";"Endogone sp. OSC T14506"
"282";"Endogone sp. W5994"
"283";"Entomobrya multifasciata"
"284";"Entomobrya sp. 9644 FZ-2013"
"285";"Entyloma ficariae"
"286";"Eocercomonas"
"287";"Eocercomonas sp. HFCC 908"
"288";"Eocercomonas sp. HFCC 909"
"289";"Eosentomon sp. FNSA-2002"
"290";"Epipyxis pulchra"
"291";"Epispathidium sp. RV-2015"
"292";"Epispathidium terricola"
"293";"Epistylis"
"294";"Eucephalobus striatus"
"295";"Euduboscquella"
"296";"Euglypha"
"297";"Euglypha rotunda"
"298";"Euglypha tuberculata"
"299";"Eumonhystera"
"300";"Euplotes"
"301";"Euplotes balteatus"
"302";"Euplotes qatarensis"
"303";"Euplotes trisulcatus"
"304";"Fallopia multiflora"
"305";"Ferruginibacter"
"306";"Ferruginibacter paludis"
"307";"Ferruginibacter sp. WF24"
"308";"Fibrella sp."
"309";"Filobasidium stepposum"
"310";"Fistulifera"
"311";"Flavisolibacter"
"312";"Flavisolibacter rigui"
"313";"Flavobacterium"
"314";"Flavobacterium hydatis"
"315";"Flavobacterium sp. BF134"
"316";"Flavobacterium sp. HL-17"
"317";"Flavobacterium sp. PDD-32b-56"
"318";"Flavobacterium sp. R-38392"
"319";"Flavosolibacter sp. HU1-JC5"
"320";"Fluviicola"
"321";"Fluviicola sp. YS 1.2.4"
"322";"Folsomia candida"
"323";"Folsomia quadrioculata"
"324";"Forficula"
"325";"Forficula auricularia"
"326";"Forficula sp. NC-1995"
"327";"Fridericia"
"328";"Fridericia bisetosa"
"329";"Fridericia christeri"
"330";"Fridericia connata"
"331";"Fridericia galba"
"332";"Fridericia isseli"
"333";"Fridericia magna"
"334";"Fridericia paroniana"
"335";"Fridericia ratzeli"
"336";"Fridericia sohlenii"
"337";"Fridericia sylvatica"
"338";"Fridericia tuberosa"
"339";"Friesea grisea"
"340";"Frigoribacterium sp. B1-25c-3"
"341";"Funneliformis mosseae"
"342";"Fuscheria"
"343";"Fuscheria sp. VBOEF-2011"
"344";"Gaeumannomyces graminis"
"345";"Gaiella"
"346";"Gaiella occulta"
"347";"Geastrum saccatum"
"348";"Gemmata"
"349";"Gemmata obscuriglobus"
"350";"Gemmata sp. Fl1-1"
"351";"Gemmatimonas"
"352";"Geobacter"
"353";"Geobacter anodireducens"
"354";"Geobacter sp. enrichment culture clone VanCtr1"
"355";"Geodermatophilus"
"356";"Geodermatophilus sp. Z2R53"
"357";"Georgfuchsia toluolica"
"358";"Geothrix"
"359";"Gliricola sp. 274"
"360";"Glomus"
"361";"Glomus invermaium"
"362";"Glomus sp. 9 SUN-2011"
"363";"Gongronella"
"364";"Gongronella butleri"
"365";"Gonostomum"
"366";"Gonostomum namibiense"
"367";"Gonostomum sp. JS-2012"
"368";"Gonostomum strenuum"
"369";"Granulicella paludicola"
"370";"Guepiniopsis buccina"
"371";"Halteromyces radiatus"
"372";"Hantzschia"
"373";"Hantzschia amphioxys"
"374";"Helianthus annuus"
"375";"Helicotylenchus"
"376";"Helicotylenchus varicaudatus"
"377";"Hemiamphisiella terricola"
"378";"Henlea"
"379";"Henlea perpusilla"
"380";"Herbaspirillum"
"381";"Herpetomonas"
"382";"Hesperelaea palmeri"
"383";"Heterococcus caespitosus"
"384";"Heterodera"
"385";"Heteromita"
"386";"Heterophrys sp. Oxford1"
"387";"Hibberdia magna"
"388";"Histiostoma feroniarum"
"389";"Hodophilus hymenocephalus"
"390";"Holcus"
"391";"Holophaga sp. oral clone CA002"
"392";"Holwaya mucida"
"393";"Homalogastra setosa"
"394";"Humibacter sp. Po15c"
"395";"Hyalorbilia sp. HOB-2016a"
"396";"Hydrocarboniphaga"
"397";"Hydrogenophaga"
"398";"Hygrocybe"
"399";"Hygrocybe reidii"
"400";"Hymenochaetopsis olivacea"
"401";"Hymenoscyphus repandus"
"402";"Hyphochytrium catenoides"
"403";"Hyphodiscus hymeniophilus"
"404";"Hyphodontia rimosissima"
"405";"Hyphomicrobium"
"406";"Iodophanus carneus"
"407";"Isolaimium multistriatum"
"408";"Isotoma viridis"
"409";"Isotomiella minor"
"410";"Itersonilia pannonica"
"411";"Itersonilia perplexans"
"412";"Ixiolirion tataricum"
"413";"Jaagiella alpicola"
"414";"Janibacter"
"415";"Janthinobacterium"
"416";"Jatrophihabitans"
"417";"Juncus"
"418";"Kangiella"
"419";"Kineosporia"
"420";"Klebsormidium"
"421";"Kribbella"
"422";"Kribbella sp. enrichment culture clone VanCtr42"
"423";"Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01"
"424";"Kutzneria"
"425";"Kuzuhaea moniliformis"
"426";"Labrys"
"427";"Lacrymaria marina"
"428";"Lamproderma sp. SAPA:100012"
"429";"Legionella"
"430";"Legionella lytica"
"431";"Leifsonia"
"432";"Leifsonia sp. A5AGK"
"433";"Lepidocyrtus paradoxus"
"434";"Lepidocyrtus sp. 1 FZ-2013"
"435";"Leptomyxa reticulata"
"436";"Leptomyxa sp. AS-2016b"
"437";"Leptopharynx bromelicola"
"438";"Leptosphaeria biglobosa"
"439";"Limonomyces roseipellis"
"440";"Linum"
"441";"Liochthonius sp. AD1300"
"442";"Lithobius forficatus"
"443";"Lithobius variegatus"
"444";"Lonchoptera lutea"
"445";"Longidorus"
"446";"Longidorus raskii"
"447";"Longidorus vinearum"
"448";"Luedemannella sp. 119-1-07"
"449";"Lumbricus"
"450";"Lumbricus castaneus"
"451";"Lumbricus centralis"
"452";"Lumbricus friendi"
"453";"Lumbricus terrestris"
"454";"Luteimonas aestuarii"
"455";"Luticola permuticopsis"
"456";"Lysobacter sp. MS6Y-8-7"
"457";"Lysobacter sp. RHLT3-4"
"458";"Lysobacter sp. YS-37"
"459";"Magnaporthe"
"460";"Magnetospirillum"
"461";"Mallomonas"
"462";"Marionina"
"463";"Marionina cf. minutissima PDW-2010"
"464";"Marionina clavata"
"465";"Marionina communis"
"466";"Marionina filiformis"
"467";"Marionina sublitoralis"
"468";"Marmoricola"
"469";"Martelella endophytica"
"470";"Maryna ovata"
"471";"Massilia"
"472";"Massisteria marina"
"473";"Mayamaea"
"474";"Mayamaea sp. KAS1111"
"475";"Megalothorax"
"476";"Megalothorax sp. EA040003-cs17"
"477";"Megalothorax sp. EA040004-cs23"
"478";"Megalothorax sp. EA040008-cs9"
"479";"Melastiza contorta"
"480";"Meloidogyne naasi"
"481";"Merlinius brevidens"
"482";"Merlinius cf. microdorus TSH-2005"
"483";"Merlinius joctus"
"484";"Meseres corlissi"
"485";"Mesodorylaimus cf. nigritulus AV-2005"
"486";"Mesorhabditis sp. 334Meso1"
"487";"Mesorhizobium"
"488";"Metarhizium"
"489";"Metarhizium anisopliae"
"490";"Metateratocephalus"
"491";"Methanomassiliicoccus sp. 138"
"492";"Methanomassiliicoccus sp. 142"
"493";"Methanomassiliicoccus sp. P27"
"494";"Methylobacterium"
"495";"Methylosinus sporium"
"496";"Methylosinus trichosporium"
"497";"Micractinium"
"498";"Microbacterium"
"499";"Microvirga"
"500";"Mischococcus sphaerocephalus"
"501";"Monilicaryon monilatum"
"502";"Monocystis agilis"
"503";"Monosiga ovata"
"504";"Moraxella osloensis"
"505";"Mortierella"
"506";"Mortierella sp. MS-6"
"507";"Mucilaginibacter"
"508";"Mucilaginibacter sp. HME7565"
"509";"Mucilaginibacter sp. UA-VH0703"
"510";"Mucor"
"511";"Multiclavula mucida"
"512";"Mycobacterium"
"513";"Mycobacterium sp. PSY065"
"514";"Mycoplana sp. HP12Q"
"515";"Mykophagophrys terricola"
"516";"Myrmica scabrinodis"
"517";"Myzus persicae"
"518";"Nakamurella"
"519";"Nakamurella sp. A24MTO"
"520";"Nannochloris sp. JL 4-6"
"521";"Neobodo designis"
"522";"Neopsilenchus magnidens"
"523";"Neourostylopsis"
"524";"Niastella"
"525";"Nitrososphaera"
"526";"Nitrospira"
"527";"Nitrospira marina"
"528";"Nitzschia"
"529";"Nitzschia pusilla"
"530";"Nocardia"
"531";"Nocardioides"
"532";"Nocardioides sp."
"533";"Nocardioides sp. MSL 24"
"534";"Nocardioides sp. RW28"
"535";"Nocardioides sp. SSRB28-7"
"536";"Noctua pronuba"
"537";"Nolandella"
"538";"Nonomuraea"
"539";"Notholca acuminata"
"540";"Notiophilus rufipes"
"541";"Novosphingobium"
"542";"Novosphingobium sp."
"543";"Nuclearia"
"544";"Nygolaimus cf. brachyuris JH-2004"
"545";"Obertrumia georgiana"
"546";"Occallatibacter riparius"
"547";"Ochrobactrum anthropi"
"548";"Ochromonas"
"549";"Ochromonas sp. CCMP2761"
"550";"Ochromonas vasocystis"
"551";"Octolasion"
"552";"Octolasion cyaneum"
"553";"Odontolaimus"
"554";"Oikomonas sp. SA-2.1"
"555";"Oligoflexus tunisiensis"
"556";"Olpidium bornovanus"
"557";"Olpidium brassicae"
"558";"Opitutus"
"559";"Orbicula parietina"
"560";"Orbilia sp. HOB-2016am"
"561";"Orchesella villosa"
"562";"Orciraptor agilis"
"563";"Oricola cellulosilytica"
"564";"Oryzihumus"
"565";"Otiorhynchus armadillo"
"566";"Oxytricha"
"567";"Paenibacillus"
"568";"Palaeospora spainiae"
"569";"Palmellopsis sp. BCP-EM1VF1"
"570";"Panacibacter ginsenosidivorans"
"571";"Panaeolus"
"572";"Panagrolaimus sp. PS443"
"573";"Panorbis viscosus"
"574";"Paracercomonas"
"575";"Paracercomonas astra"
"576";"Paracercomonas compacta"
"577";"Paracercomonas filosa"
"578";"Paracercomonas paralaciniaegerens"
"579";"Paracercomonas sp. HFCC 913"
"580";"Paracercomonas sp. HFCC 918"
"581";"Parafilimonas terrae"
"582";"Paraglomus"
"583";"Paraglomus brasilianum"
"584";"Paraphysomonas"
"585";"Paraphysomonas sp. 22 JMS-2012"
"586";"Paratylenchus"
"587";"Paratylenchus cf. neoamblicephalus"
"588";"Paratylenchus microdorus"
"589";"Paratylenchus similis"
"590";"Paucimonas lemoignei"
"591";"Paulinella"
"592";"Pedobacter"
"593";"Pedobacter luteus"
"594";"Pedobacter sp. FGR-05"
"595";"Pedomicrobium"
"596";"Pedosphaera parvula"
"597";"Pelobacter"
"598";"Pelomonas sp. CR2"
"599";"Pelomonas sp. K89"
"600";"Pemphigus"
"601";"Penicillium"
"602";"Penicillium sp. D01"
"603";"Penicillium sp. SDI-2014f"
"604";"Peniophorella praetermissa"
"605";"Pentapharsodinium tyrrhenicum"
"606";"Peregrinia clavideferens"
"607";"Perlucidibaca"
"608";"Persicaria"
"609";"Peyerimhoffia alpina"
"610";"Phacelia tanacetifolia"
"611";"Phaeosphaeria"
"612";"Phenylobacterium"
"613";"Phenylobacterium lituiforme"
"614";"Phenylobacterium sp. B6.10-61"
"615";"Phenylobacterium sp. enrichment culture clone LplF-80"
"616";"Phenylobacterium sp. URHA0004"
"617";"Phialina salinarum"
"618";"Pholiota squarrosa"
"619";"Phoma herbarum"
"620";"Phycisphaera mikurensis"
"621";"Phyllobacterium"
"622";"Picea"
"623";"Picea abies"
"624";"Pilogalumna rosauraruizae"
"625";"Pinus"
"626";"Piptocephalis graefenhanii"
"627";"Pirellula sp."
"628";"Pirellula staleyi"
"629";"Pisum"
"630";"Planctomyces"
"631";"Planctomyces sp."
"632";"Platyophrya"
"633";"Platyophrya bromelicola"
"634";"Platyophrya vorax"
"635";"Platyreta germanica"
"636";"Plectus"
"637";"Plectus aquatilis"
"638";"Pleurochloris meiringensis"
"639";"Pluteus petasatus"
"640";"Pluteus phlebophorus"
"641";"Podura aquatica"
"642";"Polydesmus coriaceus"
"643";"Polygonum"
"644";"Polymyxa graminis"
"645";"Pontibacter"
"646";"Pontibacter sp. LX8"
"647";"Porphyrobacter"
"648";"Porpoloma sp. 2 MSG-2014"
"649";"Poterioochromonas"
"650";"Poterioochromonas malhamensis"
"651";"Poterioochromonas stipitata"
"652";"Pratylenchoides ritteri"
"653";"Pratylenchus"
"654";"Preussia"
"655";"Prismatolaimus"
"656";"Prismatolaimus cf. dolichurus JH-2004"
"657";"Proceropycnis pinicola"
"658";"Prodesmodora circulata"
"659";"Prodorylaimus sp. HHBM-2007a"
"660";"Prorodon"
"661";"Protaphorura armata"
"662";"Protaspis"
"663";"Protaspis obliqua"
"664";"Protocyclidium sinica"
"665";"Protomyces"
"666";"Protoribates hakonensis"
"667";"Prototheca"
"668";"Psathyrella sp. D16"
"669";"Pseudaphelenchus"
"670";"Pseudo-nitzschia heimii"
"671";"Pseudochilodonopsis sp. 3 WS-2013"
"672";"Pseudocyrtolophosis alpestris"
"673";"Pseudomonas"
"674";"Pseudonocardia"
"675";"Pseudoplatynematum denticulatum"
"676";"Pseudoplatyophrya nana"
"677";"Pseudopleurochloris antarctica"
"678";"Pseudouroleptus sp. ALT-2014"
"679";"Pseudovorticella punctata"
"680";"Pseudovorticella sp. 5 PS-2016"
"681";"Psora"
"682";"Pterula echo"
"683";"Pungentus"
"684";"Pungentus sp. PDL-2005"
"685";"Pyrenochaeta sp. GMG_PPb7"
"686";"Pythium"
"687";"Pythium monospermum"
"688";"Pythium rostratifingens"
"689";"Pyxidiophora arvernensis"
"690";"Ralstonia solanacearum"
"691";"Ralstonia sp. JOS55-1"
"692";"Ramariopsis kunzei"
"693";"Ranunculus"
"694";"Rathayibacter"
"695";"Resource::Decaying_wood"
"696";"Resource::Dung"
"697";"Resource::Litter"
"698";"Resource::MOS"
"699";"Rhabditis"
"700";"Rhabdolaimus"
"701";"Rheum"
"702";"Rhizobium"
"703";"Rhizoctonia solani"
"704";"Rhizoglyphus"
"705";"Rhizomicrobium"
"706";"Rhizomicrobium sp. URHE0053"
"707";"Rhizophagus"
"708";"Rhizophagus intraradices"
"709";"Rhizophlyctis harderi"
"710";"Rhizophlyctis rosea"
"711";"Rhizophydium"
"712";"Rhizophydium patellarium"
"713";"Rhizophydium planktonicum"
"714";"Rhizophydium sp. JEL136"
"715";"Rhizophydium sp. UGA-F16"
"716";"Rhodanobacter"
"717";"Rhodanobacter sp. D47"
"718";"Rhodococcus"
"719";"Rhodoferax"
"720";"Rhodomicrobium"
"721";"Rhodopila globiformis"
"722";"Rhodoplanes"
"723";"Rhodoplanes sp. Z2-YC6860"
"724";"Rhogostoma"
"725";"Rhogostoma schuessleri"
"726";"Rhogostoma sp. CCAP 1966/4"
"727";"Rhopalosiphum padi"
"728";"Rickettsiella"
"729";"Robertus neglectus"
"730";"Romanomermis sichuanensis"
"731";"Roseiarcus fermentans"
"732";"Rotylenchulus borealis"
"733";"Rotylenchulus reniformis"
"734";"Rotylenchus vitis"
"735";"Rudaea cellulosilytica"
"736";"Rudaea sp. URHD0100"
"737";"Rumex"
"738";"Saccamoeba"
"739";"Saccharomyces cerevisiae"
"740";"Saccobolus dilutellus"
"741";"Salinibacterium sp. CC13L1"
"742";"Salvia nemorosa"
"743";"Sanguibacter"
"744";"Satchellius mammalis"
"745";"Sclerostagonospora sp. CBS 118142"
"746";"Scutellospora alterata"
"747";"Scytinostroma"
"748";"Sediminibacterium"
"749";"Sediminibacterium aquarii"
"750";"Segetibacter"
"751";"Seinura demani"
"752";"Seira barnardi"
"753";"Septoglomus"
"754";"Serpula incrassata"
"755";"Silene"
"756";"Siluania monomastiga"
"757";"Sinapis alba"
"758";"Singulisphaera rosea"
"759";"Sistotrema"
"760";"Sitona lineatus"
"761";"Sminthurides aquaticus"
"762";"Sminthurinus bimaculatus"
"763";"Sminthurus viridis"
"764";"Solirubrobacter"
"765";"Solitalea"
"766";"Sorangium cellulosum"
"767";"Sorghum"
"768";"Spathidium simplinucleatum"
"769";"Sphaerobolus stellatus"
"770";"Sphaeroeca"
"771";"Sphaeroeca volvox"
"772";"Sphenoderia"
"773";"Sphingobacterium"
"774";"Sphingobacterium sp. P-7"
"775";"Sphingobium olei"
"776";"Sphingomonas"
"777";"Sphingomonas changbaiensis"
"778";"Sphingomonas fennica"
"779";"Sphingomonas sp. 52NP12"
"780";"Sphingomonas sp. C0503"
"781";"Sphingomonas sp. DB-II-12"
"782";"Sphingomonas sp. LP105"
"783";"Sphingomonas sp. ML1"
"784";"Sphingomonas sp. NCCP-1295"
"785";"Sphingomonas sp. THG-DN7.10"
"786";"Sphingorhabdus"
"787";"Sphingosinicella sp. YJ22"
"788";"Spirochaeta"
"789";"Spizellomyces"
"790";"Spizellomyces punctatus"
"791";"Sporichthya"
"792";"Sporobolomyces"
"793";"Spumella"
"794";"Spumella lacusvadosi"
"795";"Spumella sp. 37G"
"796";"Spumella sp. CH3"
"797";"Spumella sp. SpiG"
"798";"Spumella vulgaris"
"799";"Staphylococcus"
"800";"Stellaria"
"801";"Stenotrophomonas"
"802";"Stephensia shanorii"
"803";"Stereum ostrea"
"804";"Steroidobacter"
"805";"Stigmalychus sp. AD1318"
"806";"Stigmatella"
"807";"Stilbocrea macrostoma"
"808";"Streptacidiphilus alcalitolerans"
"809";"Streptomyces"
"810";"Streptomyces abietis"
"811";"Streptomyces sp. PanSC6"
"812";"Streptosporangium"
"813";"Syncephalis depressa"
"814";"Syncephalis fuscata"
"815";"Synchytrium"
"816";"Tachyporus hypnorum"
"817";"Tachysoma pellionellum"
"818";"Talaromyces"
"819";"Taraxacum kok-saghyz"
"820";"Taxus"
"821";"Tectocepheus"
"822";"Tepidisphaera mucosa"
"823";"Teratocephalus terrestris"
"824";"Terracidiphilus gabretensis"
"825";"Terrimonas"
"826";"Terrimonas arctica"
"827";"Terrimonas sp. URHE0054"
"828";"Tetracanthella sp. YB-2012"
"829";"Tetrahymena"
"830";"Tetranychus urticae"
"831";"Tetrodontophora bielanensis"
"832";"Thaumatomastix"
"833";"Thaumatomonas"
"834";"Thecotheus holmskjoldii"
"835";"Thermomonas"
"836";"Tipula abdominalis"
"837";"Tipula cockerelliana"
"838";"Trechispora farinacea"
"839";"Trechus"
"840";"Trechus obtusus"
"841";"Trechus quadristriatus"
"842";"Tribonema"
"843";"Trichocerca rattus"
"844";"Trifolium"
"845";"Trinema"
"846";"Trinema enchelys"
"847";"Trinema lineare"
"848";"Tripyla"
"849";"Trypanosoma"
"850";"Tubeufia helicomyces"
"851";"Tullbergia yosii"
"852";"Tylencholaimus sp. PDL-2005"
"853";"Tylenchus arcuatus"
"854";"Tyrophagus"
"855";"uncultured Acidimicrobium sp."
"856";"uncultured Acidisphaera sp."
"857";"uncultured Aciditerrimonas sp."
"858";"uncultured Acidobacterium sp."
"859";"uncultured Acidobacterium UA3"
"860";"uncultured Acidothermus sp."
"861";"uncultured Acidovorax sp."
"862";"uncultured Actinoallomurus sp."
"863";"uncultured Actinocatenispora sp."
"864";"uncultured Actinomyces sp."
"865";"uncultured Actinoplanes sp."
"866";"uncultured Adhaeribacter sp."
"867";"uncultured Altererythrobacter sp."
"868";"uncultured Aminobacter sp."
"869";"uncultured Anaeromyxobacter sp."
"870";"uncultured Arenimonas sp."
"871";"uncultured Bacillus sp."
