"";"retained_tax";"class";"fam";"codeFW"
"27";"Aetherobacter";17;"Polyangiaceae";"Decomposers::Bacterie"
"28";"Aggregicoccus edonensis";17;"Myxococcaceae";"Decomposers::Bacterie"
"29";"Agriotes";1;"Elateridae";"Phytophage::Elateridae"
"30";"Agriotes sordidus";1;"Elateridae";"Phytophage::Elateridae"
"31";"Agromyces";17;"Microbacteriaceae";"Decomposers::Bacterie"
"32";"Alaimus";16;"Alaimidae";"Bacterivorous::Nematode"
"33";"Alicorhagia";15;"Alicorhagiidae";"Non.selective::Endeostigmata"
"34";"Allolobophora chlorotica";24;"Lumbricidae";"Geophageous::Lumb"
"35";"Allovahlkampfia";19;"Vahlkampfiidae";"Bacterivorous::Protist"
"36";"Alnus";2;"Betulaceae";"Phototroph::Fagales"
"37";"Altererythrobacter";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"38";"Altererythrobacter buctense";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"39";"Altererythrobacter sp. 100921-2";17;"Erythrobacteraceae";"Decomposers::Bacterie"
"40";"Ambispora fennica";24;"Ambisporaceae";"ACM::Glomeromyc"
"41";"Ambispora gerdemannii";24;"Ambisporaceae";"ACM::Glomeromyc"
"42";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";16;"Alaimidae";"Bacterivorous::Nematode"
"43";"Amphileptus sp. ZY-2014b";27;"Amphileptidae";"Pred2free::Protist"
"44";"Amphimallon solstitiale";15;"Scarabaeidae";"Coprophage::Insect"
"45";"Amplimerlinius";3;"Merliniidae";"Parasitic_p::Nematode"
"46";"Amplimerlinius icarus";3;"Merliniidae";"Parasitic_p::Nematode"
"47";"Amycolatopsis tolypomycina";17;"Pseudonocardiaceae";"Decomposers::Bacterie"
"48";"Anaeromyxobacter";17;"Anaeromyxobacteraceae";"Decomposers::Bacterie"
"49";"Anatonchus tridentatus";28;"Anatonchidae";"Pred3::Nematode"
"50";"Angustibacter luteus";17;"Kineosporiaceae";"Decomposers::Bacterie"
"51";"Anoplophrya marylandensis";12;"Anoplophryidae";"Parasitic::Anoplophrya"
"52";"Anteholosticha";30;"Holostichidae";"Pred2attach::Protist"
"53";"Anteholosticha gracilis";30;"Holostichidae";"Pred2attach::Protist"
"54";"Anteholosticha monilata";30;"Holostichidae";"Pred2attach::Protist"
"55";"Anteholosticha rectangula";30;"Holostichidae";"Pred2attach::Protist"
"56";"Anystis";13;"Anystidae";"Pred3::Mesostigmata"
"57";"Aphanomyces";24;"Saprolegniaceae";"Pathogen::Aphanomyces"
"58";"Aphelenchoides";6;"Aphelenchoididae";"Fungivorous::Nematode"
"59";"Aphelenchoides sp. 2137";6;"Aphelenchoididae";"Fungivorous::Nematode"
"60";"Aphelenchus";6;"Aphelenchidae";"Fungivorous::Nematode"
"61";"Aphelenchus avenae";6;"Aphelenchidae";"Fungivorous::Nematode"
"62";"Aphidius ervi";15;"Braconidae";"Parasitic::Aphidius"
"63";"Aphis";15;"Aphididae";"Phytophage::Aphis"
"64";"Aphodius johnsoni";15;"Scarabaeidae";"Coprophage::Insect"
"65";"Apiotrichum";7;"Trichosporonaceae";"Saprotroph::Fungi"
"66";"Apiotrichum porosum";7;"Trichosporonaceae";"Saprotroph::Fungi"
"67";"Aporcelaimellus sp. 2010_050";28;"Aporcelaimidae";"Pred3::Nematode"
"68";"Aporrectodea";24;"Lumbricidae";"Geophageous::Lumb"
"69";"Aporrectodea caliginosa";24;"Lumbricidae";"Geophageous::Lumb"
"70";"Aporrectodea longa";24;"Lumbricidae";"Geophageous::Lumb"
"71";"Aporrectodea rosea";24;"Lumbricidae";"Geophageous::Lumb"
"72";"Apusomonas proboscidea";20;"Apusomonadidae";"Pred1attach::Protist"
"73";"Aquihabitans daechungensis";17;"Iamiaceae";"Decomposers::Bacterie"
"74";"Archaeorhizomyces";7;"Archaeorhizomycetaceae";"Saprotroph::Fungi"
"75";"Archaeorhizomyces borealis";7;"Archaeorhizomycetaceae";"Saprotroph::Fungi"
"76";"Archaeorhizomyces finlayi";7;"Archaeorhizomycetaceae";"Saprotroph::Fungi"
"77";"Archaeospora sp. PODO7.3";24;"Archaeosporaceae";"ACM::Glomeromyc"
"78";"Archaeospora trappei";24;"Archaeosporaceae";"ACM::Glomeromyc"
"79";"Arcuospathidium namibiense";27;"Spathidiidae";"Pred2free::Protist"
"80";"Arenimonas";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"81";"Arenimonas daechungensis";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"82";"Arenimonas sp. HMF3017";17;"Xanthomonadaceae";"Opportunists::Bacterie"
"83";"Arthrobacter";17;"Micrococcaceae";"Decomposers::Bacterie"
"84";"Articulospora proliferata";7;"Helotiaceae";"Saprotroph::Fungi"
"85";"Ascobolus";7;"Ascobolaceae";"Coprotroph::Ascomycota"
"86";"Ascobolus stercorarius";7;"Ascobolaceae";"Coprotroph::Ascomycota"
"87";"Asterostroma andinum";7;"Lachnocladiaceae";"Saprotroph::Fungi"
"88";"Athous";1;"Elateridae";"Phytophage::Elateridae"
"89";"Aulacorthum solani";15;"Aphididae";"Phytophage::Aulacorthum"
"90";"Auxarthron";7;"Onygenaceae";"Saprotroph::Fungi"
"91";"Azospirillum sp. T2-YC6788";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"92";"Bacillus";17;"Bacillaceae";"Decomposers::Bacterie"
"93";"Bacteriovorax sp. PNEc1";17;"Bacteriovoracaceae";"Decomposers::Bacterie"
"94";"Bardeliella pulchra";20;"Bardeliellidae";"Pred1attach::Protist"
"95";"Barynotus moerens";15;"Curculionidae";"Phytophage::Barynotus"
"96";"Barynotus obscurus";15;"Curculionidae";"Phytophage::Barynotus"
"97";"Basidiobolus";7;"Basidiobolaceae";"Saprotroph::Fungi"
"98";"Basiria";4;"Tylenchidae";"Phytophage::Nematode"
"99";"Bastiania";16;"Oxystominidae";"Bacterivorous::Nematode"
"100";"Bastiania gracilis";16;"Oxystominidae";"Bacterivorous::Nematode"
"101";"Bdellovibrio";17;"Bdellovibrionaceae";"Decomposers::Bacterie"
"102";"Bdellovibrio exovorus";17;"Bdellovibrionaceae";"Decomposers::Bacterie"
"103";"Beauveria";25;"Cordycipitaceae";"Parasitic::Entomopath"
"104";"Bicosoeca petiolata";18;"Bicosoecidae";"Pred1free::Protist"
"105";"Bisporella citrina";7;"Helotiaceae";"Lignotroph::Fungi"
"106";"Blaberolaelaps sp. APGD-2010";13;"Laelapidae";"Pred3::Mesostigmata"
"107";"Blastococcus";17;"Geodermatophilaceae";"Decomposers::Bacterie"
"108";"Blastococcus sp. URHB0062";17;"Geodermatophilaceae";"Decomposers::Bacterie"
"109";"Blastococcus sp. URHD0003";17;"Geodermatophilaceae";"Decomposers::Bacterie"
"110";"Blepharisma";18;"Blepharismidae";"Pred1free::Protist"
"111";"Blepharisma hyalinum";18;"Blepharismidae";"Pred1free::Protist"
"112";"Bodo";19;"Bodonidae";"Bacterivorous::Protist"
"113";"Bodomorpha";20;"Heteromitidae";"Pred1attach::Protist"
"114";"Bodomorpha sp. HFCC56";20;"Heteromitidae";"Pred1attach::Protist"
"115";"Bodomorpha sp. HFCC57";20;"Heteromitidae";"Pred1attach::Protist"
"116";"Bolbitius vitellinus";7;"Bolbitiaceae";"Coprotroph::Basidiomycota"
"117";"Boleodorus volutus";4;"Tylenchidae";"Phytophage::Nematode"
"118";"Bos taurus";3;"Bovidae";"Mammifere"
"119";"Botryochloris sp. SiM-2003";23;"Botryochloridaceae";"Phototroph::Algae"
"120";"Boudiera acanthospora";7;"Pezizaceae";"Saprotroph::Fungi"
"121";"Brachyphoris oviparasitica";7;"Orbiliaceae";"Saprotroph::Fungi"
"122";"Bracteacoccus";23;"Bracteacoccaceae";"Phototroph::Algae"
"123";"Bradyrhizobium";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"124";"Bradyrhizobium sp. Shinshu-th2";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"125";"Bradyrhizobium sp. URHC0015";17;"Bradyrhizobiaceae";"Decomposers::Bacterie"
"126";"Bradysia subrufescens";15;"Sciaridae";"Saprophage::Diptere"
"127";"Bresslaua vorax";30;"Colpodidae";"Pred2attach::Protist"
"128";"Bresslauides discoideus";20;"Hausmanniellidae";"Pred1attach::Protist"
"129";"Brevundimonas";17;"Caulobacteraceae";"Decomposers::Bacterie"
"130";"Bryometopus pseudochilodon";30;"Bryometopidae";"Pred2attach::Protist"
"131";"Bryometopus sphagni";30;"Bryometopidae";"Pred2attach::Protist"
"132";"Buchholzia fallax";4;"Enchytraeidae";"Saprophageous::Enchy"
"133";"Bullera";7;"Bulleraceae";"Saprotroph::Fungi"
"134";"Bumilleriopsis";23;"Centritractaceae";"Phototroph::Algae"
"135";"Burkholderia";17;"Burkholderiaceae";"Decomposers::Bacterie"
"136";"Burkholderia cepacia";17;"Burkholderiaceae";"Decomposers::Bacterie"
"137";"Caenimonas sp. TSX9-5";17;"Comamonadaceae";"Decomposers::Bacterie"
"138";"Calluna vulgaris";2;"Ericaceae";"Phototroph::non-legume"
"139";"Camarophyllus";7;"Tricholomataceae";"Saprotroph::Fungi"
"140";"Campanella subdendrophora";7;"Marasmiaceae";"Saprotroph::Fungi"
"141";"Campodea";15;"Campodeidae";"Saprophage::Diploure"
"142";"Campodea fragilis";15;"Campodeidae";"Saprophage::Diploure"
"143";"Canavalia ensiformis";2;"Fabaceae";"Phototroph::non-legume"
"144";"Candidatus Koribacter versatilis";17;"Acidobacteriaceae";"Miners::Bacterie"
"145";"Candidatus Nitrosocosmicus";5;"Nitrososphaeraceae";"Decomposers::Archae"
"146";"Candidatus Nitrososphaera gargensis";5;"Nitrososphaeraceae";"Decomposers::Archae"
"147";"Candidatus Solibacter";17;"Solibacteraceae";"Miners::Bacterie"
"148";"Candidatus Solibacter usitatus";17;"Solibacteraceae";"Miners::Bacterie"
"149";"Capsellina sp. ATCC 50039";11;"Chlamydophryidae";"Algivorous::Protist"
"150";"Cardamine";2;"Brassicaceae";"Phototroph::Brassicaceae"
"151";"Catellatospora sp. KC-EP-S6";17;"Micromonosporaceae";"Decomposers::Bacterie"
"152";"Catenaria";7;"Catenariaceae";"Saprotroph::Fungi"
"153";"Catenulispora";17;"Catenulisporaceae";"Decomposers::Bacterie"
"154";"Catenulispora graminis";17;"Catenulisporaceae";"Decomposers::Bacterie"
"155";"Caudiholosticha sp. Zlv-2015";30;"Urostylidae";"Pred2attach::Protist"
"156";"Caudiholosticha sylvatica";30;"Urostylidae";"Pred2attach::Protist"
"157";"Caulerpa cupressoides";23;"Caulerpaceae";"Phototroph::Algae"
"158";"Caulobacter";17;"Caulobacteraceae";"Decomposers::Bacterie"
"159";"Caulobacter fusiformis";17;"Caulobacteraceae";"Decomposers::Bacterie"
"160";"Caulobacter profundus";17;"Caulobacteraceae";"Decomposers::Bacterie"
"161";"Cedrus";2;"Pinaceae";"Phototroph::Pinales"
"162";"Cellulomonas";17;"Cellulomonadaceae";"Decomposers::Bacterie"
"163";"Cellvibrio";17;"Cellvibrionaceae";"Opportunists::Bacterie"
"164";"Cenarchaeum symbiosum";5;"Cenarchaeaceae";"Decomposers::Archae"
"165";"Cephalobus persegnis";16;"Cephalobidae";"Bacterivorous::Nematode"
"166";"Cephaloticoccus";17;"Opitutaceae";"Decomposers::Bacterie"
"167";"Cerastium arcticum";2;"Caryophyllaceae";"Phototroph::Caryophyllaceae"
"168";"Ceratophysella sp. FZ-2014";8;"Hypogastruridae";"Saprofungivore::Collembole"
"169";"Cercomonas";20;"Cercomonadidae";"Pred1attach::Protist"
"170";"Cercomonas alexieffi";20;"Cercomonadidae";"Pred1attach::Protist"
"171";"Cercomonas braziliensis";20;"Cercomonadidae";"Pred1attach::Protist"
"172";"Cercomonas celer";20;"Cercomonadidae";"Pred1attach::Protist"
"173";"Cercomonas fastiga";20;"Cercomonadidae";"Pred1attach::Protist"
"174";"Cercomonas media";20;"Cercomonadidae";"Pred1attach::Protist"
"175";"Cercomonas parambigua";20;"Cercomonadidae";"Pred1attach::Protist"
"176";"Cercomonas parincurva";20;"Cercomonadidae";"Pred1attach::Protist"
"177";"Cercomonas radiata";20;"Cercomonadidae";"Pred1attach::Protist"
"178";"Cercomonas rapida";20;"Cercomonadidae";"Pred1attach::Protist"
"179";"Cercomonas sp. ATCC 50367";20;"Cercomonadidae";"Pred1attach::Protist"
"180";"Cercomonas sp. HFCC 905";20;"Cercomonadidae";"Pred1attach::Protist"
"181";"Cercomonas vacuolata";20;"Cercomonadidae";"Pred1attach::Protist"
"182";"Cetraspora nodosa";24;"Gigasporaceae";"ACM::Glomeromyc"
"183";"Chaetosphaeria ciliata";7;"Chaetosphaeriaceae";"Saprotroph::Fungi"
"184";"Chamaedrilus";4;"Enchytraeidae";"Saprophageous::Enchy"
"185";"Chamaedrilus aff. glandulosus A SM-2014";4;"Enchytraeidae";"Saprophageous::Enchy"
"186";"Chamaedrilus aff. sphagnetorum C SM-2014";4;"Enchytraeidae";"Saprophageous::Enchy"
"187";"Cheilymenia stercorea";7;"Pyronemataceae";"Coprotroph::Ascomycota"
"188";"Chitinophaga";17;"Chitinophagaceae";"Decomposers::Bacterie"
"189";"Chitinophaga oryziterrae";17;"Chitinophagaceae";"Decomposers::Bacterie"
"190";"Chitinophaga pinensis";17;"Chitinophagaceae";"Decomposers::Bacterie"
"191";"Chitinophaga sp. BN130233";17;"Chitinophagaceae";"Decomposers::Bacterie"
"192";"Chlamydomonas";23;"Chlamydomonadaceae";"Phototroph::Algae"
"193";"Chlamydomonas philotes";23;"Chlamydomonadaceae";"Phototroph::Algae"
"194";"Chlamydomonas reinhardtii";23;"Chlamydomonadaceae";"Phototroph::Algae"
"195";"Chlamydomyxa labyrinthuloides";21;"Myxochloridaceae";"Phytophage::Algae"
"196";"Chlorella";23;"Chlorellaceae";"Phototroph::Algae"
"197";"Chlorella emersonii";23;"Chlorellaceae";"Phototroph::Algae"
"198";"Chlorellidium";23;"Botryochloridaceae";"Phototroph::Algae"
"199";"Chlorellidium tetrabotrys";23;"Botryochloridaceae";"Phototroph::Algae"
"200";"Chlorococcum";23;"Chlorococcaceae";"Phototroph::Algae"
"201";"Choleva angustata";9;"Leiodidae";"Fungivorous::Insect"
"202";"Chromosera";7;"Hygrophoraceae";"Saprotroph::Fungi"
"203";"Chryseobacterium";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"204";"Chthoniobacter flavus";17;"Chthoniobacteraceae";"Decomposers::Bacterie"
"205";"Chthonius";13;"Chthoniidae";"Pred3::Pseudosc"
"206";"Chthonius sp. 2 JM-2008";13;"Chthoniidae";"Pred3::Pseudosc"
"207";"Chytridium polysiphoniae";24;"Chytridiaceae";"Parasitic::Polysiphoniae"
"208";"Cladosporium";24;"Cladosporiaceae";"Parasitic::Cladosporium"
"209";"Cladosporium sp. CB-20";24;"Cladosporiaceae";"Parasitic::Cladosporium"
"210";"Clarkus";28;"Mononchidae";"Pred3::Nematode"
"211";"Claroideoglomus claroideum";24;"Claroideoglomeraceae";"ACM::Glomeromyc"
"212";"Clavibacter";17;"Microbacteriaceae";"Decomposers::Bacterie"
"213";"Clostridium";17;"Clostridiaceae";"Decomposers::Bacterie"
"214";"Codosiga";18;"Salpingoecidae";"Pred1free::Protist"
"215";"Coelastrella saipanensis";23;"Scenedesmaceae";"Phototroph::Algae"
"216";"Colpoda";20;"Colpodidae";"Pred1attach::Protist"
"217";"Colpoda inflata";20;"Colpodidae";"Pred1attach::Protist"
"218";"Colpoda sp. MD-2011";20;"Colpodidae";"Pred1attach::Protist"
"219";"Colpoda sp. PRA-118";20;"Colpodidae";"Pred1attach::Protist"
"220";"Conexibacter";17;"Conexibacteraceae";"Decomposers::Bacterie"
"221";"Conopodium majus";2;"Apiaceae";"Phototroph::Apiaceae"
"222";"Cordyceps cylindrica";25;"Cordycipitaceae";"Parasitic::Entomopath"
"223";"Cordyceps memorabilis";25;"Cordycipitaceae";"Parasitic::Entomopath"
"224";"Corythion dubium";20;"Trinematidae";"Pred1attach::Protist"
"225";"Craterocolla cerasi";7;"Sebacinaceae";"Saprotroph::Fungi"
"226";"Cryphonectria parasitica";7;"Cryphonectriaceae";"Lignotroph::Fungi"
"227";"Cryptococcus amylolentus";7;"Cryptococcaceae";"Saprotroph::Fungi"
"228";"Cultellothrix coemeterii";27;"Spathidiidae";"Pred2free::Protist"
"229";"Cultellothrix lionotiformis";27;"Spathidiidae";"Pred2free::Protist"
"230";"Cylindroiulus caeruleocinctus";15;"Julidae";"Saprophage::Diplopode"
"231";"Cyphellophora sessilis";7;"Cyphellophoraceae";"Saprotroph::Fungi"
"232";"Cystobasidium";24;"Cystobasidiaceae";"Parasitic::Cystobasidium"
"233";"Cytophaga hutchinsonii";17;"Cytophagaceae";"Decomposers::Bacterie"
"234";"Dactylis glomerata";2;"Poaceae";"Phototroph::non-legume"
"235";"Dactylosporangium";17;"Micromonosporaceae";"Decomposers::Bacterie"
"236";"Dechloromonas";17;"Rhodocyclaceae";"Decomposers::Bacterie"
"237";"Dechlorospirillum sp. SN1";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"238";"Delftia";17;"Comamonadaceae";"Decomposers::Bacterie"
"239";"Demequina sp. CMS382";17;"Demequinaceae";"Decomposers::Bacterie"
"240";"Desmodesmus";23;"Scenedesmaceae";"Phototroph::Algae"
"241";"Desulfuromonas";17;"Desulfuromonadaceae";"Decomposers::Bacterie"
"242";"Devosia";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"243";"Devosia sp. P-37";17;"Hyphomicrobiaceae";"Decomposers::Bacterie"
"244";"Diaphanoeca spiralifurca";18;"Stephanoecidae";"Pred1free::Protist"
"245";"Diaphorobacter sp. NPG-14";17;"Comamonadaceae";"Decomposers::Bacterie"
"246";"Dictyosporium";7;"Dictyosporiaceae";"Saprotroph::Fungi"
"247";"Dileptus microstoma";27;"Dileptidae";"Pred2free::Protist"
"248";"Dileptus sp.";27;"Dileptidae";"Pred2free::Protist"
"249";"Dinobryon";23;"Dinobryaceae";"Phototroph::Algae"
"250";"Dioszegia";7;"Bulleribasidiaceae";"Saprotroph::Fungi"
"251";"Dioszegia crocea";7;"Bulleribasidiaceae";"Saprotroph::Fungi"
"252";"Diplogasteroides magnus";28;"Diplogasteroididae";"Pred3::Nematode"
"253";"Discolaimus cf. major HHBM-2007a";10;"Qudsianematidae";"Non.selective::Nematode"
"254";"Dissophora decumbens";7;"Mortierellaceae";"Saprotroph::Fungi"
"255";"Ditylenchus dipsaci";6;"Anguinidae";"Fungivorous::Nematode"
"256";"Diversispora";24;"Diversisporaceae";"ACM::Glomeromyc"
"257";"Diversispora varaderana";24;"Diversisporaceae";"ACM::Glomeromyc"
"258";"Dokdonella ginsengisoli";17;"Rhodanobacteraceae";"Opportunists::Bacterie"
"259";"Dongia";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"260";"Dongia sp. CB 286422";17;"Rhodospirillaceae";"Decomposers::Bacterie"
"261";"Duganella";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"262";"Duganella sp. 2M1lan";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"263";"Duganella sp. JPPB B33";17;"Oxalobacteraceae";"Decomposers::Bacterie"
"264";"Dyadobacter";17;"Cytophagaceae";"Decomposers::Bacterie"
"265";"Echinamoeba exundans";20;"Echinamoebidae";"Pred1attach::Protist"
"266";"Ecumenicus";10;"Qudsianematidae";"Non.selective::Nematode"
"267";"Edaphobacter";17;"Acidobacteriaceae";"Miners::Bacterie"
"268";"Edaphobacter dinghuensis";17;"Acidobacteriaceae";"Miners::Bacterie"
"269";"Emticicia sp. KJ033";17;"Cytophagaceae";"Decomposers::Bacterie"
"270";"Enchytraeus";4;"Enchytraeidae";"Saprophageous::Enchy"
"271";"Enchytraeus albidus";4;"Enchytraeidae";"Saprophageous::Enchy"
"272";"Enchytraeus buchholzi";4;"Enchytraeidae";"Saprophageous::Enchy"
"273";"Enchytraeus bulbosus";4;"Enchytraeidae";"Saprophageous::Enchy"
"274";"Enchytraeus christenseni";4;"Enchytraeidae";"Saprophageous::Enchy"
"275";"Enchytraeus lacteus";4;"Enchytraeidae";"Saprophageous::Enchy"
"276";"Enchytraeus norvegicus";24;"Enchytraeidae";"Saprophageous::Enchy"
"277";"Enchytronia parva";4;"Enchytraeidae";"Saprophageous::Enchy"
"278";"Endochytrium sp. JEL 324";7;"Endochytriaceae";"Saprotroph::Fungi"
"279";"Endogone";7;"Endogonaceae";"Saprotroph::Endogone"
"280";"Endogone lactiflua";7;"Endogonaceae";"Saprotroph::Endogone.lactiflua"
"281";"Endogone sp. OSC T14506";7;"Endogonaceae";"Saprotroph::Endogone"
"282";"Endogone sp. W5994";7;"Endogonaceae";"Saprotroph::Endogone"
"283";"Entomobrya multifasciata";8;"Entomobryidae";"Saprofungivore::Collembole"
"284";"Entomobrya sp. 9644 FZ-2013";8;"Entomobryidae";"Saprofungivore::Collembole"
"285";"Entyloma ficariae";24;"Entylomataceae";"Parasitic::Entyloma"
"286";"Eocercomonas";20;"Cercomonadidae";"Pred1attach::Protist"
"287";"Eocercomonas sp. HFCC 908";20;"Cercomonadidae";"Pred1attach::Protist"
"288";"Eocercomonas sp. HFCC 909";20;"Cercomonadidae";"Pred1attach::Protist"
"289";"Eosentomon sp. FNSA-2002";9;"Eosentomidae";"Fungivorous::Insect"
"290";"Epipyxis pulchra";21;"Dinobryaceae";"Phytophage::Algae"
"291";"Epispathidium sp. RV-2015";27;"Spathidiidae";"Pred2free::Protist"
"292";"Epispathidium terricola";27;"Spathidiidae";"Pred2free::Protist"
"293";"Epistylis";18;"Epistylidae";"Pred1free::Protist"
"294";"Eucephalobus striatus";16;"Cephalobidae";"Bacterivorous::Nematode"
"295";"Euduboscquella";23;"Eudubosquellidae";"Phototroph::Algae"
"296";"Euglypha";20;"Euglyphidae";"Pred1attach::Protist"
"297";"Euglypha rotunda";20;"Euglyphidae";"Pred1attach::Protist"
"298";"Euglypha tuberculata";20;"Euglyphidae";"Pred1attach::Protist"
"299";"Eumonhystera";16;"Monhysteridae";"Bacterivorous::Nematode"
"300";"Euplotes";30;"Euplotidae";"Pred2attach::Protist"
"301";"Euplotes balteatus";30;"Euplotidae";"Pred2attach::Protist"
"302";"Euplotes qatarensis";30;"Euplotidae";"Pred2attach::Protist"
"303";"Euplotes trisulcatus";30;"Euplotidae";"Pred2attach::Protist"
"304";"Fallopia multiflora";2;"Polygonaceae";"Phototroph::Polygonaceae"
"305";"Ferruginibacter";17;"Chitinophagaceae";"Decomposers::Bacterie"
"306";"Ferruginibacter paludis";17;"Chitinophagaceae";"Decomposers::Bacterie"
"307";"Ferruginibacter sp. WF24";17;"Chitinophagaceae";"Decomposers::Bacterie"
"308";"Fibrella sp.";17;"Cytophagaceae";"Decomposers::Bacterie"
"309";"Filobasidium stepposum";7;"Filobasidiaceae";"Saprotroph::Fungi"
"310";"Fistulifera";23;"Naviculaceae";"Phototroph::Algae"
"311";"Flavisolibacter";17;"Chitinophagaceae";"Decomposers::Bacterie"
"312";"Flavisolibacter rigui";17;"Chitinophagaceae";"Decomposers::Bacterie"
"313";"Flavobacterium";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"314";"Flavobacterium hydatis";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"315";"Flavobacterium sp. BF134";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"316";"Flavobacterium sp. HL-17";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"317";"Flavobacterium sp. PDD-32b-56";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"318";"Flavobacterium sp. R-38392";17;"Flavobacteriaceae";"Decomposers::Bacterie"
"319";"Flavosolibacter sp. HU1-JC5";17;"Chitinophagaceae";"Decomposers::Bacterie"
"320";"Fluviicola";17;"Crocinitomicaceae";"Decomposers::Bacterie"
"321";"Fluviicola sp. YS 1.2.4";17;"Crocinitomicaceae";"Decomposers::Bacterie"
"322";"Folsomia candida";8;"Isotomidae";"Saprofungivore::Collembole"
"323";"Folsomia quadrioculata";8;"Isotomidae";"Saprofungivore::Collembole"
"324";"Forficula";9;"Forficulidae";"Non.selective::Forficulidae"
"325";"Forficula auricularia";9;"Forficulidae";"Non.selective::Forficulidae"
"326";"Forficula sp. NC-1995";9;"Forficulidae";"Non.selective::Forficulidae"
"327";"Fridericia";24;"Enchytraeidae";"Saprophageous::Enchy"
"328";"Fridericia bisetosa";24;"Enchytraeidae";"Saprophageous::Enchy"
"329";"Fridericia christeri";24;"Enchytraeidae";"Saprophageous::Enchy"
"330";"Fridericia connata";24;"Enchytraeidae";"Saprophageous::Enchy"
"331";"Fridericia galba";24;"Enchytraeidae";"Saprophageous::Enchy"
"332";"Fridericia isseli";24;"Enchytraeidae";"Saprophageous::Enchy"
"333";"Fridericia magna";24;"Enchytraeidae";"Saprophageous::Enchy"
"334";"Fridericia paroniana";24;"Enchytraeidae";"Saprophageous::Enchy"
"335";"Fridericia ratzeli";24;"Enchytraeidae";"Saprophageous::Enchy"
"336";"Fridericia sohlenii";24;"Enchytraeidae";"Saprophageous::Enchy"
"337";"Fridericia sylvatica";24;"Enchytraeidae";"Saprophageous::Enchy"
"338";"Fridericia tuberosa";24;"Enchytraeidae";"Saprophageous::Enchy"
"339";"Friesea grisea";8;"Neanuridae";"Saprofungivore::Collembole"
"340";"Frigoribacterium sp. B1-25c-3";17;"Microbacteriaceae";"Decomposers::Bacterie"
"341";"Funneliformis mosseae";24;"Glomeraceae";"ACM::Glomeromyc"
