scientificName;id
Onychodromopsis flexilis;7625409
Orthoamphisiella franzi;7892382
Orthoamphisiella grelli;7545388
Oxytricha auripunctata;8307873
Oxytricha gigantea;8320870
Oxytricha granulifera;8187489
Oxytricha lanceolata;8296495
Oxytricha longigranulosa;8282405
Oxytricha nauplia;7514676
Oxytricha opisthomuscorum;7687728
Oxytricha ottowi;8311950
Oxytricha setigera;8111179
Paraholosticha muscicola;7551954
Parakahliella haideri;7454029
Paramphisiella caudata;7621887
Pattersoniella vitiphila;8038938
Pelagotrichidium tisiae;7376082
Plagiocampa caudata;8144973
Plagiocampa difficilis;7510368
Platyophrya similis;7637408
Platyophrya spumacola;8058651
Platyophrya vorax;8072867
Pleuroplites australis;7773649
Protospathidium muscicola;8322605
Rhopalophrya elegans;7776664
Spathidium scalpriforme;6147376
Steinia platystoma;7426047
Sterkiella thompsoni;8412563
Stylonychia pustulata;7894445
Stylonychia stylomuscorum;8316594
Telostomatella ferroi;7965484
Uroleptus notabilis;7907886
Uronema nigricans;8283897
Urosoma cienkowskii;8196207
Urosoma karinae;7623590
Cordyceps cylindrica;3451388
Geophilidae;4080
Lithobiidae;5540
Lithobius;9357423
Notiophilus;1247492
Theridiidae;9583
Bicoronella costaricana;7429265
Cyrtobymena citrina;7918976
Cyrtohymena australis;7417909
Dimacrocaryon amphileptoides;8028830
Hemiamphisiella wilberti;7981508
Holosticha adami;7933468
Holosticha australis;8287515
Holosticha muscorum;7434181
Oxytricha rubripuncta;7402425
Tachysoma humicola;8191111
Urostyla grandis;7680285
Allovahlkampfia;9426362
Apusomonadidae;4378322
Bicosoecidae;7957238
Bodo;7807526
Cercomonadidae;2164
Chlamydophryidae;3235907
Chrysophyceae;7073563
Echinamoebidae;4905099
Euglyphidae;6584
Hartmannellidae;2171
Heteromitidae;4900802
Leptomyxa reticulata;4893086
Mallomonadaceae;4581
Myxochloridaceae;8699
Neobodo designis;9171551
Obertrumia georgiana;7457456
Ochromonadaceae;4579
Oligohymenophorea;8006472
Paulinellidae;6585
Salpingoecidae;3236046
Siluaniidae;9281454
Sphenoderiidae;NA
Stemonitidae;4920982
Stephanoecidae;8157265
Thaumatomastigidae;4378164
Trinematidae;3235224
Beauveria;2560584
Metarhizium;2562464
Cystobasidium;2555962
Agriotes;1162125
Athous;8011702
Itersonilia perplexans;2518117
Pemphigus;2049366
Rhizophydium planktonicum;2627459
Astigmata;374
Chthoniidae;7652
Endeostigmata;NA
Mesostigmata;1109
Blepharisma ouatum;8078166
Bryometopus sphagni;8108604
Chlamydonella alpestris;7695293
Cinetochilum margaritaceum;7481101
Eschaneustyla brachytona;7458170
Gastrostyla minima;8071411
Holosticha monilata;7918817
Holosticha tetracirrata;7787475
Lamtostyla lamottei;8381802
Laurentiella strenua;7434749
Linostoma vorticella;3233877
Paraurostyla pulchra;7683286
Rostrophrya camerounensis;8083931
Urosoma acuminata;7696840
Chlamydomyxa;3194385
Viridiraptoridae;9397538
Acaryophrya collaris;7384897
Amphisiellides illuvialis;8053161
Apocolpoda africana;7535686
Archinassula muscicola;8124979
Aspidisca cicada;7721525
Aspidisca lynceus;7364238
Avestina acuta;8300719
Bardeliella pulchra;7618777
Blepbarisma hyalinum;7385619
Blepharisma bimicronucleatum;7806945
Blepharisma lateritium;7811049
Blepharisma steini;8013500
Blepharisma undulans;7463862
Brachonella cydonia;8168047
Bryometopus balantidioides;7790861
Bryometopus edaphonus;7707464
Bryometopus pseudochilodon;8098413
Chilodonella uncinata;8034996
Cinetochilum marinum;7409302
Circinella arenicola;8242745
Cirrophrya haptica;8181671
Cladotricha australis;7579478
Colpoda aspera;7584361
Colpoda cavicola;7971318
Colpoda ecaudata;7730407
Colpoda edaphoni;7896164
Colpoda elliotti;8201322
Colpoda flavicans;7750284
Colpoda henneguyi;8216798
Colpoda lucida;7440329
Colpoda maupasi;7487223
Colpoda minima;8341792
Colpoda orientalis;8169579
Colpoda praestans;7817745
Colpoda steinii;7874482
Colpoda tripartita;8271221
Colpoda variabilis;7841800
Colpodidium caudatum;7554166
Cosmocolpoda naschbergeri;7800309
Cotburnia richtersi;7718580
Cothumia minutissima;NA
Cothumiopsis valvata;NA
Cyclidium glaucoma;8091632
Cyclidium muscicola;8358387
Cyclidium terricola;8050749
Cyrtolophosis acuta;7530738
Cyrtolophosis colpidiformis;8047474
Cyrtolophosis elongata;7961832
Cyrtolophosis minor;7458832
Cyrtolophosis mucicola;8094171
Dapedophrya flexilis;7376743
Deviata bacilliformis;8107698
Dileptus orientalis;7529454
Drepanomonas dentata;8360166
Drepanomonas exigua;8279721
Drepanomonas muscicola;7470246
Drepanomonas pauciciliata;8373930
Drepanomonas sphagni;7973731
Engelmanniella mobilis;7582540
Epistylis alpestris;7549311
Erniella filiformis;8330241
Euplotes corsica;7459106
Euplotes finki;7744469
Euplotes labiatus;9808526
Euplotes muscicola;7529940
Euplotes terricola;7542921
Furgasonia trichocystis;8423614
Gastronauta derouxi;7431306
Gastronauta membranaceus;8254475
Gonostomum strenua;8118053
Halterioforma caudata;7784583
Haplocaulus terrenus;7350316
Hastatella radians;7553903
Hausmanniella discoidea;8078110
Hemisincirra gellerti;8311170
Hemisincirra gracilis;7479147
Hemisincirra inquieta;7355433
Hemisincirra kahli;7399328
Hemisincirra muelleri;7611475
Hemisincirra pori;8274582
Hemisincirra similis;7403734
Holosticha islandica;8028953
Holosticha muscicola;7832910
Holosticha sigmoidea;7979862
Holostichides terricola;7997569
Holostichides wilberti;7578575
Homalogastra setosa;8294946
Idiocolpoda pelobia;7653024
Ilsiella palustris;8163778
Ilsiella venusta;7847506
Kahliella acrobates;8167665
Kahlilembus attenuatus;7944009
Lamtostyla edaphoni;7877749
Maryna acuminata;7480876
Maryna antarctica;7708999
Maryna atra;8031223
Maryna lichenicola;7606668
Maryna ovata;7518643
Maryna umbrellata;7670289
Metopus contractus;7769227
Metopus hasei;8016226
Metopus ovalis;7678405
Metopus palaeformis;8412296
Metopus rectus;8138917
Metopus setosus;7679939
Microdiaphanosoma arcuatum;7492783
Microthorax simulans;7717115
Mycterothrix tuamotuensis;8116589
Neogeneia hortualis;7930771
Notohymena australis;7917408
Notoxoma parabryophryides;8290993
Notoxoma sigmoides;7724790
Odontochlamys convexa;7447248
Odontochlamys gouraudi;7552351
Odontochlamys wisconsinensis;7743197
Opercularia asymmetrica;7788922
Opercularia curvicaule;8237243
Opisthonecta minima;8097772
Opisthotricha terricola;9103818
Orthoamphisiella stramenticola;8052477
Orthokreyella schiffmanni;7472879
Oxytricha histrioides;8037938
Oxytricha quercineti;9000164
Oxytricha siseris;7429863
Parabryophrya penardi;7968629
Pedohymena australiense;8424887
Phacodinium metchnicoffi;7739586
Plagiocampa rouxi;8062664
Platycola steineri;7961439
Platyophrya macrostoma;7755989
Platyophrya paoletti;8258329
Protocyclidium terrenum;7958699
Pseudocarchesium claudicans;8342368
Pseudochilodonopsis mutabilis;7598030
Pseudochilodonopsis polyvacuolata;7663295
Pseudocohnilembus marinus;8286565
Pseudocohnilembus pusillus;7803056
Pseudocohnilembus putrinus;7889233
Pseudocyrtolophosis alpestris;7468873
Pseudocyrtolophosis terricola;8037046
Pseudokreyella australis;8155820
Pseudokreyella terricola;7855221
Pseudomicrothorax agilis;8255523
Pseudomicrothorax dubius;8275599
Pseudothuricola dionysii;8083516
Pseudouroleptus buitkampi;8334060
Pseudovorticella mutans;7795527
Pseudovorticella sphagni;8228684
Pyxidium tardigradum;NA
Rostrophryides australis;8254606
Sagittaria hyalina;7509606
Sathrophilus muscorum;7399453
Semiplatyophrya foissneri;7819315
Stammeridium kahli;8158554
Sterkiella similis;7650617
Stichotricha aculeata;8354794
Stylonychia bifaria;8199648
Stylonychia mytilus;8008384
Teetohymena terncola;NA
Telotrochidium cylindricum;8125679
Terricirra livida;7803675
Terricirra matsusakai;7694891
Terricirra viridis;7388836
Tetrahymena edaphoni;8139004
Tetrahymena rostrata;7866224
Thuricola innixa;7707822
Thylakidium typicum;7554259
Trihymena terricola;7780989
Trithigmostoma bavariensis;7810622
Urliella terticola;8261462
Uroleptus musculus;7510309
Urosoma macrostyla;8011757
Urosoma octonucleata;7770200
Urosomoida agiliformis;8091504
Urosomoida granulifera;7918204
Vaginicola chaperoni;7950441
Vaginicola doliolum;7505219
Vaginicola terricola;8103918
Vaginicola virgula;7637050
Vorticella astyliformis;7351754
Vorticella infusionum;7525562
Vorticella lichenicola;8109018
Vorticella microstoma;7813028
Vorticella muralis;7612863
Vorticella operculariformis;7876435
Vorticella similis;7578445
Wallackia bujoreani;7964734
Woodruffia australis;8402186
Litostomatea;7589559
Leptosphaeria biglobosa;3540111
Herpetomonas;9180955
Amphisiella magnigranulosa;7764311
Balantidioides corbifera;7750523
Didinium nasutum;7731136
Gastrostyla muscorum;7436272
Hausmanniella patella;7737031
Hausmanniella quinquecirrata;8253072
Kalometopia duplicata;7642388
Keronella gracilis;7948573
Keronopsis algivora;7435552
Keronopsis alpestris;7788463
Keronopsis wetzeli;7596749
Monodinium balbiani;7459052
Paraholosticha lichenicola;7461602
Paraholosticha nana;8369369
Platyophryides latus;8149010
Psilotricha succisa;8069432
Acineta flava;7350821
Acropisthium mutabile;7738789
Actinobolina vorax;7465520
Amphisiella quadrinucleata;7981328
Apobryophyllum terricola;7390440
Arcuospathidium atypicum;7784323
Arcuospathidium cooperi;8276304
Arcuospathidium cultriforme;7713932
Arcuospathidium japonicum;7805176
Arcuospathidium lionotiforme;7995850
Arcuospathidium rnuscorum;7995850
Arcuospathidium vermiforme;7507923
Balantidioides bivacuolata;7674205
Balantidioides dragescoi;7747477
Bresslau asicaria;NA
Bresslauides discoideus;7691700
Bresslauides terricola;7497647
Bryophyllum loxophylliforme;8258099
Bryophyllum tegularum;7983038
Chilophrya terricola;7705676
Cirrophrya terricola;7950847
Corallocolpoda grelli;7463820
Corallocolpoda pacifica;8042226
Corticocolpoda kaneshiroae;7653070
Cyrtohymena quadrinucleata;7609928
Dileptus alpinus;7905422
Dileptus anguillula;8330662
Dileptus binucleatus;7772826
Dileptus costaricanus;7454701
Dileptus edaphoni;7512224
Dileptus falciformis;7604006
Dileptus gracilis;7880928
Dileptus kahli;7531521
Dileptus mucronatus;8296186
Dileptus polyvacuolatus;8325902
Dileptus similis;8111463
Dileptus tenuis;7614589
Dileptus terrenus;7806743
Dileptus visscheri;7410447
Enchelydium piliforme;8366186
Enchelydium polynucleatum;8329652
Enchelydium terrenum;8155005
Enchelyodon californicus;7532482
Enchelyodon lagenula;7538952
Enchelyodon longinucleatus;7488033
Enchelyodon nodosus;7467059
Enchelyodon terrenus;8085759
Enchelyodon tratzi;7577149
Enchelyomorpha vermicularis;8087936
Enchelyotricha binucleata;8021104
Enchelys multinucleata;7511333
Enchelys terricola;7821133
Enchelys vermiformis;7498425
Epispathidium amphoriforme;8233239
Epispathidium ascendens;7900557
Epispathidium papilliferum;8173937
Epispathidium regium;7633577
Epispathidium terricola;8423927
Frontonia terricola;8302110
Fuscheria lacustris;8391563
Fuscheria nodosa;7513833
Fuscheria terricola;8188416
Gastrostyla dorsicirrata;7949381
Gastrostyla steinii;8259839
Holosticha sylvatica;7861564
Keronopsis helluo;8272070
Keronopsis tasmaniensis;7624418
Krassniggia auxiliaris;8084909
Kuehneltiella muscicola;7920675
Lagynophrya geleii;7412340
Lagynophrya trichocystis;7990764
Litonotus crinitus;7864222
Litonotus digitatus;8425588
Litonotus muscorum;7790130
Metacineta micraster;7443891
Metacineta mystacina;8425237
Papillorhabdos multinucleatus;7456585
Paracineta lauterbomi;7592556
Paraenchelys terricola;8338250
Paraenchelys wenzeli;7490550
Parakahliella terricola;8175667
Pentahymena corticicola;7506589
Phialina binucleata;7526876
Phialina flagellifera;7855042
Phialina terricola;8357519
Phialinides australis;7582007
Platyophryides dragescoi;7642622
Platyophryides magnus;7363436
Pleuroplitoides smithi;8291237
Podophrya halophila;7699420
Protospathidium bonnetti;8010048
Protospathidium serpens;7803635
Protospathidium terricola;8411559
Pseudoholophrya terricola;7948512
Solenophrya flavescens;7963029
Solenophrya massula;8323229
Solenophrya sacculus;8046289
Sorogena stoianovitchae;7826961
Spathidium alpinum;7386430
Spathidium anguilla;7469569
Spathidium bavariense;7658845
Spathidium claviforme;7558471
Spathidium furcatum;8217651
Spathidium geobium;7458115
Spathidium holsatiae;7897919
Spathidium lagyniforme;7989776
Spathidium multinucleatum;7823635
Spathidium muscicola;7776706
Spathidium procerum;7692438
Spathidium rusticanum;7540493
Spathidium seppelti;7603373
Spathidium spathula;7574684
Spathidium spathuloides;7926595
Spetazoon australiense;7604945
Sphaerophrya terricola;7919500
Stylonychia quadnnucleata;7610663
Terricirra stramenticola;8322650
Tokophrya muscicola;7665102
Trachelophyllum apiculatum;7494454
Urostyla muscorum;7535035
Woodruffia rostrata;7879546
Woodruffides metabolicus;7387137
Trechus;1037288
Olpidium bornovanus;2626979
Bryopbrya bavariensis;NA
Bryophrya rubescens;7922216
Colpoda reniformis;7552767
Frontonia solea;8290778
Glaucoma gigantea;7436182
Holostichides chardezi;7922505
Kuklikophrya ougandae;7503159
Leptopharynx eurystoma;7878699
Nassula citrea;8066981
Nassula picta;8129437
Nassula protectissima;7356029
Nassula terricola;7440403
Obertrumia kahli;8282652
Thuricola kellicottiana;7790494
Bisporella citrina;2584306
Cryphonectria parasitica;2566393
Guepiniopsis buccina;2512861
Hymenochaetopsis olivacea;9758565
Orbicula parietina;5258926
Psathyrella;2526774
Serpula incrassata;5245040
Trechispora farinacea;2523138
Romanomermis;4281960
Uropoda;2188216
Anoplophrya;7943637
Barynotus;1198599
Acyrthosiphon pisum;2077503
Sitona lineatus;1181282
Avestina ludwigi;7715672
Bradysia subrufescens;1489006
Choleva angustata;4445230
Collembola;546
Eosentomon;2119156
Grossglockneria acuta;7614723
Grossglockneria hyalina;8408153
Histiostoma feroniarum;2181976
Lonchoptera lutea;1611430
Mykophagophrys terricola;8360084
Nivaliella plana;8205625
Platyophrya binucleata;7983225
Pseudaphelenchus;9422198
Pseudoplatyophrya nana;7960295
Pseudoplatyophrya saltans;8374002
Tachyporus hypnorum;4438583
Tyrophagus;2181931
Pythium monospermum;5424088
Cordyceps memorabilis;2560689
Bacillariophyta;8176985
Chlorophyta;36
Euglenozoa;41
Ochrophyta;98
Monocystis agilis;NA
Pythium rostratifingens;5433907
Alicorhagia;2128073
Balantidioides muscicola;7442939
Aphanomyces;3202934
Acrospermum gramineum;8657939
Gaeumannomyces graminis;3456755
Magnaporthe;2569257
Rhopalosiphum padi;2069580
Woronina pythii;8001169
Entyloma ficariae;2513576
Absidia glauca;5250615
Apiotrichum;7239018
Apiotrichum porosum;3295536
Archaea;NA
Archaeorhizomyces;7628767
Archaeorhizomyces borealis;8139865
Archaeorhizomyces finlayi;7870834
Articulospora proliferata;9381748
Ascobolus;2569641
Ascobolus stercorarius;2595607
Asterostroma andinum;2552703
Auxarthron;2595861
Bacteria;NA
Bolbitius vitellinus;3323387
Boudiera acanthospora;5259396
Brachyphoris oviparasitica;2587454
Bullera;2518120
Camarophyllus;2525705
Campanella subdendrophora;5243715
Catenaria;2626861
Chaetosphaeria ciliata;3464398
Cheilymenia stercorea;2594455
Chromosera;2538825
Craterocolla cerasi;7455377
Cyphellophora sessilis;7966900
Dictyosporium;2592471
Dioszegia;2518442
Dioszegia crocea;5237438
Diplopoda;361
Diplura;NA
Dissophora decumbens;2559290
Enchytraeidae;3565
Endochytrium;2627185
Filobasidium stepposum;9659532
Geastrum saccatum;2554333
Gongronella;2558209
Gongronella butleri;2558212
Halteromyces radiatus;2558227
Hodophilus hymenocephalus;9744773
Holwaya mucida;3481158
Hyalorbilia;2586813
Hygrocybe;2523318
Hygrocybe reidii;8369786
Hymenoscyphus repandus;2582306
Hyphodiscus hymeniophilus;2584918
Hyphodontia rimosissima;2518830
Iodophanus carneus;2595140
Kuzuhaea moniliformis;2559068
Melastiza contorta;2593986
Mortierella;2558228
Mucor;9467085
Multiclavula mucida;2555295
Orbilia;2513009
Oribatida;NA
Oxytricha proximata;7885156
Panaeolus;2524401
Panorbis viscosus;2564469
Penicillium;9623011
Peniophorella praetermissa;2523664
Phaeosphaeria;2579070
Pholiota squarrosa;2534205
Piptocephalis graefenhanii;2559052
Pluteus petasatus;5241275
Pluteus phlebophorus;7641695
Porpoloma;2531688
Preussia;NA
Proceropycnis pinicola;2557854
Psora;5953400
Pterula echo;2540688
Pyrenochaeta;2588233
Pyxidiophora arvernensis;3442060
Ramariopsis kunzei;2540225
Rhizophlyctis harderi;3385303
Rhizophlyctis rosea;2627419
Rhizophydium;2627132
Rhizophydium patellarium;2627487
Saccharomyces cerevisiae;2599166
Saccobolus dilutellus;2595488
Scarabaeidae;5840
Sclerostagonospora;9375673
Scytinostroma;2552607
Sphaerobolus stellatus;5249473
Spizellomyces;2627401
Sporobolomyces;2518166
Stephensia shanorii;5258938
Stereum ostrea;2553044
Stilbocrea macrostoma;2561637
Syncephalis depressa;2559079
Syncephalis fuscata;2559082
Talaromyces;2598197
Thecotheus holmskjoldii;2595518
Tipula;1446543
Tubeufia helicomyces;2613773
Uroleptus humicola;8045570
Urosoma macrostoma;8058518
Yarrowia;2599451
Amplimerlinius;7842856
Aporcelaimellus;2282747
Basiria;9572544
Boleodorus;2284001
Cladosporium;2518208
Ditylenchus;2283952
Ecumenicus;4405791
Helicotylenchus;2284094
Heterodera;2283969
Longidorus;2282727
Meloidogyne;8005155
Merlinius;9003932
Mesodorylaimus;2282644
Neopsilenchus;4405846
Paratylenchus;7235427
Pratylenchoides ritteri;4556321
Pratylenchus;2284120
Prodorylaimus;2282603
Pungentus;2282607
Rotylenchulus;4281844
Tylenchus;4281839
Xiphinema;2282732
Acrobeles;2283761
Acrobeloides;2283754
Alaimus;2282770
Amphidelus;2282756
Bastiania;2283334
Cephalobus;2283209
Diplogasteroides;5188658
Eucephalobus;2283772
Eumonhystera;4348568
Isolaimium;9619850
Mesorhabditis;2283674
Metateratocephalus;4555808
Odontolaimus;2281434
Panagrolaimus;2283711
Plectus;2283075
Prismatolaimus;2279885
Prodesmodora;2280381
Rhabditis;2279676
Rhabdolaimus;2283127
Teratocephalus;2283040
Anatonchus;2282576
Clarkus;2283346
Discolaimus;2282615
Nygolaimus;7350999
Seinura;2284356
Tripyla;2281488
Aphelenchoides;2284354
Aphelenchus;2284394
Tylencholaimus;2282663
Abelmoschus esculentus;3152707
Acacia mearnsii;2979775
Acanthus mollis;5415455
Achillea millefolium;9221087
Actinidia chinensis;3189694
Acyrthosiphon pisum;6
Aegopodium;3034619
Ageratum conyzoides;5401673
Ageratum houstonianum;5401760
Agrimonia;3001953
Agrimonia pubescens;3001959
Agropyron;2705193
Agropyron repens;2706653
Agrostis;2706434
Agrostis capillaris;2706490
Agrostis palustris;2706439
Agrostis stolonifera;2706435
Alchemilla vulgaris;7890713
Alhagi;2945087
Alhagi persarum;2945106
Allium cardiostemon;2856126
Allium cepa;2857697
Allium sativum;2856681
Aloe plicatilis;2777937
Amaranthaceae;3064
Amaranthus;3085074
Ammi majus;3034182
Amoebozoa;7509337
Anethum;3034645
Angelica archangelica;5371808
Angelica sylvestris;5371818
Angiosperma;7707728
Anthriscus caucalis;5371743
Anthriscus nemorosa;6027243
Anthriscus sylvestris;5371742
Aphididae;3042
Apium;3034812
Aposeris foetida;3094355
Apusozoa;7
Arachis hypogaea;5353770
Araneae;1496
Arcellinida;760
Archaea;2
Arctium;8106066
Arenaria fendleri;5384500
Arenaria peploides;7937950
Arracacia xanthorrhiza;3034509
Artemisia;3120641
Artemisia parviflora;3120957
Arthropoda;54
Ascomycota;95
Asparagus officinalis;2768885
Asperula;2916597
Asteraceae;3065
Asterionella;3192674
Atractylodes ;3122426
Avena;2705282
Avena sativa;2705290
Averrhoa carambola;2891641
Bacillariophyceae;7947184
Bacteria;3
Balsaminaceae;6699
Berberis;3033893
Berula erecta;3034699
Beta vulgaris;8971274
Betonica officinalis;2927280
Bidens;3105856
Bituminaria bituminosa;2952882
Brassicaceae;3112
Bromus;2703642
Bromus inermis;2703670
Bromus tectorum;2703746
Bryonia alba;2874497
Bryophyta;35
Buddleja;9418333
Buxus;2984666
Buxus balearica;3988113
Cajanus cajan;2960383
Calliphoridae;3335
Callistephus chinensis;3092946
Camellia sinensis;3189635
Cannabis sativa;5361880
Capsicum ;2932937
Capsicum annuum;2932944
Carex;2721893
Carica papaya;2874484
Carum carvi;3034714
Carya illinoensis;4205617
Cassia occidentalis;2963414
Castilleja arachnoidea;3170590
Catharanthus roseus;3169830
Centaurea scabiosa;8087525
Centaurea solstitialis;3128888
Cerastium alpinum;3085450
Cerastium arvense;3085433
Cerastium cerastoides;6364299
Cerastium viscosum;2873815
Cerastium vulgatum;2873815
Chaerophyllum hirsutum;6027328
Chenopodiaceae;6719
Chenopodium album;3083838
Chlorarachnea;8594539
Choanozoa;97
Chromolaena odorata;3087725
Chrysanthemum ;3150746
Chrysanthemum cinerariifolium;3118288
Chrysanthemum indicum;3150814
Chrysanthemum maximum;3134162
Cichorium intybus;5392252
Ciliophora;7765738
Cirsium oleraceum;3113650
Citrullus lanatus;2874621
Citrus ;3190155
Citrus limon;3190171
Citrus sinensis;3190158
Clematis;3033512
Cochlearia officinalis;5373276
Conium maculatum;3034807
Conopodium majus;6026760
Convolvulus arvensis;2928390
Convolvulus fruticosus;3679194
Convolvulus hamadae;3678635
Coptis trifolia;3033632
Corylus ;2875967
Cosmos sulphureus;3098951
Crepis paludosa;5403296
Crotalaria juncea;2942877
Cucumis;2874568
Cucumis melo;2874570
Cucumis sativus;2874569
Cucurbita moschata;7393329
Cucurbita pepo;2874508
Cucurbitaceae;6634
Cyanobacteria;68
Cynodon dactylon;6109637
Dactylis;2705307
Dactylis glomerata;2705308
Dahlia;3093023
Dahlia pinnata;5387142
Daucus carota;3034742
Resource::Decaying_wood;R1
Delphinium;3033687
Dianthus;3085411
Dianthus armeria;3085413
Dianthus caryophyllus;3085420
Digitalis grandiflora;5414992
Diospyros;3030169
Diplura;1
Diptera;811
Dittrichia viscosa;3101184
Dolichos lablab;8436786
Dryas octopetala;4889932
Dysoxylum decandrum;3850472
Elaeis guineensis;2731882
Elettaria cardamomum;2759871
Elytrigia repens;2706649
Enchtraeidae;3565
Endeostigmata;1
Endomyxa;4920651
Enterolobium cyclocarpum;2961150
Euglyphida;9797892
Euonymus alatus;3169120
Euphorbia cyparissias;3070106
Euphorbia pulcherrima;3066465
Euphorbiaceae;4691
Fabaceae;5386
Ferula;3034682
Festuca arundinacea;2704913
Festuca elatior;2704913
Festuca myuros;2704913
Festuca nigrescens;4119612
Ficus carica;5361909
Foeniculum;3034921
Fragaria;3029779
Fragaria ananassa;3029912
Fraxinus excelsior;3172358
Freesia ;2747044
Funaria hygrometrica;2282796
Fungi;5
Galinsoga parviflora;3132570
Galium mollugo;9039392
Galium physocarpum;2913321
Galium uliginosum;2913556
Geraniaceae;4676
Gerbera;7466389
Gerbera jamesonii;8409932
Glycine max;5359660
Gossypium ;3152652
Granofilosea;9760148
Gypsophila;3085251
Halocnemum strobilaceum;3760350
Haplophyllum;3232972
Hedera helix;8351737
Helianthus annuus;9206251
Helosciadium nodiflorum;3631293
Heracleum austriacum;8181004
Heracleum sphondylium;3034830
Heterolobosea;265
Hordeum;2706050
Hordeum jubatum;2706052
Hordeum vulgare;2706056
Humulus lupulus;2984535
Hyoscyamus albus;2928979
Ilex crenata;5414239
Impatiens ;2891766
Ipomoea batatas;2928551
Ipomoea hederacea;2928538
Jatropha curcas;3072953
Jurinea;3109185
Lactuca;3140231
Lactuca sativa;7403263
Lamiaceae;2497
Lathyrus linifolius;5356393
Leontodon;3137422
Lepidoptera;797
Resource::Light;R2
Liliaceae;7699
Linaceae;2493
Lolium;2706217
Lolium perenne;2706241
Lumbricidae;6103
Lycopersicon;2932923
Lycopersicon esculentum;9608998
Malus domestica;3001244
Malus sylvestris;3001509
Manihot esculenta;3060998
Manihot utilissima;3061039
Marrubium velutinum;3905670
Matricaria;7639949
Medicago;2965200
Medicago laciniata;2965221
Medicago sativa;9151957
Melilotus alba;2971053
Mentha ;2927173
Mentha ×piperita;2927173
Mesembryanthemum ;3084836
Metromonadea;7
Murraya paniculata;8190743
Muscidae;5564
Mutellina adonidifolia;7318319
Mutellina purpurea;3629113
Nematoda;5967481
Nerium;3169755
Nerium indicum;7317019
Nicotiana;2928756
Nicotiana tabacum;2928774
Ocimum sanctum;2927101
Oenanthe crocata;6027319
Onobrychis viciifolia;2972595
Orchidaceae ;7689
Oribatida;4653212
Oryza;2703455
Oryza australiensis;4110287
Oryza sativa;2703459
Panicum dichotomiflorum;2705144
Panicum tennesseense;4122172
Panicum virgatum;2705081
Papaver orientale;2888437
