occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
;Henlea;Henlea Michaelsen, 1889;2308378;EXACT;92;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Henlea;
;Henlea sp;Henlea Michaelsen, 1889;2308378;HIGHERRANK;92;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Henlea;
;Marionina clavata;Marionina clavata Nielsen & Christensen, 1961;4409891;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina clavata
;Marionina communis;Marionina communis Nielsen & Christensen, 1959;2308295;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina communis
;Marionina filiformis;Marionina filiformis Nielsen & Christensen, 1959;4409880;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina filiformis
;Marionina cf. minutissima PDW-2010;Marionina minutissima Healy, 1975;4409889;EXACT;83;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina minutissima
;Marionina sublitoralis;Marionina sublitoralis Erséus, 1976;2308289;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;Marionina sublitoralis
;Marionina;Marionina Michaelsen, 1890;2308278;EXACT;93;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;
;Marionina sp;Marionina Michaelsen, 1890;2308278;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Marionina;
;Enchytraeidae;Enchytraeidae;3565;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;;
;Glyphidrilus;Glyphidrilus Horst, 1889;2308758;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Haplotaxida;Almidae;Glyphidrilus;
;Almidae;Almidae;4813730;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Haplotaxida;Almidae;;
;Rhyacodrilus falciformis;Rhyacodrilus falciformis Bretscher, 1901;2308497;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Haplotaxida;Naididae;Rhyacodrilus;Rhyacodrilus falciformis
;Rhyacodrilus;Rhyacodrilus Bretscher, 1901;2308495;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Haplotaxida;Naididae;Rhyacodrilus;
;Tubificidae;Tubificidae;6962;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;;
;Haplotaxida;Haplotaxida;472;EXACT;94;ACCEPTED;ORDER;Animalia;Annelida;Clitellata;Haplotaxida;;;
;Lumbriculus;Lumbriculus Grube, 1844;2308018;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;Lumbriculus;
;Lumbriculidae;Lumbriculidae;6964;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;
;Lumbriculida;Lumbriculida;473;EXACT;94;ACCEPTED;ORDER;Animalia;Annelida;Clitellata;Lumbriculida;;;
;Glossiphoniidae;Glossiphoniidae;3575;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;;
;Rhynchobdellida;Rhynchobdellida;1078;EXACT;94;ACCEPTED;ORDER;Animalia;Annelida;Clitellata;Rhynchobdellida;;;
;Annelida;Annelida;42;EXACT;94;ACCEPTED;PHYLUM;Animalia;Annelida;;;;;
;Robertus neglectus;Robertus neglectus (O.Pickard-Cambridge, 1871);2155886;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Robertus;Robertus neglectus
;Robertus;Robertus Pickard-Cambridge, 1879;2155880;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;Robertus;
;Theridiidae;Theridiidae;9583;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Araneae;Theridiidae;;
;Araneae;Araneae;1496;EXACT;91;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Araneae;;;
;Aleuroglyphus ovatus;Aleuroglyphus ovatus (Troupeau, 1879);5860704;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Astigmata;Acaridae;Aleuroglyphus;Aleuroglyphus ovatus
;Aleuroglyphus;Aleuroglyphus Zachvatkin, 1940;4652288;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Astigmata;Acaridae;Aleuroglyphus;
;Rhizoglyphus;Rhizoglyphus Claparède;2181947;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Astigmata;Acaridae;Rhizoglyphus;
;Tyrophagus;Tyrophagus Oudemans, 1924;2181931;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Astigmata;Acaridae;Tyrophagus;
;Acaridae;Acaridae;6102;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Astigmata;Acaridae;;
;Histiostoma feroniarum;Histiostoma feroniarum (Dufour, 1839);2181976;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Astigmata;Histiostomatidae;Histiostoma;Histiostoma feroniarum
;Histiostoma;Histiostoma P.Kramer, 1876;2181975;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Astigmata;Histiostomatidae;Histiostoma;
;Histiostomatidae;Histiostomatidae;2843;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Astigmata;Histiostomatidae;;
;Astigmata;Astigmata;374;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Astigmata;;;
;Blaberolaelaps;Blaberolaelaps Costa, 1980;4663886;EXACT;92;DOUBTFUL;GENUS;Animalia;Arthropoda;Arachnida;Mesostigmata;Laelapidae;Blaberolaelaps;
;Laelapidae;Laelapidae;2832;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Laelapidae;;
;Parasitidae;Parasitidae;6083;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Parasitidae;;
;Phytoseiidae;Phytoseiidae;3511;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Phytoseiidae;;
;Uropoda orbicularis;Uropoda orbicularis (O.F.Muller, 1776);4549547;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Mesostigmata;Uropodidae;Uropoda;Uropoda orbicularis
;Uropoda;Uropoda Latreille, 1805;2188216;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Mesostigmata;Uropodidae;Uropoda;
;Uropodidae;Uropodidae;6081;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Uropodidae;;
;Veigaia nemorensis;Veigaia nemorensis (C.L.Koch, 1839);4548736;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;Veigaia;Veigaia nemorensis
;Veigaia;Veigaia Oudemans, 1905;4406135;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;Veigaia;
;Veigaiidae;Veigaiidae;6079;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;;
;Mesostigmata;Mesostigmata;1109;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Mesostigmata;;;
;Alicorhagia;Alicorhagia Belese, 1910;2128073;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Prostigmata;Alicorhagiidae;Alicorhagia;
;Stigmalychus;Stigmalychus Theron, Meyer & Ryke, 1971;4653827;EXACT;92;DOUBTFUL;GENUS;Animalia;Arthropoda;Arachnida;Prostigmata;Alicorhagiidae;Stigmalychus;
;Alicorhagiidae;Alicorhagiidae;2825;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Prostigmata;Alicorhagiidae;;
;Anystis;Anystis Heyden, 1826;2131873;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Prostigmata;Anystidae;Anystis;
;Anystidae;Anystidae;2824;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Prostigmata;Anystidae;;
;Rhagidiidae;Rhagidiidae;6064;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Prostigmata;Rhagidiidae;;
;Tetranychus urticae;Tetranychus urticae Koch, 1836;2130185;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Prostigmata;Tetranychidae;Tetranychus;Tetranychus urticae
;Tetranychus;Tetranychus Dufour, 1832;2130777;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Prostigmata;Tetranychidae;Tetranychus;
;Tetranychidae;Tetranychidae;6057;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Prostigmata;Tetranychidae;;
;Chthonius;Chthonius Koch, 1843;2124312;EXACT;92;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Chthoniidae;Chthonius;
;Chthoniidae;Chthoniidae;7652;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Pseudoscorpiones;Chthoniidae;;
;Pseudoscorpiones;Pseudoscorpiones;1161;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Arachnida;Pseudoscorpiones;;;
;Liochthonius;Liochthonius Hammen, 1959;2188311;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Brachychthoniidae;Liochthonius;
;Brachychthoniidae;Brachychthoniidae;3617;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Brachychthoniidae;;
;Pilogalumna;Pilogalumna Grandjean, 1956;2193785;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Galumnidae;Pilogalumna;
;Pilogalumna rosauraruizae;Pilogalumna Grandjean, 1956;2193785;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Galumnidae;Pilogalumna;
;Galumnidae;Galumnidae;7429;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Galumnidae;;
;Oribatulidae;Oribatulidae;7460;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Oribatulidae;;
;Protoribates hakonensis;Protoribates hakonensis Aoki, 1994;2191143;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Protoribatidae;Protoribates;Protoribates hakonensis
;Protoribates;Protoribates Berlese, 1908;2191118;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Protoribatidae;Protoribates;
;Protoribatidae;Protoribatidae;7471;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Protoribatidae;;
;Tectocepheus;Tectocepheus Berlese, 1913;2193269;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Tectocepheidae;Tectocepheus;
;Tectocepheidae;Tectocepheidae;3655;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Tectocepheidae;;
;Arachnida;Arachnida;367;EXACT;94;ACCEPTED;CLASS;Animalia;Arthropoda;Arachnida;;;;
;Lithobius forficatus;Lithobius forficatus Linnaeus, 1758;2230246;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;Lithobius;Lithobius forficatus
;Lithobius variegatus;Lithobius variegatus Leach, 1814;2230514;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;Lithobius;Lithobius variegatus
;Lithobius;Lithobius Leach, 1814;9357423;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;Lithobius;
;Lithobiidae;Lithobiidae;5540;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;Lithobiidae;;
;Lithobiomorpha;Lithobiomorpha;807;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Chilopoda;Lithobiomorpha;;;
;Chilopoda;Chilopoda;360;EXACT;94;ACCEPTED;CLASS;Animalia;Arthropoda;Chilopoda;;;;
;Cylindroiulus caeruleocinctus;Cylindroiulus caeruleocinctus (Wood, 1864);1013578;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Diplopoda;Julida;Julidae;Cylindroiulus;Cylindroiulus caeruleocinctus
;Cylindroiulus;Cylindroiulus Verhoeff, 1894;1013523;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Diplopoda;Julida;Julidae;Cylindroiulus;
;Julidae;Julidae;4012;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Diplopoda;Julida;Julidae;;
;Julida;Julida;1019;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Diplopoda;Julida;;;
;Polydesmus coriaceus;Polydesmus coriaceus Porat, 1870;1020585;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Diplopoda;Polydesmida;Polydesmidae;Polydesmus;Polydesmus coriaceus
;Polydesmidae;Polydesmidae;4031;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Diplopoda;Polydesmida;Polydesmidae;;
;Polydesmida;Polydesmida;1247;EXACT;94;ACCEPTED;ORDER;Animalia;Arthropoda;Diplopoda;Polydesmida;;;
;Diplopoda;Diplopoda;361;EXACT;94;ACCEPTED;CLASS;Animalia;Arthropoda;Diplopoda;;;;
;Dicranocentrus wangi;Dicranocentrus wangi;7811155;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Dicranocentrus;Dicranocentrus wangi
;Dicranocentrus;Dicranocentrus Schött, 1893;4640898;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Dicranocentrus;
;Entomobrya multifasciata;Entomobrya multifasciatus (Tullberg, 1871);2120754;FUZZY;96;ACCEPTED;SPECIES;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Entomobrya;Entomobrya multifasciatus
;Entomobrya;Entomobrya Rondani, 1861;2120412;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Entomobrya;
;Lepidocyrtus paradoxus;Lepidocyrtus paradoxus Uzel, 1891;2120899;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Lepidocyrtus;Lepidocyrtus paradoxus
;Lepidocyrtus;Lepidocyrtus Bourlet, 1839;2120880;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Lepidocyrtus;
;Orchesella villosa;Orchesella villosa (Linnaeus, 1767);2120979;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Orchesella;Orchesella villosa
;Orchesella;Orchesella Templeton, 1835;2120960;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Orchesella;
;Seira;Seira Lubbock, 1869;2120985;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Seira;
;Seira barnardi;Seira Lubbock, 1869;2120985;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Seira;
;Willowsia nigromaculata;Willowsia nigromaculata (Lubbock, 1873);2120836;EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Willowsia;Willowsia nigromaculata
;Willowsia;Willowsia Shoebotham, 1917;2120827;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Willowsia;
;Entomobryidae;Entomobryidae;7216;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;;
;Ceratophysella;Ceratophysella Börner, 1932;2121254;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Hypogastruridae;Ceratophysella;
;Hypogastruridae;Hypogastruridae;7215;EXACT;96;ACCEPTED;FAMILY;Animalia;Arthropoda;Entognatha;Collembola;Hypogastruridae;;
