"";"retained_tax";"class";"codeFW"
"67";"Bisporella citrina";2;"Lignotroph::Fungi"
"68";"Blaberolaelaps sp. APGD-2010";8;"Pred3::Mesostigmata"
"69";"Blastococcus sp. URHB0062";19;"Decomposers::Bacterie"
"70";"Blastococcus sp. URHD0003";19;"Decomposers::Bacterie"
"71";"Blepharisma hyalinum";14;"Pred1free::Protist"
"72";"Bodomorpha sp. HFCC56";15;"Pred1attach::Protist"
"73";"Bodomorpha sp. HFCC57";15;"Pred1attach::Protist"
"74";"Bolbitius vitellinus";2;"Coprotroph::Basidiomycota"
"75";"Boleodorus volutus";11;"Phytophage::Nematode"
"76";"Bos taurus";11;"Mammifere"
"77";"Botryochloris sp. SiM-2003";18;"Phototroph::Algae"
"78";"Boudiera acanthospora";2;"Saprotroph::Fungi"
"79";"Brachyphoris oviparasitica";2;"Saprotroph::Fungi"
"80";"Bradyrhizobium sp. Shinshu-th2";19;"Decomposers::Bacterie"
"81";"Bradyrhizobium sp. URHC0015";19;"Decomposers::Bacterie"
"82";"Bradysia subrufescens";6;"Saprophage::Diptere"
"83";"Bresslaua vorax";22;"Pred2attach::Protist"
"84";"Bresslauides discoideus";15;"Pred1attach::Protist"
"85";"Bryometopus pseudochilodon";22;"Pred2attach::Protist"
"86";"Bryometopus sphagni";22;"Pred2attach::Protist"
"87";"Buchholzia fallax";7;"Saprophageous::Enchy"
"88";"Burkholderia cepacia";19;"Decomposers::Bacterie"
"89";"Caenimonas sp. TSX9-5";19;"Decomposers::Bacterie"
"90";"Calluna vulgaris";10;"Phototroph::non-legume"
"91";"Campanella subdendrophora";2;"Saprotroph::Fungi"
"92";"Campodea fragilis";6;"Saprophage::Diploure"
"93";"Canavalia ensiformis";10;"Phototroph::non-legume"
"94";"Candidatus Koribacter versatilis";13;"Miners::Bacterie"
"95";"Candidatus Nitrososphaera gargensis";23;"Decomposers::Archae"
"96";"Candidatus Solibacter usitatus";13;"Miners::Bacterie"
"97";"Capsellina sp. ATCC 50039";24;"Algivorous::Protist"
"98";"Catellatospora sp. KC-EP-S6";19;"Decomposers::Bacterie"
"99";"Catenulispora graminis";19;"Decomposers::Bacterie"
"100";"Caudiholosticha sp. Zlv-2015";22;"Pred2attach::Protist"
"101";"Caudiholosticha sylvatica";22;"Pred2attach::Protist"
"102";"Caulerpa cupressoides";18;"Phototroph::Algae"
"103";"Caulobacter fusiformis";19;"Decomposers::Bacterie"
"104";"Caulobacter profundus";19;"Decomposers::Bacterie"
"105";"Cenarchaeum symbiosum";23;"Decomposers::Archae"
"106";"Cephalobus persegnis";12;"Bacterivorous::Nematode"
"107";"Cerastium arcticum";10;"Phototroph::Caryophyllaceae"
"108";"Ceratophysella sp. FZ-2014";1;"Saprofungivore::Collembole"
"109";"Cercomonas alexieffi";15;"Pred1attach::Protist"
"110";"Cercomonas braziliensis";15;"Pred1attach::Protist"
"111";"Cercomonas celer";15;"Pred1attach::Protist"
"112";"Cercomonas fastiga";15;"Pred1attach::Protist"
"113";"Cercomonas media";15;"Pred1attach::Protist"
"114";"Cercomonas parambigua";15;"Pred1attach::Protist"
"115";"Cercomonas parincurva";15;"Pred1attach::Protist"
"116";"Cercomonas radiata";15;"Pred1attach::Protist"
"117";"Cercomonas rapida";15;"Pred1attach::Protist"
"118";"Cercomonas sp. ATCC 50367";15;"Pred1attach::Protist"
"119";"Cercomonas sp. HFCC 905";15;"Pred1attach::Protist"
"120";"Cercomonas vacuolata";15;"Pred1attach::Protist"
"121";"Cetraspora nodosa";6;"ACM::Glomeromyc"
"122";"Chaetosphaeria ciliata";2;"Saprotroph::Fungi"
"123";"Chamaedrilus aff. glandulosus A SM-2014";7;"Saprophageous::Enchy"
"124";"Chamaedrilus aff. sphagnetorum C SM-2014";7;"Saprophageous::Enchy"
"125";"Cheilymenia stercorea";2;"Coprotroph::Ascomycota"
"126";"Chitinophaga oryziterrae";19;"Decomposers::Bacterie"
"127";"Chitinophaga pinensis";19;"Decomposers::Bacterie"
"128";"Chitinophaga sp. BN130233";19;"Decomposers::Bacterie"
"129";"Chlamydomonas philotes";18;"Phototroph::Algae"
"130";"Chlamydomonas reinhardtii";18;"Phototroph::Algae"
"131";"Chlamydomyxa labyrinthuloides";16;"Phytophage::Algae"
"132";"Chlorella emersonii";18;"Phototroph::Algae"
"133";"Chlorellidium tetrabotrys";18;"Phototroph::Algae"
"134";"Choleva angustata";1;"Fungivorous::Insect"
"135";"Chthoniobacter flavus";19;"Decomposers::Bacterie"
"136";"Chthonius sp. 2 JM-2008";8;"Pred3::Pseudosc"
"137";"Chytridium polysiphoniae";6;"Parasitic::Polysiphoniae"
"138";"Cladosporium sp. CB-20";6;"Parasitic::Cladosporium"
"139";"Claroideoglomus claroideum";6;"ACM::Glomeromyc"
"140";"Coelastrella saipanensis";18;"Phototroph::Algae"
"141";"Colpoda inflata";15;"Pred1attach::Protist"
"142";"Colpoda sp. MD-2011";15;"Pred1attach::Protist"
"143";"Colpoda sp. PRA-118";15;"Pred1attach::Protist"
"144";"Conopodium majus";10;"Phototroph::Apiaceae"
"145";"Cordyceps cylindrica";9;"Parasitic::Entomopath"
"146";"Cordyceps memorabilis";9;"Parasitic::Entomopath"
"147";"Corythion dubium";15;"Pred1attach::Protist"
"148";"Craterocolla cerasi";2;"Saprotroph::Fungi"
"149";"Cryphonectria parasitica";2;"Lignotroph::Fungi"
"150";"Cryptococcus amylolentus";2;"Saprotroph::Fungi"
"151";"Cultellothrix coemeterii";20;"Pred2free::Protist"
"152";"Cultellothrix lionotiformis";20;"Pred2free::Protist"
"153";"Cylindroiulus caeruleocinctus";6;"Saprophage::Diplopode"
"154";"Cyphellophora sessilis";2;"Saprotroph::Fungi"
"155";"Cytophaga hutchinsonii";19;"Decomposers::Bacterie"
"156";"Dactylis glomerata";10;"Phototroph::non-legume"
"157";"Dechlorospirillum sp. SN1";19;"Decomposers::Bacterie"
"158";"Demequina sp. CMS382";19;"Decomposers::Bacterie"
"159";"Devosia sp. P-37";19;"Decomposers::Bacterie"
"160";"Diaphanoeca spiralifurca";14;"Pred1free::Protist"
"161";"Diaphorobacter sp. NPG-14";19;"Decomposers::Bacterie"
"162";"Dileptus microstoma";20;"Pred2free::Protist"
"163";"Dileptus sp.";20;"Pred2free::Protist"
"164";"Dioszegia crocea";2;"Saprotroph::Fungi"
"165";"Diplogasteroides magnus";21;"Pred3::Nematode"
"166";"Discolaimus cf. major HHBM-2007a";3;"Non.selective::Nematode"
"167";"Dissophora decumbens";2;"Saprotroph::Fungi"
"168";"Ditylenchus dipsaci";1;"Fungivorous::Nematode"
"169";"Diversispora varaderana";6;"ACM::Glomeromyc"
"170";"Dokdonella ginsengisoli";19;"Opportunists::Bacterie"
"171";"Dongia sp. CB 286422";19;"Decomposers::Bacterie"
"172";"Duganella sp. 2M1lan";19;"Decomposers::Bacterie"
"173";"Duganella sp. JPPB B33";19;"Decomposers::Bacterie"
"174";"Echinamoeba exundans";15;"Pred1attach::Protist"
"175";"Edaphobacter dinghuensis";13;"Miners::Bacterie"
"176";"Emticicia sp. KJ033";19;"Decomposers::Bacterie"
"177";"Enchytraeus albidus";7;"Saprophageous::Enchy"
"178";"Enchytraeus buchholzi";7;"Saprophageous::Enchy"
"179";"Enchytraeus bulbosus";7;"Saprophageous::Enchy"
"180";"Enchytraeus christenseni";7;"Saprophageous::Enchy"
"181";"Enchytraeus lacteus";7;"Saprophageous::Enchy"
"182";"Enchytraeus norvegicus";6;"Saprophageous::Enchy"
"183";"Enchytronia parva";7;"Saprophageous::Enchy"
"184";"Endochytrium sp. JEL 324";2;"Saprotroph::Fungi"
"185";"Endogone lactiflua";2;"Saprotroph::Endogone.lactiflua"
"186";"Endogone sp. OSC T14506";2;"Saprotroph::Endogone"
"187";"Endogone sp. W5994";2;"Saprotroph::Endogone"
"188";"Entomobrya multifasciata";1;"Saprofungivore::Collembole"
"189";"Entomobrya sp. 9644 FZ-2013";1;"Saprofungivore::Collembole"
"190";"Eocercomonas sp. HFCC 908";15;"Pred1attach::Protist"
"191";"Eocercomonas sp. HFCC 909";15;"Pred1attach::Protist"
"192";"Eosentomon sp. FNSA-2002";1;"Fungivorous::Insect"
"193";"Epipyxis pulchra";16;"Phytophage::Algae"
"194";"Epispathidium sp. RV-2015";20;"Pred2free::Protist"
"195";"Epispathidium terricola";20;"Pred2free::Protist"
"196";"Eucephalobus striatus";12;"Bacterivorous::Nematode"
"197";"Euglypha rotunda";15;"Pred1attach::Protist"
"198";"Euglypha tuberculata";15;"Pred1attach::Protist"
"199";"Euplotes balteatus";22;"Pred2attach::Protist"
"200";"Euplotes qatarensis";22;"Pred2attach::Protist"
"201";"Euplotes trisulcatus";22;"Pred2attach::Protist"
"202";"Fallopia multiflora";10;"Phototroph::Polygonaceae"
"203";"Ferruginibacter paludis";19;"Decomposers::Bacterie"
"204";"Ferruginibacter sp. WF24";19;"Decomposers::Bacterie"
"205";"Fibrella sp.";19;"Decomposers::Bacterie"
"206";"Filobasidium stepposum";2;"Saprotroph::Fungi"
"207";"Flavisolibacter rigui";19;"Decomposers::Bacterie"
"208";"Flavobacterium hydatis";19;"Decomposers::Bacterie"
"209";"Flavobacterium sp. BF134";19;"Decomposers::Bacterie"
"210";"Flavobacterium sp. HL-17";19;"Decomposers::Bacterie"
"211";"Flavobacterium sp. PDD-32b-56";19;"Decomposers::Bacterie"
"212";"Flavobacterium sp. R-38392";19;"Decomposers::Bacterie"
"213";"Flavosolibacter sp. HU1-JC5";19;"Decomposers::Bacterie"
"214";"Fluviicola sp. YS 1.2.4";19;"Decomposers::Bacterie"
"215";"Folsomia candida";1;"Saprofungivore::Collembole"
"216";"Folsomia quadrioculata";1;"Saprofungivore::Collembole"
"217";"Forficula auricularia";4;"Non.selective::Forficulidae"
"218";"Forficula sp. NC-1995";4;"Non.selective::Forficulidae"
"219";"Fridericia bisetosa";6;"Saprophageous::Enchy"
"220";"Fridericia christeri";6;"Saprophageous::Enchy"
"221";"Fridericia connata";6;"Saprophageous::Enchy"
"222";"Fridericia galba";6;"Saprophageous::Enchy"
"223";"Fridericia isseli";6;"Saprophageous::Enchy"
"224";"Fridericia magna";6;"Saprophageous::Enchy"
"225";"Fridericia paroniana";6;"Saprophageous::Enchy"
"226";"Fridericia ratzeli";6;"Saprophageous::Enchy"
"227";"Fridericia sohlenii";6;"Saprophageous::Enchy"
"228";"Fridericia sylvatica";6;"Saprophageous::Enchy"
"229";"Fridericia tuberosa";6;"Saprophageous::Enchy"
"230";"Friesea grisea";1;"Saprofungivore::Collembole"
"231";"Frigoribacterium sp. B1-25c-3";19;"Decomposers::Bacterie"
"232";"Funneliformis mosseae";6;"ACM::Glomeromyc"
"233";"Fuscheria sp. VBOEF-2011";20;"Pred2free::Protist"
"234";"Gaeumannomyces graminis";6;"Parasitic::Gaeumannomyces"
"235";"Gaiella occulta";19;"Decomposers::Bacterie"
"236";"Geastrum saccatum";2;"Saprotroph::Fungi"
"237";"Gemmata obscuriglobus";13;"Miners::Bacterie"
"238";"Gemmata sp. Fl1-1";13;"Miners::Bacterie"
"239";"Geobacter anodireducens";19;"Decomposers::Bacterie"
"240";"Geobacter sp. enrichment culture clone VanCtr1";19;"Decomposers::Bacterie"
"241";"Geodermatophilus sp. Z2R53";19;"Decomposers::Bacterie"
"242";"Georgfuchsia toluolica";19;"Decomposers::Bacterie"
"243";"Gliricola sp. 274";6;"Parasitic::Gliricola"
"244";"Glomus invermaium";6;"ACM::Glomeromyc"
"245";"Glomus sp. 9 SUN-2011";6;"ACM::Glomeromyc"
"246";"Gongronella butleri";2;"Saprotroph::Fungi"
"247";"Gonostomum namibiense";22;"Pred2attach::Protist"
"248";"Gonostomum sp. JS-2012";22;"Pred2attach::Protist"
"249";"Gonostomum strenuum";22;"Pred2attach::Protist"
"250";"Granulicella paludicola";13;"Miners::Bacterie"
"251";"Guepiniopsis buccina";2;"Lignotroph::Fungi"
"252";"Halteromyces radiatus";2;"Saprotroph::Fungi"
"253";"Hantzschia amphioxys";18;"Phototroph::Algae"
"254";"Helianthus annuus";10;"Phototroph::Asteraceae"
"255";"Helicotylenchus varicaudatus";11;"Parasitic_p::Nematode"
"256";"Hemiamphisiella terricola";20;"Pred2free::Protist"
"257";"Henlea perpusilla";7;"Saprophageous::Enchy"
"258";"Hesperelaea palmeri";10;"Phototroph::non-legume"
"259";"Heterococcus caespitosus";18;"Phototroph::Algae"
"260";"Heterophrys sp. Oxford1";15;"Pred1attach::Protist"
"261";"Hibberdia magna";18;"Phototroph::Algae"
"262";"Histiostoma feroniarum";1;"Fungivorous::Astigmata"
"263";"Hodophilus hymenocephalus";2;"Saprotroph::Fungi"
"264";"Holophaga sp. oral clone CA002";13;"Miners::Bacterie"
"265";"Holwaya mucida";2;"Saprotroph::Fungi"
"266";"Homalogastra setosa";14;"Pred1free::Protist"
"267";"Humibacter sp. Po15c";19;"Decomposers::Bacterie"
"268";"Hyalorbilia sp. HOB-2016a";2;"Saprotroph::Fungi"
"269";"Hygrocybe reidii";2;"Saprotroph::Fungi"
"270";"Hymenochaetopsis olivacea";2;"Lignotroph::Fungi"
"271";"Hymenoscyphus repandus";2;"Saprotroph::Fungi"
"272";"Hyphochytrium catenoides";6;"Hyperparasitoid::Hyphochytrium"
"273";"Hyphodiscus hymeniophilus";2;"Saprotroph::Fungi"
"274";"Hyphodontia rimosissima";2;"Saprotroph::Fungi"
"275";"Iodophanus carneus";2;"Coprotroph::Ascomycota"
"276";"Isolaimium multistriatum";12;"Bacterivorous::Nematode"
"277";"Isotoma viridis";1;"Saprofungivore::Collembole"
"278";"Isotomiella minor";1;"Saprofungivore::Collembole"
"279";"Itersonilia pannonica";11;"Parasitic::Itersonilia"
"280";"Itersonilia perplexans";11;"Parasitic::Itersonilia"
"281";"Ixiolirion tataricum";10;"Phototroph::non-legume"
"282";"Jaagiella alpicola";18;"Phototroph::Algae"
"283";"Kribbella sp. enrichment culture clone VanCtr42";19;"Decomposers::Bacterie"
"284";"Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01";19;"Decomposers::Bacterie"
"285";"Kuzuhaea moniliformis";2;"Saprotoph::Zoopagales"
"286";"Lacrymaria marina";14;"Pred1free::Protist"
"287";"Lamproderma sp. SAPA:100012";15;"Pred1attach::Protist"
"288";"Legionella lytica";19;"Opportunists::Bacterie"
"289";"Leifsonia sp. A5AGK";19;"Decomposers::Bacterie"
"290";"Lepidocyrtus paradoxus";1;"Saprofungivore::Collembole"
"291";"Lepidocyrtus sp. 1 FZ-2013";1;"Saprofungivore::Collembole"
"292";"Leptomyxa reticulata";17;"Bacterivorous::Protist"
"293";"Leptomyxa sp. AS-2016b";17;"Bacterivorous::Protist"
"294";"Leptopharynx bromelicola";14;"Pred1free::Protist"
"295";"Leptosphaeria biglobosa";6;"Parasitic::Leptosphaeria"
"296";"Limonomyces roseipellis";6;"Parasitic:Limonomyces"
"297";"Liochthonius sp. AD1300";6;"Saprophage::Oribate"
"298";"Lithobius forficatus";9;"Pred4::Chilopode"
"299";"Lithobius variegatus";9;"Pred4::Chilopode"
"300";"Lonchoptera lutea";1;"Fungivorous::Insect"
"301";"Longidorus raskii";11;"Parasitic_p::Nematode"
"302";"Longidorus vinearum";11;"Parasitic_p::Nematode"
"303";"Luedemannella sp. 119-1-07";19;"Decomposers::Bacterie"
"304";"Lumbricus castaneus";6;"Saprogeophageous::Lumb"
"305";"Lumbricus centralis";6;"Saprogeophageous::Lumb"
"306";"Lumbricus friendi";6;"Saprogeophageous::Lumb"
"307";"Lumbricus terrestris";6;"Saprogeophageous::Lumb"
"308";"Luteimonas aestuarii";19;"Opportunists::Bacterie"
"309";"Luticola permuticopsis";18;"Phototroph::Algae"
"310";"Lysobacter sp. MS6Y-8-7";19;"Opportunists::Bacterie"
"311";"Lysobacter sp. RHLT3-4";19;"Opportunists::Bacterie"
"312";"Lysobacter sp. YS-37";19;"Opportunists::Bacterie"
"313";"Marionina cf. minutissima PDW-2010";6;"Saprophageous::Enchy"
"314";"Marionina clavata";7;"Saprophageous::Enchy"
"315";"Marionina communis";7;"Saprophageous::Enchy"
"316";"Marionina filiformis";6;"Saprophageous::Enchy"
"317";"Marionina sublitoralis";7;"Saprophageous::Enchy"
"318";"Martelella endophytica";19;"Decomposers::Bacterie"
"319";"Maryna ovata";15;"Pred1attach::Protist"
"320";"Massisteria marina";15;"Pred1attach::Protist"
"321";"Mayamaea sp. KAS1111";18;"Phototroph::Algae"
"322";"Megalothorax sp. EA040003-cs17";1;"Saprofungivore::Collembole"
"323";"Megalothorax sp. EA040004-cs23";1;"Saprofungivore::Collembole"
"324";"Megalothorax sp. EA040008-cs9";1;"Saprofungivore::Collembole"
"325";"Melastiza contorta";2;"Saprotroph::Fungi"
"326";"Meloidogyne naasi";11;"Parasitic_p::Nematode"
"327";"Merlinius brevidens";11;"Parasitic_p::Nematode"
"328";"Merlinius cf. microdorus TSH-2005";11;"Parasitic_p::Nematode"
"329";"Merlinius joctus";11;"Parasitic_p::Nematode"
"330";"Meseres corlissi";14;"Pred1free::Protist"
"331";"Mesodorylaimus cf. nigritulus AV-2005";3;"Non.selective::Nematode"
"332";"Mesorhabditis sp. 334Meso1";12;"Bacterivorous::Nematode"
"333";"Metarhizium anisopliae";9;"Parasitic::Entomopath"
"334";"Methanomassiliicoccus sp. 138";23;"Decomposers::Archae"
"335";"Methanomassiliicoccus sp. 142";23;"Decomposers::Archae"
"336";"Methanomassiliicoccus sp. P27";23;"Decomposers::Archae"
"337";"Methylosinus sporium";19;"Decomposers::Bacterie"
"338";"Methylosinus trichosporium";19;"Decomposers::Bacterie"
"339";"Mischococcus sphaerocephalus";18;"Phototroph::Algae"
"340";"Monilicaryon monilatum";20;"Pred2free::Protist"
"341";"Monocystis agilis";9;"Parasitic::Monocystis"
"342";"Monosiga ovata";14;"Pred1free::Protist"
"343";"Moraxella osloensis";19;"Opportunists::Bacterie"
"344";"Mortierella sp. MS-6";2;"Saprotroph::Fungi"
"345";"Mucilaginibacter sp. HME7565";19;"Decomposers::Bacterie"
"346";"Mucilaginibacter sp. UA-VH0703";19;"Decomposers::Bacterie"
"347";"Multiclavula mucida";2;"Saprotroph::Multiclavula "
"348";"Mycobacterium sp. PSY065";19;"Decomposers::Bacterie"
"349";"Mycoplana sp. HP12Q";19;"Decomposers::Bacterie"
"350";"Mykophagophrys terricola";5;"Fungivorous::Protist"
"351";"Myrmica scabrinodis";6;"Non.selective::Myrmica"
"352";"Myzus persicae";6;"Phytophage::Myzus"
"353";"Nakamurella sp. A24MTO";19;"Decomposers::Bacterie"
"354";"Nannochloris sp. JL 4-6";18;"Phototroph::Algae"
"355";"Neobodo designis";17;"Bacterivorous::Protist"
"356";"Neopsilenchus magnidens";11;"Phytophage::Nematode"
"357";"Nitrospira marina";19;"Unknown::Bacterie"
"358";"Nitzschia pusilla";18;"Phototroph::Algae"
"359";"Nocardioides sp.";19;"Decomposers::Bacterie"
"360";"Nocardioides sp. MSL 24";19;"Decomposers::Bacterie"
"361";"Nocardioides sp. RW28";19;"Decomposers::Bacterie"
"362";"Nocardioides sp. SSRB28-7";19;"Decomposers::Bacterie"
"363";"Noctua pronuba";6;"Phytophage::Noctua"
"364";"Notholca acuminata";14;"Pred1free::Protist"
"365";"Notiophilus rufipes";6;"Pred4::Carabidae"
"366";"Novosphingobium sp.";19;"Decomposers::Bacterie"
"367";"Nygolaimus cf. brachyuris JH-2004";21;"Pred3::Nematode"
"368";"Obertrumia georgiana";17;"Bacterivorous::Protist"
"369";"Occallatibacter riparius";13;"Miners::Bacterie"
"370";"Ochrobactrum anthropi";19;"Decomposers::Bacterie"
"371";"Ochromonas sp. CCMP2761";16;"Phytophage::Algae"
"372";"Ochromonas vasocystis";16;"Phytophage::Algae"
"373";"Octolasion cyaneum";6;"Geophageous::Lumb"
"374";"Oikomonas sp. SA-2.1";18;"Phototroph::Algae"
"375";"Oligoflexus tunisiensis";19;"Unknown::Bacterie"
"376";"Olpidium bornovanus";6;"Parasitic::Olpidium"
"377";"Olpidium brassicae";6;"Parasitic::Olpidium"
"378";"Orbicula parietina";2;"Lignotroph::Fungi"
"379";"Orbilia sp. HOB-2016am";2;"Saprotroph::Fungi"
"380";"Orchesella villosa";1;"Saprofungivore::Collembole"
"381";"Orciraptor agilis";24;"Algivorous::Protist"
"382";"Oricola cellulosilytica";19;"Decomposers::Bacterie"
"383";"Otiorhynchus armadillo";6;"Phytophage::Otiorhynchus "
"384";"Palaeospora spainiae";6;"ACM::Glomeromyc"
"385";"Palmellopsis sp. BCP-EM1VF1";18;"Phototroph::Algae"
"386";"Panacibacter ginsenosidivorans";19;"Decomposers::Bacterie"
"387";"Panagrolaimus sp. PS443";12;"Bacterivorous::Nematode"
"388";"Panorbis viscosus";2;"Saprotroph::Fungi"
"389";"Paracercomonas astra";15;"Pred1attach::Protist"
"390";"Paracercomonas compacta";15;"Pred1attach::Protist"
"391";"Paracercomonas filosa";15;"Pred1attach::Protist"
"392";"Paracercomonas paralaciniaegerens";15;"Pred1attach::Protist"
"393";"Paracercomonas sp. HFCC 913";15;"Pred1attach::Protist"
"394";"Paracercomonas sp. HFCC 918";15;"Pred1attach::Protist"
"395";"Parafilimonas terrae";19;"Decomposers::Bacterie"
"396";"Paraglomus brasilianum";6;"ACM::Glomeromyc"
"397";"Paraphysomonas sp. 22 JMS-2012";16;"Phytophage::Algae"
"398";"Paratylenchus cf. neoamblicephalus";11;"Parasitic_p::Nematode"
"399";"Paratylenchus microdorus";11;"Parasitic_p::Nematode"
"400";"Paratylenchus similis";11;"Parasitic_p::Nematode"
"401";"Paucimonas lemoignei";19;"Decomposers::Bacterie"
"402";"Pedobacter luteus";19;"Decomposers::Bacterie"
"403";"Pedobacter sp. FGR-05";19;"Decomposers::Bacterie"
"404";"Pedosphaera parvula";19;"Decomposers::Bacterie"
"405";"Pelomonas sp. CR2";19;"Decomposers::Bacterie"
"406";"Pelomonas sp. K89";19;"Decomposers::Bacterie"
"407";"Penicillium sp. D01";2;"Saprotroph::Fungi"
"408";"Penicillium sp. SDI-2014f";2;"Saprotroph::Fungi"
"409";"Peniophorella praetermissa";2;"Saprotroph::Fungi"
"410";"Pentapharsodinium tyrrhenicum";18;"Phototroph::Algae"
"411";"Peregrinia clavideferens";15;"Pred1attach::Protist"
"412";"Peyerimhoffia alpina";6;"Saprophage::Diptere"
"413";"Phacelia tanacetifolia";10;"Phototroph::non-legume"
"414";"Phenylobacterium lituiforme";19;"Decomposers::Bacterie"
"415";"Phenylobacterium sp. B6.10-61";19;"Decomposers::Bacterie"
"416";"Phenylobacterium sp. enrichment culture clone LplF-80";19;"Decomposers::Bacterie"
"417";"Phenylobacterium sp. URHA0004";19;"Decomposers::Bacterie"
"418";"Phialina salinarum";20;"Pred2free::Protist"
"419";"Pholiota squarrosa";2;"Saprotroph::Fungi"
"420";"Phoma herbarum";11;"Parasitic::Phoma"
"421";"Phycisphaera mikurensis";13;"Miners::Bacterie"
"422";"Picea abies";10;"Phototroph::Pinales"
"423";"Pilogalumna rosauraruizae";6;"Saprophage::Oribate"
"424";"Piptocephalis graefenhanii";2;"Saprotoph::Zoopagales"
"425";"Pirellula sp.";13;"Miners::Bacterie"
"426";"Pirellula staleyi";13;"Miners::Bacterie"
"427";"Planctomyces sp.";13;"Miners::Bacterie"
"428";"Platyophrya bromelicola";15;"Pred1attach::Protist"
