verbatimScientificName;scientificName;retainedScientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
uncultured Caldilinea sp.;Caldilinea Sekiguchi & al., 2003;Caldilinea;3229042;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;
uncultured Chitinophaga sp.;Chitinophaga Sangkhobol & Skerman, 1981;Chitinophaga;3228826;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga;
uncultured Ferruginibacter sp.;Ferruginibacter Lim & al., 2009;Ferruginibacter;7592743;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;
Flavosolibacter sp. HU1-JC5;Flavisolibacter Yoon & Im, 2007;Flavisolibacter;4893097;EDITED;79;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;
uncultured Flavisolibacter sp.;Flavisolibacter Yoon & Im, 2007;Flavisolibacter;4893097;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;
uncultured Lacibacter sp.;Lacibacter Qu & al., 2009;Lacibacter;7606454;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Lacibacter;
uncultured Niastella sp.;Niastella Weon & al., 2006;Niastella;3228891;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella;
uncultured Segetibacter sp.;Segetibacter An & al., 2007;Segetibacter;4888636;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Segetibacter;
uncultured Terrimonas sp.;Terrimonas Xie & Yokota, 2006;Terrimonas;3228837;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Terrimonas;
uncultured Haliscomenobacter sp.;Haliscomenobacter van Veen & al., 1973;Haliscomenobacter;3228793;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Haliscomenobacter;
uncultured Chloroflexus sp.;Chloroflexus Pierson & Castenholz, 1974;Chloroflexus;3229052;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;
uncultured Roseiflexus sp.;Roseiflexus Hanada & al., 2002;Roseiflexus;3229055;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Roseiflexus;
uncultured Thermaerobacter sp.;Thermaerobacter Takai & al., 1999;Thermaerobacter;3226216;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Thermaerobacter;
uncultured Desulfitobacterium sp.;Desulfitobacterium Utkin & al., 1994;Desulfitobacterium;3226460;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;
uncultured Moorella sp.;Moorella, 1994;Moorella;6562811;EDITED;99;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;
uncultured Thermoanaerobacter sp.;Thermoanaerobacter Wiegel & Ljungdahl, 1982;Thermoanaerobacter;3226904;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter;
uncultured Candidatus Nephrothrix sp.;Cytophagaceae;Cytophagaceae;3237749;EDITED;;ACCEPTED;FAMILY;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;;
uncultured Cytophaga sp.;Cytophaga Winogradsky, 1929;Cytophaga;3228397;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;
uncultured Flexibacter sp.;Flexibacter Soriano, 1945;Flexibacter;3228773;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;
uncultured Ohtaekwangia sp.;Ohtaekwangia Yoon & al., 2011;Ohtaekwangia;7951037;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;
uncultured Adhaeribacter sp.;Adhaeribacter Rickard & al., 2005;Adhaeribacter;3228858;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Adhaeribacter;
uncultured Dehalococcoides sp.;Dehalococcoides;Dehalococcoides;6533843;EDITED;99;ACCEPTED;FAMILY;Bacteria;Chloroflexi;Dehalococcoidetes;;Dehalococcoides;;
uncultured Bdellovibrio sp.;Bdellovibrio Stolp & Starr, 1963;Bdellovibrio;3220688;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
uncultured Desulfotalea sp.;Desulfotalea Knoblauch & al., 1999;Desulfotalea;3220678;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;
uncultured Desulfovibrio sp.;Desulfovibrio Kluyver & van Niel, 1936;Desulfovibrio;3220375;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
uncultured Desulfuromonas sp.;Desulfuromonas Pfennig & Biebl, 1977;Desulfuromonas;3220490;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
uncultured Malonomonas sp.;Malonomonas Dehning & Schink, 1990;Malonomonas;3220502;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomonas;
uncultured Pelobacter sp.;Pelobacter Schink & Pfennig, 1983;Pelobacter;3220504;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;
uncultured Geoalkalibacter sp.;Geoalkalibacter Zavarzina & al., 2007;Geoalkalibacter;4888232;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter;
uncultured Geobacter sp.;Geobacter Lovley & al., 1995;Geobacter;3220513;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;
uncultured Geothermobacter sp.;Geothermobacter Kashefi & al., 2005;Geothermobacter;3220511;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter;
uncultured Anaeromyxobacter sp.;Anaeromyxobacter Sanford & al., 2002;Anaeromyxobacter;3220545;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Anaeromyxobacter;
uncultured Cystobacter sp.;Cystobacter Schroeter, 1886;Cystobacter;3220549;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Cystobacter;
uncultured Haliangium sp.;Haliangium Fudou & al., 2002;Haliangium;3220527;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;
uncultured Kofleria sp.;Kofleria Reichenbach, 2007;Kofleria;3220542;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Kofleria;
Cystobacterineae;Cystobacteraceae;Cystobacteraceae;4875;EDITED;55;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;;
Sorangiineae;Myxococcales;Myxococcales;1384;EDITED;;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;;;
uncultured Nannocystis sp.;Nannocystis Reichenbach, 1970;Nannocystis;3220532;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Nannocystis;
uncultured Phaselicystis sp.;Phaselicystis Garcia & al., 2009;Phaselicystis;8354269;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis;
uncultured Byssovorax sp.;Byssovorax Reichenbach & al., 2006;Byssovorax;4892105;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;
uncultured Chondromyces sp.;Chondromyces Berk. & M.A.Curtis;Chondromyces;3220588;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces;
uncultured Polyangium sp.;Polyangium Link;Polyangium;3220602;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Polyangium;
uncultured Syntrophus sp.;Syntrophus, 1984;Syntrophus;3220393;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;
uncultured Desulfovirga sp.;Desulfovirga Tanaka & al., 2000;Desulfovirga;3220389;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga;
uncultured Syntrophobacter sp.;Syntrophobacter Boone & Bryant, 1984;Syntrophobacter;3220384;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;
uncultured Crocinitomix sp.;Crocinitomix Bowman & al., 2003;Crocinitomix;3228479;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
uncultured Fluviicola sp.;Fluviicola O'Sullivan & al., 2005;Fluviicola;3228481;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
uncultured Lishizhenia sp.;Lishizhenia Lau & al., 2006;Lishizhenia;4888700;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Lishizhenia;
uncultured Flavobacterium sp.;Flavobacterium Bergey & al., 1923;Flavobacterium;3221328;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
uncultured Ktedonobacter sp.;Ktedonobacter Cavaletti & al., 2007;Ktedonobacter;4900657;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;
uncultured Rhodothermus sp.;Rhodothermus Alfredsson & al., 1995;Rhodothermus;3228843;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Rhodothermaceae;Rhodothermus;
uncultured Opitutus sp.;Opitutus Chin & al., 2001;Opitutus;3229020;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;
uncultured Gaiella sp.;Gaiella Albuquerque & al., 2012;Gaiella;7650175;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella;
uncultured Rubrobacter sp.;Rubrobacter Suzuki & al., 1989;Rubrobacter;9395544;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;
uncultured Mucilaginibacter sp.;Mucilaginibacter Pankratov & al., 2007;Mucilaginibacter;4886632;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;
uncultured Pedobacter sp.;Pedobacter Steyn & al., 1998;Pedobacter;3228812;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;
uncultured Solitalea sp.;Solitalea Weon & al., 2009;Solitalea;8132662;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;
uncultured Conexibacter sp.;Conexibacter Monciardini & al., 2003;Conexibacter;3223545;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;
uncultured Solirubrobacter sp.;Solirubrobacter Singleton & al., 2003;Solirubrobacter;3223551;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;
uncultured Thermoleophilum sp.;Thermoleophilum Zarilla & Perry, 1986;Thermoleophilum;3223547;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Thermoleophilales;Thermoleophilaceae;Thermoleophilum;
uncultured Sphaerobacter sp.;Sphaerobacter Demharter & al., 1989;Sphaerobacter;3223442;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;
Pedosphaera parvula Ellin514;Verrucomicrobiaceae;Pedosphaera;9545;EDITED;;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Pedosphaera;
uncultured Pedosphaera sp.;Verrucomicrobiaceae;Pedosphaera;9545;EDITED;;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Pedosphaera;
uncultured Luteolibacter sp.;Luteolibacter Yoon & al., 2008;Luteolibacter;4575424;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;
uncultured Prosthecobacter sp.;Prosthecobacter;Prosthecobacter;3229032;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;
uncultured Verrucomicrobium sp.;Verrucomicrobium Schlesner, 1988;Verrucomicrobium;3229030;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium;
Anguininae;Anguinidae;Anguinidae;2553;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Anguinidae;;
uncultured Acidobacterium sp.;Acidobacterium Kishimoto & al., 1991;Acidobacterium;3229010;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;
Candidatus Koribacter versatilis Ellin345;Acidobacteriaceae;Acidobacteriaceae;3811C1;EDITED;;ACCEPTED;SPECIES;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Koribacter;Koribacter versatilis
uncultured Candidatus Koribacter sp.;Acidobacteriaceae;Acidobacteriaceae;3811;EDITED;;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Koribacter;
uncultured Edaphobacter sp.;Edaphobacter Koch & al., 2008;Edaphobacter;4887124;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;
uncultured Terriglobus sp.;Terriglobus Eichorst & al., 2007;Terriglobus;4887298;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;
uncultured Gemmatimonas sp.;Gemmatimonas Zhang & al., 2003;Gemmatimonas;3228301;EXACT;94;ACCEPTED;GENUS;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;
uncultured Holophaga sp.;Holophaga Liesack & al., 1995;Holophaga;3229012;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;
uncultured Gemmata sp.;Gemmata Franzmann & Skerman, 1985;Gemmata;3228998;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata;
uncultured Zavarzinella sp.;Zavarzinella Kulichevskaya & al., 2009;Zavarzinella;7513382;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella;
uncultured Isosphaera sp.;Isosphaera Giovannoni & al., 1995;Isosphaera;3228987;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera;
uncultured Singulisphaera sp.;Singulisphaera Kulichevskaya & al., 2008;Singulisphaera;4572757;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera;
uncultured Pirellula sp.;Pirellula Schlesner & Hirsch, 1987;Pirellula;3228980;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;
uncultured Planctomyces sp.;Planctomyces M.Gimesi;Planctomyces;9577926;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;
uncultured Rhodopirellula sp.;Rhodopirellula Schlesner & al., 2004;Rhodopirellula;3228996;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;
Candidatus Solibacter usitatus Ellin6076;Salibacter Lu & al., 2015;Solibacter;9593499C1;EDITED;100;EDITED;SPECIES;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;Solibacter usitatus
uncultured Candidatus Solibacter sp.;Salibacter Lu & al., 2016;Solibacter;9593499;EDITED;100;EDITED;GENUS;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;
uncultured Solibacter sp.;Salibacter Lu & al., 2017;Solibacter;9593499;EDITED;79;ACCEPTED;GENUS;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;
