"occurrenceId";"verbatimScientificName";"scientificName";"key";"matchType";"confidence";"status";"rank";"kingdom";"phylum";"class";"order";"family";"genus";"species"
NA;"Achaeta bifollicula";"Achaeta bifollicula Chalupsky, 1992";8391327;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Achaeta";"Achaeta bifollicula"
NA;"Achaeta unibulba";"Achaeta unibulba Graefe, Dózsa-Farkas & Christensen, 2005";8750602;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Achaeta";"Achaeta unibulba"
NA;"Achaeta";"Achaeta Vejdovsky, 1878";2308383;"EXACT";92;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Achaeta";""
NA;"Achaeta cf. bohemica PDW-2010";"Achaeta bohemica (Vejdovsky, 1879)";4409927;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Anachaeta";"Anachaeta bohemica"
NA;"Buchholzia fallax";"Buchholzia fallax Michaelsen, 1887";5739693;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Buchholzia";"Buchholzia fallax"
NA;"Chamaedrilus aff. glandulosus A SM-2014";"Chamaedrilus glandulosus (Michaelsen, 1888)";9430745;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Chamaedrilus";"Chamaedrilus glandulosus"
NA;"Chamaedrilus aff. sphagnetorum C SM-2014";"Chamaedrilus sphagnetorum (Vejdovský, 1878)";8922158;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Chamaedrilus";"Chamaedrilus sphagnetorum"
NA;"Chamaedrilus";"Chamaedrilus Friend, 1913";7575131;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Chamaedrilus";""
NA;"Chamaedrilus sp";"Chamaedrilus Friend, 1913";7575131;"HIGHERRANK";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Chamaedrilus";""
NA;"Enchytraeus albidus";"Enchytraeus albidus Henle, 1837";2308269;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus albidus"
NA;"Enchytraeus buchholzi";"Enchytraeus buchholzi Vejdovský, 1879";2308272;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus buchholzi"
NA;"Enchytraeus bulbosus";"Enchytraeus bulbosus Nielsen & Christensen, 1963";4409817;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus bulbosus"
NA;"Enchytraeus christenseni";"Enchytraeus christenseni Dózsa-Farkas, 1992";4307714;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus christenseni"
NA;"Fridericia galba";"Fridericia galba (Hoffmeister, 1843)";4812535;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus galba"
NA;"Enchytraeus lacteus";"Enchytraeus lacteus Nielsen & Christensen, 1961";2308267;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus lacteus"
NA;"Enchytraeus norvegicus";"Enchytraeus norvegicus Abrahamsen, 1969";4409812;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";"Enchytraeus norvegicus"
NA;"Enchytraeus";"Enchytraeus Henle, 1837";2308266;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";""
NA;"Enchytraeus sp";"Enchytraeus Henle, 1837";2308266;"HIGHERRANK";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytraeus";""
NA;"Enchytronia parva";"Enchytronia parva Nielsen & Christensen, 1959";2308261;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytronia";"Enchytronia parva"
NA;"Enchytronia";"Enchytronia Nielsen & Christensen, 1959";2308260;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Enchytronia";""
NA;"Fridericia bisetosa";"Fridericia bisetosa (Levinsen, 1884)";4812533;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia bisetosa"
NA;"Fridericia christeri";"Fridericia christeri Rota & Healy, 1999";7369804;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia christeri"
NA;"Fridericia connata";"Fridericia connata Bretscher, 1902";8142015;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia connata"
NA;"Fridericia isseli";"Fridericia isseli Rota, 1994";7630327;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia isseli"
NA;"Fridericia magna";"Fridericia magna Friend, 1899";7618454;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia magna"
NA;"Fridericia paroniana";"Fridericia paroniana Issel, 1904";2308365;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia paroniana"
NA;"Fridericia ratzeli";"Fridericia ratzeli (Eisen, 1872)";2308359;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia ratzeli"
NA;"Fridericia sohlenii";"Fridericia sohlenii Rota, Healy & Erséus, 1998";7441738;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia sohlenii"
NA;"Fridericia sylvatica";"Fridericia sylvatica Healy, 1979";9053167;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia sylvatica"
NA;"Fridericia tuberosa";"Fridericia tuberosa Rota, 1995";8876572;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Fridericia";"Fridericia tuberosa"
NA;"Henlea perpusilla";"Henlea perpusilla Friend, 1911";2308382;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Henlea";"Henlea perpusilla"
NA;"Henlea";"Henlea Michaelsen, 1889";2308378;"EXACT";92;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Henlea";""
NA;"Henlea sp";"Henlea Michaelsen, 1889";2308378;"HIGHERRANK";92;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Henlea";""
NA;"Marionina clavata";"Marionina clavata Nielsen & Christensen, 1961";4409891;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";"Marionina clavata"
NA;"Marionina communis";"Marionina communis Nielsen & Christensen, 1959";2308295;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";"Marionina communis"
NA;"Marionina filiformis";"Marionina filiformis Nielsen & Christensen, 1959";4409880;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";"Marionina filiformis"
NA;"Marionina cf. minutissima PDW-2010";"Marionina minutissima Healy, 1975";4409889;"EXACT";83;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";"Marionina minutissima"
NA;"Marionina sublitoralis";"Marionina sublitoralis Erséus, 1976";2308289;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";"Marionina sublitoralis"
NA;"Marionina";"Marionina Michaelsen, 1890";2308278;"EXACT";93;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";""
NA;"Marionina sp";"Marionina Michaelsen, 1890";2308278;"HIGHERRANK";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Marionina";""
NA;"Enchytraeidae";"Enchytraeidae";3565;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"";""
NA;"Glyphidrilus";"Glyphidrilus Horst, 1889";2308758;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Almidae";"Glyphidrilus";""
NA;"Almidae";"Almidae";4813730;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Almidae";"";""
NA;"Rhyacodrilus falciformis";"Rhyacodrilus falciformis Bretscher, 1901";2308497;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Naididae";"Rhyacodrilus";"Rhyacodrilus falciformis"
NA;"Rhyacodrilus";"Rhyacodrilus Bretscher, 1901";2308495;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Naididae";"Rhyacodrilus";""
NA;"Tubificidae";"Tubificidae";6962;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Tubificidae";"";""
NA;"Haplotaxida";"Haplotaxida";472;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"";"";""
NA;"Lumbriculus";"Lumbriculus Grube, 1844";2308018;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Lumbriculida";"Lumbriculidae";"Lumbriculus";""
NA;"Lumbriculidae";"Lumbriculidae";6964;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Lumbriculida";"Lumbriculidae";"";""
NA;"Lumbriculida";"Lumbriculida";473;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Annelida";"Clitellata";"Lumbriculida";"";"";""
NA;"Glossiphoniidae";"Glossiphoniidae";3575;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Rhynchobdellida";"Glossiphoniidae";"";""
NA;"Rhynchobdellida";"Rhynchobdellida";1078;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Annelida";"Clitellata";"Rhynchobdellida";"";"";""
NA;"Annelida";"Annelida";42;"EXACT";94;"ACCEPTED";"PHYLUM";"Animalia";"Annelida";"";"";"";"";""
NA;"Robertus neglectus";"Robertus neglectus (O.Pickard-Cambridge, 1871)";2155886;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Robertus";"Robertus neglectus"
NA;"Robertus";"Robertus Pickard-Cambridge, 1879";2155880;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Robertus";""
NA;"Theridiidae";"Theridiidae";9583;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"";""
NA;"Araneae";"Araneae";1496;"EXACT";91;"ACCEPTED";"ORDER";"Animalia";"Arthropoda";"Arachnida";"Araneae";"";"";""
NA;"Aleuroglyphus ovatus";"Aleuroglyphus ovatus (Troupeau, 1879)";5860704;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Acaridae";"Aleuroglyphus";"Aleuroglyphus ovatus"
NA;"Aleuroglyphus";"Aleuroglyphus Zachvatkin, 1940";4652288;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Acaridae";"Aleuroglyphus";""
NA;"Rhizoglyphus";"Rhizoglyphus Claparède";2181947;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Acaridae";"Rhizoglyphus";""
NA;"Tyrophagus";"Tyrophagus Oudemans, 1924";2181931;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Acaridae";"Tyrophagus";""
NA;"Acaridae";"Acaridae";6102;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Acaridae";"";""
NA;"Histiostoma feroniarum";"Histiostoma feroniarum (Dufour, 1839)";2181976;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Histiostomatidae";"Histiostoma";"Histiostoma feroniarum"
NA;"Histiostoma";"Histiostoma P.Kramer, 1876";2181975;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Histiostomatidae";"Histiostoma";""
NA;"Histiostomatidae";"Histiostomatidae";2843;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"Histiostomatidae";"";""
NA;"Astigmata";"Astigmata";374;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Arthropoda";"Arachnida";"Astigmata";"";"";""
NA;"Blaberolaelaps";"Blaberolaelaps Costa, 1980";4663886;"EXACT";92;"DOUBTFUL";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Laelapidae";"Blaberolaelaps";""
NA;"Laelapidae";"Laelapidae";2832;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Laelapidae";"";""
NA;"Parasitidae";"Parasitidae";6083;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Parasitidae";"";""
NA;"Phytoseiidae";"Phytoseiidae";3511;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Phytoseiidae";"";""
NA;"Uropoda orbicularis";"Uropoda orbicularis (O.F.Muller, 1776)";4549547;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Uropodidae";"Uropoda";"Uropoda orbicularis"
NA;"Uropoda";"Uropoda Latreille, 1805";2188216;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Uropodidae";"Uropoda";""
NA;"Uropodidae";"Uropodidae";6081;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Uropodidae";"";""
NA;"Veigaia nemorensis";"Veigaia nemorensis (C.L.Koch, 1839)";4548736;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Veigaiidae";"Veigaia";"Veigaia nemorensis"
NA;"Veigaia";"Veigaia Oudemans, 1905";4406135;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Veigaiidae";"Veigaia";""
NA;"Veigaiidae";"Veigaiidae";6079;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"Veigaiidae";"";""
NA;"Mesostigmata";"Mesostigmata";1109;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Arthropoda";"Arachnida";"Mesostigmata";"";"";""
NA;"Alicorhagia";"Alicorhagia Belese, 1910";2128073;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Alicorhagiidae";"Alicorhagia";""
NA;"Stigmalychus";"Stigmalychus Theron, Meyer & Ryke, 1971";4653827;"EXACT";92;"DOUBTFUL";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Alicorhagiidae";"Stigmalychus";""
NA;"Alicorhagiidae";"Alicorhagiidae";2825;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Alicorhagiidae";"";""
NA;"Anystis";"Anystis Heyden, 1826";2131873;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Anystidae";"Anystis";""
NA;"Anystidae";"Anystidae";2824;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Anystidae";"";""
NA;"Rhagidiidae";"Rhagidiidae";6064;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Rhagidiidae";"";""
NA;"Tetranychus urticae";"Tetranychus urticae Koch, 1836";2130185;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Tetranychidae";"Tetranychus";"Tetranychus urticae"
NA;"Tetranychus";"Tetranychus Dufour, 1832";2130777;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Tetranychidae";"Tetranychus";""
NA;"Tetranychidae";"Tetranychidae";6057;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Prostigmata";"Tetranychidae";"";""
NA;"Chthonius";"Chthonius Koch, 1843";2124312;"EXACT";92;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Pseudoscorpiones";"Chthoniidae";"Chthonius";""
NA;"Chthoniidae";"Chthoniidae";7652;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Pseudoscorpiones";"Chthoniidae";"";""
NA;"Pseudoscorpiones";"Pseudoscorpiones";1161;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Arthropoda";"Arachnida";"Pseudoscorpiones";"";"";""
NA;"Liochthonius";"Liochthonius Hammen, 1959";2188311;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Brachychthoniidae";"Liochthonius";""
NA;"Brachychthoniidae";"Brachychthoniidae";3617;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Brachychthoniidae";"";""
NA;"Pilogalumna";"Pilogalumna Grandjean, 1956";2193785;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Galumnidae";"Pilogalumna";""
NA;"Pilogalumna rosauraruizae";"Pilogalumna Grandjean, 1956";2193785;"HIGHERRANK";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Galumnidae";"Pilogalumna";""
NA;"Galumnidae";"Galumnidae";7429;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Galumnidae";"";""
NA;"Oribatulidae";"Oribatulidae";7460;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Oribatulidae";"";""
NA;"Protoribates hakonensis";"Protoribates hakonensis Aoki, 1994";2191143;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Protoribatidae";"Protoribates";"Protoribates hakonensis"
NA;"Protoribates";"Protoribates Berlese, 1908";2191118;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Protoribatidae";"Protoribates";""
NA;"Protoribatidae";"Protoribatidae";7471;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Protoribatidae";"";""
NA;"Tectocepheus";"Tectocepheus Berlese, 1913";2193269;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Tectocepheidae";"Tectocepheus";""
NA;"Tectocepheidae";"Tectocepheidae";3655;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Tectocepheidae";"";""
NA;"Arachnida";"Arachnida";367;"EXACT";94;"ACCEPTED";"CLASS";"Animalia";"Arthropoda";"Arachnida";"";"";"";""
NA;"Lithobius forficatus";"Lithobius forficatus Linnaeus, 1758";2230246;"EXACT";97;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"Lithobiidae";"Lithobius";"Lithobius forficatus"
NA;"Lithobius variegatus";"Lithobius variegatus Leach, 1814";2230514;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"Lithobiidae";"Lithobius";"Lithobius variegatus"
NA;"Lithobius";"Lithobius Leach, 1814";9357423;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"Lithobiidae";"Lithobius";""
NA;"Lithobiidae";"Lithobiidae";5540;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"Lithobiidae";"";""
NA;"Lithobiomorpha";"Lithobiomorpha";807;"EXACT";94;"ACCEPTED";"ORDER";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"";"";""
NA;"Chilopoda";"Chilopoda";360;"EXACT";94;"ACCEPTED";"CLASS";"Animalia";"Arthropoda";"Chilopoda";"";"";"";""
NA;"Cylindroiulus caeruleocinctus";"Cylindroiulus caeruleocinctus (Wood, 1864)";1013578;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Arthropoda";"Diplopoda";"Julida";"Julidae";"Cylindroiulus";"Cylindroiulus caeruleocinctus"
