"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31"
"V15";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V16";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V17";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"V18";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"V19";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"V20";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V21";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,0270270269576736;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V22";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V23";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V24";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V25";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V26";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V27";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"V28";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"V29";1e-06;1e-06;1e-06;1e-06;0,8620689032025;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0303030100954334;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0716272599308842;1e-06;1e-06
"V30";1e-06;1e-06;0,0322580645638927;1e-06;0,850574681903376;1e-06;1e-06;1e-06;1e-06;0,0675675661747804;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;0,500000107090433;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"V31";1e-06;1e-06;0,322580622496992;1e-06;0,0574712608111245;0,769230721776645;1e-06;0,999999;1e-06;0,0270270262880203;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,218358826275617
