"";"Meth";"Tax";"P1";"P2";"DiffP12";"DiffP21"
"53";"sbm";"family";"B+";"C-";"";"V14"
"54";"sbm";"family";"B+";"C+";"";""
"55";"sbm";"family";"B+";"D-";"";""
"56";"sbm";"family";"B+";"D+";"";""
"57";"sbm";"family";"B+";"E-";"";""
"58";"sbm";"family";"B+";"E+";"";""
"59";"sbm";"family";"B+";"F-";"";""
"60";"sbm";"family";"B+";"F+";"";""
"61";"sbm";"family";"B+";"G-";"";"V14"
"62";"sbm";"family";"B+";"G+";"";""
"63";"sbm";"family";"B+";"H-";"";""
"64";"sbm";"family";"B+";"H+";"";""
"65";"sbm";"family";"C-";"A-";"V14";""
"66";"sbm";"family";"C-";"A+";"V10, V14";""
"67";"sbm";"family";"C-";"B-";"V14";""
"68";"sbm";"family";"C-";"B+";"V14";""
"69";"sbm";"family";"C-";"C-";"";""
"70";"sbm";"family";"C-";"C+";"V14";""
"71";"sbm";"family";"C-";"D-";"V14";""
"72";"sbm";"family";"C-";"D+";"V14";""
"73";"sbm";"family";"C-";"E-";"V14";""
"74";"sbm";"family";"C-";"E+";"V14";""
"75";"sbm";"family";"C-";"F-";"V14";""
"76";"sbm";"family";"C-";"F+";"V14";""
"77";"sbm";"family";"C-";"G-";"";""
"78";"sbm";"family";"C-";"G+";"V14";""
"79";"sbm";"family";"C-";"H-";"V14";""
"80";"sbm";"family";"C-";"H+";"V14";""
"81";"sbm";"family";"C+";"A-";"";""
"82";"sbm";"family";"C+";"A+";"V10";""
"83";"sbm";"family";"C+";"B-";"";""
"84";"sbm";"family";"C+";"B+";"";""
"85";"sbm";"family";"C+";"C-";"";"V14"
"86";"sbm";"family";"C+";"C+";"";""
"87";"sbm";"family";"C+";"D-";"";""
"88";"sbm";"family";"C+";"D+";"";""
"89";"sbm";"family";"C+";"E-";"";""
"90";"sbm";"family";"C+";"E+";"";""
"91";"sbm";"family";"C+";"F-";"";""
"92";"sbm";"family";"C+";"F+";"";""
"93";"sbm";"family";"C+";"G-";"";"V14"
"94";"sbm";"family";"C+";"G+";"";""
"95";"sbm";"family";"C+";"H-";"";""
"96";"sbm";"family";"C+";"H+";"";""
"97";"sbm";"family";"D-";"A-";"";""
"98";"sbm";"family";"D-";"A+";"V10";""
"99";"sbm";"family";"D-";"B-";"";""
"100";"sbm";"family";"D-";"B+";"";""
"101";"sbm";"family";"D-";"C-";"";"V14"
"102";"sbm";"family";"D-";"C+";"";""
"103";"sbm";"family";"D-";"D-";"";""
"104";"sbm";"family";"D-";"D+";"";""
"105";"sbm";"family";"D-";"E-";"";""
"106";"sbm";"family";"D-";"E+";"";""
"107";"sbm";"family";"D-";"F-";"";""
"108";"sbm";"family";"D-";"F+";"";""
"109";"sbm";"family";"D-";"G-";"";"V14"
"110";"sbm";"family";"D-";"G+";"";""
"111";"sbm";"family";"D-";"H-";"";""
"112";"sbm";"family";"D-";"H+";"";""
"113";"sbm";"family";"D+";"A-";"";""
"114";"sbm";"family";"D+";"A+";"V10";""
"115";"sbm";"family";"D+";"B-";"";""
"116";"sbm";"family";"D+";"B+";"";""
"117";"sbm";"family";"D+";"C-";"";"V14"
"118";"sbm";"family";"D+";"C+";"";""
"119";"sbm";"family";"D+";"D-";"";""
"120";"sbm";"family";"D+";"D+";"";""
"121";"sbm";"family";"D+";"E-";"";""
"122";"sbm";"family";"D+";"E+";"";""
"123";"sbm";"family";"D+";"F-";"";""
"124";"sbm";"family";"D+";"F+";"";""
"125";"sbm";"family";"D+";"G-";"";"V14"
"126";"sbm";"family";"D+";"G+";"";""
"127";"sbm";"family";"D+";"H-";"";""
"128";"sbm";"family";"D+";"H+";"";""
"129";"sbm";"family";"E-";"A-";"";""
"130";"sbm";"family";"E-";"A+";"V10";""
"131";"sbm";"family";"E-";"B-";"";""
"132";"sbm";"family";"E-";"B+";"";""
"133";"sbm";"family";"E-";"C-";"";"V14"
"134";"sbm";"family";"E-";"C+";"";""
"135";"sbm";"family";"E-";"D-";"";""
"136";"sbm";"family";"E-";"D+";"";""
"137";"sbm";"family";"E-";"E-";"";""
"138";"sbm";"family";"E-";"E+";"";""
"139";"sbm";"family";"E-";"F-";"";""
"140";"sbm";"family";"E-";"F+";"";""
"141";"sbm";"family";"E-";"G-";"";"V14"
"142";"sbm";"family";"E-";"G+";"";""
"143";"sbm";"family";"E-";"H-";"";""
"144";"sbm";"family";"E-";"H+";"";""
"145";"sbm";"family";"E+";"A-";"";""
"146";"sbm";"family";"E+";"A+";"V10";""
"147";"sbm";"family";"E+";"B-";"";""
"148";"sbm";"family";"E+";"B+";"";""
"149";"sbm";"family";"E+";"C-";"";"V14"
"150";"sbm";"family";"E+";"C+";"";""
"151";"sbm";"family";"E+";"D-";"";""
"152";"sbm";"family";"E+";"D+";"";""
"153";"sbm";"family";"E+";"E-";"";""
"154";"sbm";"family";"E+";"E+";"";""
"155";"sbm";"family";"E+";"F-";"";""
"156";"sbm";"family";"E+";"F+";"";""
"157";"sbm";"family";"E+";"G-";"";"V14"
"158";"sbm";"family";"E+";"G+";"";""
"159";"sbm";"family";"E+";"H-";"";""
"160";"sbm";"family";"E+";"H+";"";""
"161";"sbm";"family";"F-";"A-";"";""
"162";"sbm";"family";"F-";"A+";"V10";""
"163";"sbm";"family";"F-";"B-";"";""
"164";"sbm";"family";"F-";"B+";"";""
"165";"sbm";"family";"F-";"C-";"";"V14"
"166";"sbm";"family";"F-";"C+";"";""
"167";"sbm";"family";"F-";"D-";"";""
"168";"sbm";"family";"F-";"D+";"";""
"169";"sbm";"family";"F-";"E-";"";""
"170";"sbm";"family";"F-";"E+";"";""
"171";"sbm";"family";"F-";"F-";"";""
"172";"sbm";"family";"F-";"F+";"";""
"173";"sbm";"family";"F-";"G-";"";"V14"
"174";"sbm";"family";"F-";"G+";"";""
"175";"sbm";"family";"F-";"H-";"";""
"176";"sbm";"family";"F-";"H+";"";""
"177";"sbm";"family";"F+";"A-";"";""
"178";"sbm";"family";"F+";"A+";"V10";""
"179";"sbm";"family";"F+";"B-";"";""
"180";"sbm";"family";"F+";"B+";"";""
"181";"sbm";"family";"F+";"C-";"";"V14"
"182";"sbm";"family";"F+";"C+";"";""
"183";"sbm";"family";"F+";"D-";"";""
"184";"sbm";"family";"F+";"D+";"";""
"185";"sbm";"family";"F+";"E-";"";""
"186";"sbm";"family";"F+";"E+";"";""
"187";"sbm";"family";"F+";"F-";"";""
"188";"sbm";"family";"F+";"F+";"";""
"189";"sbm";"family";"F+";"G-";"";"V14"
"190";"sbm";"family";"F+";"G+";"";""
"191";"sbm";"family";"F+";"H-";"";""
"192";"sbm";"family";"F+";"H+";"";""
"193";"sbm";"family";"G-";"A-";"V14";""
"194";"sbm";"family";"G-";"A+";"V10, V14";""
"195";"sbm";"family";"G-";"B-";"V14";""
"196";"sbm";"family";"G-";"B+";"V14";""
"197";"sbm";"family";"G-";"C-";"";""
"198";"sbm";"family";"G-";"C+";"V14";""
"199";"sbm";"family";"G-";"D-";"V14";""
"200";"sbm";"family";"G-";"D+";"V14";""
"201";"sbm";"family";"G-";"E-";"V14";""
"202";"sbm";"family";"G-";"E+";"V14";""
"203";"sbm";"family";"G-";"F-";"V14";""
"204";"sbm";"family";"G-";"F+";"V14";""
"205";"sbm";"family";"G-";"G-";"";""
"206";"sbm";"family";"G-";"G+";"V14";""
"207";"sbm";"family";"G-";"H-";"V14";""
"208";"sbm";"family";"G-";"H+";"V14";""
"209";"sbm";"family";"G+";"A-";"";""
"210";"sbm";"family";"G+";"A+";"V10";""
"211";"sbm";"family";"G+";"B-";"";""
"212";"sbm";"family";"G+";"B+";"";""
"213";"sbm";"family";"G+";"C-";"";"V14"
"214";"sbm";"family";"G+";"C+";"";""
"215";"sbm";"family";"G+";"D-";"";""
"216";"sbm";"family";"G+";"D+";"";""
"217";"sbm";"family";"G+";"E-";"";""
"218";"sbm";"family";"G+";"E+";"";""
"219";"sbm";"family";"G+";"F-";"";""
"220";"sbm";"family";"G+";"F+";"";""
"221";"sbm";"family";"G+";"G-";"";"V14"
"222";"sbm";"family";"G+";"G+";"";""
"223";"sbm";"family";"G+";"H-";"";""
"224";"sbm";"family";"G+";"H+";"";""
"225";"sbm";"family";"H-";"A-";"";""
"226";"sbm";"family";"H-";"A+";"V10";""
"227";"sbm";"family";"H-";"B-";"";""
"228";"sbm";"family";"H-";"B+";"";""
"229";"sbm";"family";"H-";"C-";"";"V14"
"230";"sbm";"family";"H-";"C+";"";""
"231";"sbm";"family";"H-";"D-";"";""
"232";"sbm";"family";"H-";"D+";"";""
"233";"sbm";"family";"H-";"E-";"";""
"234";"sbm";"family";"H-";"E+";"";""
"235";"sbm";"family";"H-";"F-";"";""
"236";"sbm";"family";"H-";"F+";"";""
"237";"sbm";"family";"H-";"G-";"";"V14"
"238";"sbm";"family";"H-";"G+";"";""
"239";"sbm";"family";"H-";"H-";"";""
"240";"sbm";"family";"H-";"H+";"";""
"241";"sbm";"family";"H+";"A-";"";""
"242";"sbm";"family";"H+";"A+";"V10";""
"243";"sbm";"family";"H+";"B-";"";""
"244";"sbm";"family";"H+";"B+";"";""
"245";"sbm";"family";"H+";"C-";"";"V14"
"246";"sbm";"family";"H+";"C+";"";""
"247";"sbm";"family";"H+";"D-";"";""
"248";"sbm";"family";"H+";"D+";"";""
"249";"sbm";"family";"H+";"E-";"";""
"250";"sbm";"family";"H+";"E+";"";""
"251";"sbm";"family";"H+";"F-";"";""
"252";"sbm";"family";"H+";"F+";"";""
"253";"sbm";"family";"H+";"G-";"";"V14"
"254";"sbm";"family";"H+";"G+";"";""
"255";"sbm";"family";"H+";"H-";"";""
"256";"sbm";"family";"H+";"H+";"";""
"257";"sbm";"genus";"A-";"A-";"";""
"258";"sbm";"genus";"A-";"A+";"V7";""
"259";"sbm";"genus";"A-";"B-";"V10";""
"260";"sbm";"genus";"A-";"B+";"";""
"261";"sbm";"genus";"A-";"C-";"V10";"V8"
"262";"sbm";"genus";"A-";"C+";"";""
"263";"sbm";"genus";"A-";"D-";"";""
"264";"sbm";"genus";"A-";"D+";"V10";""
"265";"sbm";"genus";"A-";"E-";"";""
"266";"sbm";"genus";"A-";"E+";"V10";""
"267";"sbm";"genus";"A-";"F-";"V10";""
"268";"sbm";"genus";"A-";"F+";"";""
"269";"sbm";"genus";"A-";"G-";"";"V8"
"270";"sbm";"genus";"A-";"G+";"";""
"271";"sbm";"genus";"A-";"H-";"V10";""
"272";"sbm";"genus";"A-";"H+";"";""
"273";"sbm";"genus";"A+";"A-";"";"V7"
"274";"sbm";"genus";"A+";"A+";"";""
"275";"sbm";"genus";"A+";"B-";"V10";"V7"
"276";"sbm";"genus";"A+";"B+";"";"V7"
"277";"sbm";"genus";"A+";"C-";"V10";"V8, V7"
"278";"sbm";"genus";"A+";"C+";"";"V7"
"279";"sbm";"genus";"A+";"D-";"";"V7"
"280";"sbm";"genus";"A+";"D+";"V10";"V7"
"281";"sbm";"genus";"A+";"E-";"";"V7"
"282";"sbm";"genus";"A+";"E+";"V10";"V7"
"283";"sbm";"genus";"A+";"F-";"V10";"V7"
"284";"sbm";"genus";"A+";"F+";"";"V7"
"285";"sbm";"genus";"A+";"G-";"";"V8, V7"
"286";"sbm";"genus";"A+";"G+";"";"V7"
"287";"sbm";"genus";"A+";"H-";"V10";"V7"
"288";"sbm";"genus";"A+";"H+";"";"V7"
"289";"sbm";"genus";"B-";"A-";"";"V10"
"290";"sbm";"genus";"B-";"A+";"V7";"V10"
"291";"sbm";"genus";"B-";"B-";"";""
"292";"sbm";"genus";"B-";"B+";"";"V10"
"293";"sbm";"genus";"B-";"C-";"";"V8"
"294";"sbm";"genus";"B-";"C+";"";"V10"
"295";"sbm";"genus";"B-";"D-";"";"V10"
"296";"sbm";"genus";"B-";"D+";"";""
"297";"sbm";"genus";"B-";"E-";"";"V10"
"298";"sbm";"genus";"B-";"E+";"";""
"299";"sbm";"genus";"B-";"F-";"";""
"300";"sbm";"genus";"B-";"F+";"";"V10"
"301";"sbm";"genus";"B-";"G-";"";"V10, V8"
"302";"sbm";"genus";"B-";"G+";"";"V10"
"303";"sbm";"genus";"B-";"H-";"";""
"304";"sbm";"genus";"B-";"H+";"";"V10"
"305";"sbm";"genus";"B+";"A-";"";""
"306";"sbm";"genus";"B+";"A+";"V7";""
"307";"sbm";"genus";"B+";"B-";"V10";""
"308";"sbm";"genus";"B+";"B+";"";""
"309";"sbm";"genus";"B+";"C-";"V10";"V8"
"310";"sbm";"genus";"B+";"C+";"";""
"311";"sbm";"genus";"B+";"D-";"";""
"312";"sbm";"genus";"B+";"D+";"V10";""
"313";"sbm";"genus";"B+";"E-";"";""
"314";"sbm";"genus";"B+";"E+";"V10";""
"315";"sbm";"genus";"B+";"F-";"V10";""
"316";"sbm";"genus";"B+";"F+";"";""
"317";"sbm";"genus";"B+";"G-";"";"V8"
"318";"sbm";"genus";"B+";"G+";"";""
"319";"sbm";"genus";"B+";"H-";"V10";""
"320";"sbm";"genus";"B+";"H+";"";""
"321";"sbm";"genus";"C-";"A-";"V8";"V10"
"322";"sbm";"genus";"C-";"A+";"V8, V7";"V10"
"323";"sbm";"genus";"C-";"B-";"V8";""
"324";"sbm";"genus";"C-";"B+";"V8";"V10"
"325";"sbm";"genus";"C-";"C-";"";""
"326";"sbm";"genus";"C-";"C+";"V8";"V10"
"327";"sbm";"genus";"C-";"D-";"V8";"V10"
"328";"sbm";"genus";"C-";"D+";"V8";""
"329";"sbm";"genus";"C-";"E-";"V8";"V10"
"330";"sbm";"genus";"C-";"E+";"V8";""
"331";"sbm";"genus";"C-";"F-";"V8";""
"332";"sbm";"genus";"C-";"F+";"V8";"V10"
"333";"sbm";"genus";"C-";"G-";"";"V10"
"334";"sbm";"genus";"C-";"G+";"V8";"V10"
"335";"sbm";"genus";"C-";"H-";"V8";""
"336";"sbm";"genus";"C-";"H+";"V8";"V10"
"337";"sbm";"genus";"C+";"A-";"";""
"338";"sbm";"genus";"C+";"A+";"V7";""
"339";"sbm";"genus";"C+";"B-";"V10";""
"340";"sbm";"genus";"C+";"B+";"";""
"341";"sbm";"genus";"C+";"C-";"V10";"V8"
"342";"sbm";"genus";"C+";"C+";"";""
"343";"sbm";"genus";"C+";"D-";"";""
"344";"sbm";"genus";"C+";"D+";"V10";""
"345";"sbm";"genus";"C+";"E-";"";""
"346";"sbm";"genus";"C+";"E+";"V10";""
"347";"sbm";"genus";"C+";"F-";"V10";""
"348";"sbm";"genus";"C+";"F+";"";""
"349";"sbm";"genus";"C+";"G-";"";"V8"
"350";"sbm";"genus";"C+";"G+";"";""
"351";"sbm";"genus";"C+";"H-";"V10";""
"352";"sbm";"genus";"C+";"H+";"";""
"353";"sbm";"genus";"D-";"A-";"";""
"354";"sbm";"genus";"D-";"A+";"V7";""
"355";"sbm";"genus";"D-";"B-";"V10";""
"356";"sbm";"genus";"D-";"B+";"";""
"357";"sbm";"genus";"D-";"C-";"V10";"V8"
"358";"sbm";"genus";"D-";"C+";"";""
"359";"sbm";"genus";"D-";"D-";"";""
"360";"sbm";"genus";"D-";"D+";"V10";""
"361";"sbm";"genus";"D-";"E-";"";""
"362";"sbm";"genus";"D-";"E+";"V10";""
"363";"sbm";"genus";"D-";"F-";"V10";""
"364";"sbm";"genus";"D-";"F+";"";""
"365";"sbm";"genus";"D-";"G-";"";"V8"
"366";"sbm";"genus";"D-";"G+";"";""
"367";"sbm";"genus";"D-";"H-";"V10";""
"368";"sbm";"genus";"D-";"H+";"";""
"369";"sbm";"genus";"D+";"A-";"";"V10"
"370";"sbm";"genus";"D+";"A+";"V7";"V10"
"371";"sbm";"genus";"D+";"B-";"";""
"372";"sbm";"genus";"D+";"B+";"";"V10"
"373";"sbm";"genus";"D+";"C-";"";"V8"
"374";"sbm";"genus";"D+";"C+";"";"V10"
"375";"sbm";"genus";"D+";"D-";"";"V10"
"376";"sbm";"genus";"D+";"D+";"";""
"377";"sbm";"genus";"D+";"E-";"";"V10"
"378";"sbm";"genus";"D+";"E+";"";""
"379";"sbm";"genus";"D+";"F-";"";""
"380";"sbm";"genus";"D+";"F+";"";"V10"
"381";"sbm";"genus";"D+";"G-";"";"V10, V8"
"382";"sbm";"genus";"D+";"G+";"";"V10"
"383";"sbm";"genus";"D+";"H-";"";""
"384";"sbm";"genus";"D+";"H+";"";"V10"
"385";"sbm";"genus";"E-";"A-";"";""
"386";"sbm";"genus";"E-";"A+";"V7";""
"387";"sbm";"genus";"E-";"B-";"V10";""
"388";"sbm";"genus";"E-";"B+";"";""
"389";"sbm";"genus";"E-";"C-";"V10";"V8"
"390";"sbm";"genus";"E-";"C+";"";""
"391";"sbm";"genus";"E-";"D-";"";""
"392";"sbm";"genus";"E-";"D+";"V10";""
"393";"sbm";"genus";"E-";"E-";"";""
"394";"sbm";"genus";"E-";"E+";"V10";""
"395";"sbm";"genus";"E-";"F-";"V10";""
"396";"sbm";"genus";"E-";"F+";"";""
"397";"sbm";"genus";"E-";"G-";"";"V8"
"398";"sbm";"genus";"E-";"G+";"";""
"399";"sbm";"genus";"E-";"H-";"V10";""
"400";"sbm";"genus";"E-";"H+";"";""
"401";"sbm";"genus";"E+";"A-";"";"V10"
"402";"sbm";"genus";"E+";"A+";"V7";"V10"
"403";"sbm";"genus";"E+";"B-";"";""
"404";"sbm";"genus";"E+";"B+";"";"V10"
"405";"sbm";"genus";"E+";"C-";"";"V8"
"406";"sbm";"genus";"E+";"C+";"";"V10"
"407";"sbm";"genus";"E+";"D-";"";"V10"
"408";"sbm";"genus";"E+";"D+";"";""
"409";"sbm";"genus";"E+";"E-";"";"V10"
"410";"sbm";"genus";"E+";"E+";"";""
"411";"sbm";"genus";"E+";"F-";"";""
"412";"sbm";"genus";"E+";"F+";"";"V10"
"413";"sbm";"genus";"E+";"G-";"";"V10, V8"
"414";"sbm";"genus";"E+";"G+";"";"V10"
"415";"sbm";"genus";"E+";"H-";"";""
"416";"sbm";"genus";"E+";"H+";"";"V10"
"417";"sbm";"genus";"F-";"A-";"";"V10"
"418";"sbm";"genus";"F-";"A+";"V7";"V10"
"419";"sbm";"genus";"F-";"B-";"";""
"420";"sbm";"genus";"F-";"B+";"";"V10"
"421";"sbm";"genus";"F-";"C-";"";"V8"
"422";"sbm";"genus";"F-";"C+";"";"V10"
"423";"sbm";"genus";"F-";"D-";"";"V10"
"424";"sbm";"genus";"F-";"D+";"";""
"425";"sbm";"genus";"F-";"E-";"";"V10"
"426";"sbm";"genus";"F-";"E+";"";""
"427";"sbm";"genus";"F-";"F-";"";""
"428";"sbm";"genus";"F-";"F+";"";"V10"
"429";"sbm";"genus";"F-";"G-";"";"V10, V8"
"430";"sbm";"genus";"F-";"G+";"";"V10"
"431";"sbm";"genus";"F-";"H-";"";""
"432";"sbm";"genus";"F-";"H+";"";"V10"
"433";"sbm";"genus";"F+";"A-";"";""
"434";"sbm";"genus";"F+";"A+";"V7";""
"435";"sbm";"genus";"F+";"B-";"V10";""
"436";"sbm";"genus";"F+";"B+";"";""
"437";"sbm";"genus";"F+";"C-";"V10";"V8"
"438";"sbm";"genus";"F+";"C+";"";""
"439";"sbm";"genus";"F+";"D-";"";""
"440";"sbm";"genus";"F+";"D+";"V10";""
"441";"sbm";"genus";"F+";"E-";"";""
"442";"sbm";"genus";"F+";"E+";"V10";""
"443";"sbm";"genus";"F+";"F-";"V10";""
"444";"sbm";"genus";"F+";"F+";"";""
"445";"sbm";"genus";"F+";"G-";"";"V8"
"446";"sbm";"genus";"F+";"G+";"";""
"447";"sbm";"genus";"F+";"H-";"V10";""
"448";"sbm";"genus";"F+";"H+";"";""
"449";"sbm";"genus";"G-";"A-";"V8";""
"450";"sbm";"genus";"G-";"A+";"V8, V7";""
"451";"sbm";"genus";"G-";"B-";"V10, V8";""
"452";"sbm";"genus";"G-";"B+";"V8";""
"453";"sbm";"genus";"G-";"C-";"V10";""
"454";"sbm";"genus";"G-";"C+";"V8";""
"455";"sbm";"genus";"G-";"D-";"V8";""
"456";"sbm";"genus";"G-";"D+";"V10, V8";""
"457";"sbm";"genus";"G-";"E-";"V8";""
"458";"sbm";"genus";"G-";"E+";"V10, V8";""
"459";"sbm";"genus";"G-";"F-";"V10, V8";""
"460";"sbm";"genus";"G-";"F+";"V8";""
"461";"sbm";"genus";"G-";"G-";"";""
"462";"sbm";"genus";"G-";"G+";"V8";""
"463";"sbm";"genus";"G-";"H-";"V10, V8";""
"464";"sbm";"genus";"G-";"H+";"V8";""
"465";"sbm";"genus";"G+";"A-";"";""
"466";"sbm";"genus";"G+";"A+";"V7";""
"467";"sbm";"genus";"G+";"B-";"V10";""
"468";"sbm";"genus";"G+";"B+";"";""
"469";"sbm";"genus";"G+";"C-";"V10";"V8"
"470";"sbm";"genus";"G+";"C+";"";""
"471";"sbm";"genus";"G+";"D-";"";""
"472";"sbm";"genus";"G+";"D+";"V10";""
"473";"sbm";"genus";"G+";"E-";"";""
"474";"sbm";"genus";"G+";"E+";"V10";""
"475";"sbm";"genus";"G+";"F-";"V10";""
"476";"sbm";"genus";"G+";"F+";"";""
"477";"sbm";"genus";"G+";"G-";"";"V8"
"478";"sbm";"genus";"G+";"G+";"";""
"479";"sbm";"genus";"G+";"H-";"V10";""
"480";"sbm";"genus";"G+";"H+";"";""
"481";"sbm";"genus";"H-";"A-";"";"V10"
"482";"sbm";"genus";"H-";"A+";"V7";"V10"
"483";"sbm";"genus";"H-";"B-";"";""
"484";"sbm";"genus";"H-";"B+";"";"V10"
"485";"sbm";"genus";"H-";"C-";"";"V8"
"486";"sbm";"genus";"H-";"C+";"";"V10"
"487";"sbm";"genus";"H-";"D-";"";"V10"
"488";"sbm";"genus";"H-";"D+";"";""
"489";"sbm";"genus";"H-";"E-";"";"V10"
"490";"sbm";"genus";"H-";"E+";"";""
"491";"sbm";"genus";"H-";"F-";"";""
"492";"sbm";"genus";"H-";"F+";"";"V10"
"493";"sbm";"genus";"H-";"G-";"";"V10, V8"
"494";"sbm";"genus";"H-";"G+";"";"V10"
"495";"sbm";"genus";"H-";"H-";"";""
"496";"sbm";"genus";"H-";"H+";"";"V10"
"497";"sbm";"genus";"H+";"A-";"";""
"498";"sbm";"genus";"H+";"A+";"V7";""
"499";"sbm";"genus";"H+";"B-";"V10";""
"500";"sbm";"genus";"H+";"B+";"";""
"501";"sbm";"genus";"H+";"C-";"V10";"V8"
"502";"sbm";"genus";"H+";"C+";"";""
"503";"sbm";"genus";"H+";"D-";"";""
"504";"sbm";"genus";"H+";"D+";"V10";""
"505";"sbm";"genus";"H+";"E-";"";""
"506";"sbm";"genus";"H+";"E+";"V10";""
"507";"sbm";"genus";"H+";"F-";"V10";""
"508";"sbm";"genus";"H+";"F+";"";""
"509";"sbm";"genus";"H+";"G-";"";"V8"
"510";"sbm";"genus";"H+";"G+";"";""
"511";"sbm";"genus";"H+";"H-";"V10";""
"512";"sbm";"genus";"H+";"H+";"";""
"513";"sbm";"species";"A-";"A-";"";""
"514";"sbm";"species";"A-";"A+";"V3";""
"515";"sbm";"species";"A-";"B-";"V8";""
"516";"sbm";"species";"A-";"B+";"V3";""
"517";"sbm";"species";"A-";"C-";"V8";"V4"
"518";"sbm";"species";"A-";"C+";"";""
"519";"sbm";"species";"A-";"D-";"";""
"520";"sbm";"species";"A-";"D+";"V8, V12";""
"521";"sbm";"species";"A-";"E-";"";""
"522";"sbm";"species";"A-";"E+";"V8";""
"523";"sbm";"species";"A-";"F-";"V8";""
"524";"sbm";"species";"A-";"F+";"V8";""
"525";"sbm";"species";"A-";"G-";"";"V4"
"526";"sbm";"species";"A-";"G+";"";""
"527";"sbm";"species";"A-";"H-";"V8";""
"528";"sbm";"species";"A-";"H+";"";""
"529";"sbm";"species";"A+";"A-";"";"V3"
"530";"sbm";"species";"A+";"A+";"";""
"531";"sbm";"species";"A+";"B-";"V8";"V3"
"532";"sbm";"species";"A+";"B+";"";""
"533";"sbm";"species";"A+";"C-";"V8";"V3, V4"
"534";"sbm";"species";"A+";"C+";"";"V3"
"535";"sbm";"species";"A+";"D-";"";"V3"
"536";"sbm";"species";"A+";"D+";"V8, V12";"V3"
"537";"sbm";"species";"A+";"E-";"";"V3"
"538";"sbm";"species";"A+";"E+";"V8";"V3"
"539";"sbm";"species";"A+";"F-";"V8";"V3"
"540";"sbm";"species";"A+";"F+";"V8";"V3"
"541";"sbm";"species";"A+";"G-";"";"V3, V4"
"542";"sbm";"species";"A+";"G+";"";"V3"
"543";"sbm";"species";"A+";"H-";"V8";"V3"
"544";"sbm";"species";"A+";"H+";"";"V3"
"545";"sbm";"species";"B-";"A-";"";"V8"
"546";"sbm";"species";"B-";"A+";"V3";"V8"
"547";"sbm";"species";"B-";"B-";"";""
"548";"sbm";"species";"B-";"B+";"V3";"V8"
"549";"sbm";"species";"B-";"C-";"";"V4"
"550";"sbm";"species";"B-";"C+";"";"V8"
"551";"sbm";"species";"B-";"D-";"";"V8"
"552";"sbm";"species";"B-";"D+";"V12";""
"553";"sbm";"species";"B-";"E-";"";"V8"
"554";"sbm";"species";"B-";"E+";"";""
"555";"sbm";"species";"B-";"F-";"";""
"556";"sbm";"species";"B-";"F+";"";""
